brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,1.3388429752066116,9.950413223140496,698.8264462809917,121,59,0.0017425868053055288,0.48760330578512395,0.48760330578512395
amber,0.2702702702702703,9.833976833976834,714.1467181467182,259,105,0.0037299998559845613,0.40540540540540543,0.40540540540540543
barley,0.6115107913669064,9.949640287769784,742.9424460431654,139,60,0.002001814594524533,0.4316546762589928,0.4316546762589928
bea,1.9285714285714286,9.952014652014652,838.3014652014652,2730,1455,0.03931621469821565,0.532967032967033,0.532967032967033
belle,0.6768558951965066,9.703056768558952,694.471615720524,229,100,0.0032979535406195545,0.4366812227074236,0.4366812227074236
bibi,1.0950479233226837,9.850239616613418,729.9776357827476,2504,1174,0.036061465789132593,0.46884984025559107,0.46884984025559107
bo,0.1524390243902439,9.890243902439025,686.1951219512196,164,65,0.002361853190662039,0.39634146341463417,0.39634146341463417
brock,0.3581081081081081,9.871621621621621,714.8243243243244,148,61,0.0021314284891340352,0.41216216216216217,0.41216216216216217
bull,1.6513639387890884,9.92348636061211,770.9514304723886,1503,769,0.021645520399786858,0.5116433799068529,0.5116433799068529
buzz,3.025858585858586,9.612121212121211,755.0157575757576,2475,1528,0.03564382101761309,0.6173737373737374,0.6173737373737374
byron,-0.84,9.8,705.7866666666666,75,24,0.0010801157884125178,0.32,0.32
carl,0.1564245810055866,9.815642458100559,714.6759776536313,179,71,0.0025778763483445427,0.39664804469273746,0.39664804469273746
colette,2.046625505641899,9.987225888865233,805.3704492229083,4697,2546,0.06764405144231461,0.5420481158186076,0.5420481158186076
colonel-ruffs,1.5822784810126582,9.943037974683545,754.1455696202531,158,80,0.0022754439275890375,0.5063291139240507,0.5063291139240507
colt,0.4066047471620227,9.938080495356036,746.5345717234262,969,403,0.01395509598628973,0.41589267285861714,0.41589267285861714
crow,0.37333333333333335,9.942222222222222,734.92,450,186,0.006480694730475107,0.41333333333333333,0.41333333333333333
darryl,1.433127572016461,9.820987654320987,749.3034979423868,972,481,0.013998300617826231,0.4948559670781893,0.4948559670781893
dynamike,0.5808748728382502,9.903357070193286,715.2380467955239,983,422,0.014156717600126734,0.42929806714140384,0.42929806714140384
edgar,1.0450522928399035,9.728881737731296,710.3073209975864,1243,578,0.017901118999956795,0.4650040225261464,0.4650040225261464
el-primo,1.6319567734465457,9.845310690852953,786.1930528753377,12955,6609,0.18657200051845557,0.5101505210343497,0.5101505210343497
emz,1.932342290832857,9.863350485991996,807.5517438536307,5247,2798,0.07556490055733975,0.5332570992948351,0.5332570992948351
