brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-1.1951219512195121,9.878048780487806,727.3658536585366,41,12,0.0021594859370062153,0.2926829268292683,0.2926829268292683
amber,0.4166666666666667,9.86111111111111,717.5,144,60,0.007584535973875487,0.4166666666666667,0.4166666666666667
barley,0.2,10.0,702.4,5,2,0.0002633519435373433,0.4,0.4
bea,2.2984913793103448,9.913793103448276,793.4719827586207,928,521,0.04887812072053092,0.5614224137931034,0.5614224137931034
belle,0.31386861313868614,9.905109489051094,729.3138686131387,137,56,0.007215843252923206,0.40875912408759124,0.40875912408759124
bibi,1.5851528384279476,9.912663755458516,719.3027656477439,687,348,0.03618455704203097,0.5065502183406113,0.5065502183406113
bo,0.7121212121212122,9.93939393939394,692.3636363636364,66,29,0.0034762456546929316,0.4393939393939394,0.4393939393939394
brock,-2.0208333333333335,9.958333333333334,699.75,48,11,0.0025281786579584957,0.22916666666666666,0.22916666666666666
bull,1.5,9.938524590163935,729.8196721311475,244,122,0.012851574844622354,0.5,0.5
buzz,2.7611940298507465,9.91044776119403,747.0597014925373,67,40,0.0035289160434004005,0.5970149253731343,0.5970149253731343
byron,0.28125,9.84375,735.375,32,13,0.0016854524386389971,0.40625,0.40625
carl,1.0,9.876923076923077,728.0153846153846,65,30,0.003423575265985463,0.46153846153846156,0.46153846153846156
colette,1.9710144927536233,9.978864734299517,766.5591787439613,1656,888,0.0872221636995681,0.5362318840579711,0.5362318840579711
colonel-ruffs,1.9333333333333333,9.8,693.4666666666667,15,8,0.0007900558306120299,0.5333333333333333,0.5333333333333333
colt,0.3204633204633205,9.953667953667953,731.0694980694981,259,106,0.013641630675234382,0.4092664092664093,0.4092664092664093
crow,1.3103448275862069,9.949602122015914,767.7214854111406,377,183,0.019856736542715685,0.4854111405835544,0.4854111405835544
darryl,0.9528619528619529,9.814814814814815,717.1919191919192,297,136,0.015643105446118192,0.45791245791245794,0.45791245791245794
dynamike,-0.6666666666666666,9.88888888888889,694.3333333333334,117,39,0.006162435478773833,0.3333333333333333,0.3333333333333333
edgar,0.2931596091205212,9.703583061889251,686.4039087947883,307,125,0.01616980933319288,0.40716612377850164,0.40716612377850164
el-primo,1.6986899563318778,9.839883551673944,735.2914847161572,2748,1416,0.14473822816812387,0.5152838427947598,0.5152838427947598
emz,2.0869806094182826,9.83601108033241,732.9562326869806,1805,984,0.09507005161698093,0.5451523545706372,0.5451523545706372
frank,1.8442796610169492,9.670550847457626,705.2139830508474,944,497,0.04972084693985042,0.5264830508474576,0.5264830508474576
