brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,1.0987654320987654,9.95679012345679,714.7283950617284,162,76,0.001935183304863044,0.4691358024691358,0.4691358024691358
amber,0.2850467289719626,9.761682242990654,737.2640186915888,428,174,0.0051127065091443385,0.40654205607476634,0.40654205607476634
barley,0.2,9.978947368421053,709.8736842105263,95,38,0.001134829715814748,0.4,0.4
bea,2.3981341401916287,9.91780131114473,821.0821986888552,3966,2257,0.047376154241276745,0.5690872415532022,0.5690872415532022
belle,1.1950617283950618,9.866666666666667,751.479012345679,405,193,0.00483795826215761,0.4765432098765432,0.4765432098765432
bibi,1.170630816959669,9.875560151671838,722.1092726645984,2901,1377,0.034654115848195624,0.47466390899689764,0.47466390899689764
bo,-0.45,9.931818181818182,702.5227272727273,220,77,0.0026280267103078376,0.35,0.35
brock,0.10126582278481013,9.917721518987342,695.8607594936709,158,62,0.0018874010010392652,0.3924050632911392,0.3924050632911392
bull,1.745782431646306,9.919720767888307,766.413030831879,1719,892,0.020534445068268965,0.5189063408958697,0.5189063408958697
buzz,1.9966777408637875,9.428571428571429,749.2209302325581,602,324,0.007191236725478719,0.5382059800664452,0.5382059800664452
byron,-1.2164179104477613,9.529850746268657,721.7686567164179,134,39,0.001600707178096592,0.291044776119403,0.291044776119403
carl,0.9166666666666666,9.871794871794872,732.9198717948718,312,142,0.003727019698254751,0.4551282051282051,0.4551282051282051
colette,2.1169188445667126,9.985480666360996,784.3435732844262,6543,3582,0.07815990347974627,0.547455295735901,0.547455295735901
colonel-ruffs,0.9868421052631579,9.81578947368421,724.0657894736842,76,35,0.0009078637726517984,0.4605263157894737,0.4605263157894737
colt,0.3276676109537299,9.954674220963172,734.4853635505193,1059,434,0.012650364937345454,0.4098205854579792,0.4098205854579792
crow,1.087527352297593,9.925601750547045,760.9288840262582,914,428,0.01091825642373347,0.4682713347921225,0.4682713347921225
darryl,1.7883268482490273,9.875486381322958,741.6210116731518,1285,671,0.01535006510338896,0.5221789883268483,0.5221789883268483
dynamike,0.23535564853556484,9.939330543933055,714.2165271966527,956,385,0.011419970613883149,0.4027196652719665,0.4027196652719665
edgar,0.8540372670807453,9.79192546583851,722.2111801242236,1610,725,0.01923237728907099,0.4503105590062112,0.4503105590062112
el-primo,1.696135079609656,9.83256291730868,777.9427324088341,15576,8023,0.1860642910897949,0.5150873138161274,0.5150873138161274
emz,1.966005291005291,9.843783068783068,780.7810846560847,7560,4051,0.09030855422694205,0.5358465608465608,0.5358465608465608
frank,1.489909070747394,9.690396983810157,731.7899756043469,4509,2251,0.053862601985354724,0.4992237746728765,0.4992237746728765
gale,2.2793072824156306,9.938277087033748,784.9567791592658,6756,3783,0.0807043111583625,0.5599467140319716,0.5599467140319716
gene,0.8220858895705522,9.865030674846626,793.9325153374233,326,146,0.0038942577616379774,0.44785276073619634,0.44785276073619634
jacky,2.0337364735837045,9.884150222788033,750.3399108847867,1571,850,0.01876649982678915,0.5410566518141311,0.5410566518141311
jessie,0.9658733722496632,9.903008531656937,727.412213740458,2227,1022,0.02660279765388888,0.4589133363268972,0.4589133363268972
leon,-0.007246376811594203,9.903381642512077,717.4444444444445,414,159,0.004945468445761113,0.38405797101449274,0.38405797101449274
lou,1.722741433021807,9.906542056074766,744.4766355140187,642,332,0.007669059763716507,0.5171339563862928,0.5171339563862928
max,0.4084507042253521,9.887323943661972,745.3076923076923,923,384,0.011025766607336973,0.4160346695557963,0.4160346695557963
mortis,0.38442280945757995,9.968845618915159,723.6987482614743,3595,1489,0.04294434556162125,0.4141863699582754,0.4141863699582754
mr-p,0.07,9.97,697.16,100,39,0.0011945575955944715,0.39,0.39
nani,0.3902439024390244,9.78048780487805,717.0731707317074,82,34,0.0009795372283874667,0.4146341463414634,0.4146341463414634
nita,1.6511627906976745,9.94186046511628,731.2957848837209,1376,704,0.01643711251537993,0.5116279069767442,0.5116279069767442
pam,1.2872727272727273,9.88,720.9454545454546,275,133,0.003285033387884797,0.48363636363636364,0.48363636363636364
penny,0.2866666666666667,9.893333333333333,688.9933333333333,300,122,0.003583672786783415,0.4066666666666667,0.4066666666666667
piper,0.3669724770642202,9.990825688073395,725.6880733944954,109,45,0.001302067779197974,0.41284403669724773,0.41284403669724773
poco,0.7054860442733397,9.96920115495669,725.3137632338787,1039,456,0.01241145341822656,0.43888354186718,0.43888354186718
rico,0.4296619411123228,9.928026172300982,725.2126499454744,917,383,0.010954093151601304,0.4176663031624864,0.4176663031624864
rosa,1.4408014571948997,9.730418943533698,704.2677595628415,549,272,0.006558121199813649,0.49544626593806923,0.49544626593806923
sandy,0.4166666666666667,9.953125,731.1354166666666,384,160,0.004587101167082771,0.4166666666666667,0.4166666666666667
shelly,1.3471133285816108,9.928011404133999,725.3235923022096,1403,685,0.016759643066190436,0.48823948681397006,0.48823948681397006
spike,0.40515933232169954,9.901365705614568,724.1775417298937,659,274,0.007872134554967568,0.4157814871016692,0.4157814871016692
sprout,-0.775,9.95,738.3,40,13,0.00047782303823778864,0.325,0.325
squeak,0.5674518201284796,9.81370449678801,695.4282655246253,467,200,0.005578583971426182,0.4282655246252677,0.4282655246252677
stu,1.6422319474835887,9.86652078774617,810.6176148796499,1828,934,0.02183651284746694,0.5109409190371991,0.5109409190371991
surge,0.1539509536784741,9.811989100817438,713.3269754768393,734,291,0.008768052751663421,0.39645776566757496,0.39645776566757496
tara,2.1389346512904996,9.946000366099213,815.9331868936482,5463,3000,0.06525868144732598,0.5491488193300385,0.5491488193300385
tick,-0.4273255813953488,9.843023255813954,721.2819767441861,344,121,0.0041092781288449825,0.35174418604651164,0.35174418604651164
