brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,1.0253968253968253,9.911111111111111,717.3650793650794,315,146,0.0028080121947958174,0.4634920634920635,0.4634920634920635
amber,1.0907407407407408,9.783333333333333,743.337037037037,1080,506,0.009627470382157088,0.4685185185185185,0.4685185185185185
barley,0.2,9.9625,685.0375,80,32,0.0007131459542338584,0.4,0.4
bea,2.1286049118516255,9.931417507388158,812.8702741261592,9813,5381,0.08747626561121065,0.5483542239885866,0.5483542239885866
belle,0.6649874055415617,9.84256926952141,736.698992443325,794,346,0.007077973595771045,0.4357682619647355,0.4357682619647355
bibi,1.337082262210797,9.897172236503856,729.6603470437018,3112,1517,0.02774137761969709,0.48746786632390743,0.48746786632390743
bo,0.431266846361186,9.951482479784367,705.1401617250674,371,155,0.0033072143627595183,0.41778975741239893,0.41778975741239893
brock,-0.2593984962406015,9.921052631578947,703.0075187969925,266,97,0.0023712102978275793,0.36466165413533835,0.36466165413533835
bull,1.1987431264728987,9.87666928515318,745.184603299293,1273,607,0.011347934996746271,0.47682639434406915,0.47682639434406915
buzz,3.0920810313075506,9.791896869244935,740.7605893186004,543,338,0.004840478164362314,0.6224677716390423,0.6224677716390423
byron,0.1292517006802721,9.918367346938776,740.1938775510204,294,116,0.0026208113818094294,0.3945578231292517,0.3945578231292517
carl,0.1949317738791423,9.90253411306043,732.4327485380117,513,205,0.004573048431524617,0.3996101364522417,0.3996101364522417
colette,2.0179817234941533,9.981920015721725,782.3788935835707,10177,5494,0.09072107970297472,0.5398447479610887,0.5398447479610887
colonel-ruffs,0.11475409836065574,9.868852459016393,726.0491803278688,122,48,0.001087547580206634,0.39344262295081966,0.39344262295081966
colt,0.5017976373908577,9.957370313302517,740.1720595788393,1947,824,0.01735618966116653,0.42321520287621983,0.42321520287621983
crow,1.5947343676539727,9.952045133991538,792.2073342736248,2127,1079,0.01896076805819271,0.5072872590503056,0.5072872590503056
darryl,1.824024024024024,9.86006006006006,737.342942942943,1665,874,0.014842350172492177,0.5249249249249249,0.5249249249249249
dynamike,-0.24883359253499224,9.909797822706066,705.1679626749611,643,235,0.005731910607154637,0.3654743390357698,0.3654743390357698
edgar,0.6855036855036855,9.723587223587224,712.9090909090909,1628,712,0.014512520168659018,0.43734643734643736,0.43734643734643736
el-primo,1.521434460016488,9.85971420719978,762.9927864798021,14556,7302,0.12975690637285053,0.501648804616653,0.501648804616653
emz,1.733282016742038,9.826229192725874,776.3843933416723,10393,5383,0.09264657377940613,0.5179447705186183,0.5179447705186183
frank,1.626958035196287,9.707406691162252,732.4436279249661,5171,2636,0.04609597161679102,0.5097660027074067,0.5097660027074067
gale,2.20943579766537,9.936964980544747,783.6538910505836,10280,5701,0.0916392551190508,0.5545719844357977,0.5545719844357977
gene,1.7739463601532568,9.881226053639846,794.7413793103449,522,272,0.004653277351375926,0.5210727969348659,0.5210727969348659
jacky,1.5600739371534196,9.859519408502774,738.2735674676525,1082,546,0.009645299031012935,0.5046210720887245,0.5046210720887245
jessie,1.4606710671067107,9.886963696369637,736.3385588558856,3636,1807,0.032412483619928864,0.496974697469747,0.496974697469747
leon,0.7347517730496453,9.930496453900709,735.4255319148937,705,311,0.006284598721685877,0.44113475177304967,0.44113475177304967
lou,1.3728423475258917,9.88837744533947,753.9470655926352,869,426,0.007746547927865287,0.4902186421173763,0.4902186421173763
max,0.9576877234803337,9.87783075089392,749.3045292014302,1678,769,0.014958236390055179,0.4582836710369487,0.4582836710369487
mortis,0.6201493896884679,9.971032975040991,730.1685188558936,5489,2373,0.04893072678487061,0.4323191838221898,0.4323191838221898
mr-p,0.3793103448275862,9.951724137931034,709.744827586207,145,60,0.0012925770420488683,0.41379310344827586,0.41379310344827586
nani,1.6710526315789473,9.846491228070175,787.4912280701755,228,117,0.0020324659695664963,0.5131578947368421,0.5131578947368421
nita,1.627808988764045,9.955056179775282,730.810393258427,1424,726,0.012693997985362679,0.5098314606741573,0.5098314606741573
pam,0.7689161554192229,9.924335378323109,726.036809815951,489,217,0.004359104645254459,0.4437627811860941,0.4437627811860941
penny,0.4966442953020134,9.919463087248323,708.2102908277404,447,189,0.003984703019281684,0.4228187919463087,0.4228187919463087
piper,0.19195046439628483,9.95046439628483,738.4582043343653,323,129,0.002879326790219203,0.3993808049535604,0.3993808049535604
