brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,0.6464646464646465,9.868686868686869,691.3030303030303,99,43,0.0017932183741486741,0.43434343434343436,0.43434343434343436
amber,1.4794952681388012,9.798107255520504,741.0725552050474,317,158,0.005741921460657876,0.49842271293375395,0.49842271293375395
barley,-1.0,9.923076923076923,697.8846153846154,26,8,0.0004709462396754094,0.3076923076923077,0.3076923076923077
bea,2.08217644424541,9.922973578145992,837.3587102552619,4466,2433,0.08089407332270686,0.544782803403493,0.544782803403493
belle,1.1116883116883116,9.685714285714285,717.987012987013,385,181,0.006973627010578177,0.4701298701298701,0.4701298701298701
bibi,0.6835365853658537,9.828048780487805,718.3548780487805,1640,717,0.029705839733371976,0.4371951219512195,0.4371951219512195
bo,-0.16891891891891891,9.905405405405405,694.5337837837837,148,55,0.002680770902767715,0.3716216216216216,0.3716216216216216
brock,-1.0642201834862386,9.899082568807339,685.7247706422019,109,33,0.0019743515432546007,0.30275229357798167,0.30275229357798167
bull,0.9772117962466488,9.85254691689008,744.2747989276139,746,343,0.013512534415302131,0.4597855227882037,0.4597855227882037
buzz,2.3115519253208867,9.547257876312718,734.181446907818,1714,964,0.031046225184755832,0.5624270711785297,0.5624270711785297
byron,1.1904761904761905,9.873015873015873,753.015873015873,126,60,0.002282277930734676,0.47619047619047616,0.47619047619047616
carl,0.019801980198019802,9.876237623762377,711.0148514851485,202,78,0.003658890015939719,0.38613861386138615,0.38613861386138615
colette,2.282683486238532,9.98795871559633,814.2620412844037,5232,2931,0.09476887407622084,0.5602064220183486,0.5602064220183486
colonel-ruffs,1.2678571428571428,9.946428571428571,703.5178571428571,56,27,0.0010143457469931894,0.48214285714285715,0.48214285714285715
colt,0.972972972972973,9.933075933075934,732.4607464607465,777,357,0.014074047239530502,0.4594594594594595,0.4594594594594595
crow,1.0501730103806228,9.948096885813149,747.3131487889274,578,269,0.010469497174322563,0.46539792387543255,0.46539792387543255
darryl,1.3821752265861027,9.829305135951662,731.1601208459215,662,325,0.011991015794812347,0.4909365558912387,0.4909365558912387
dynamike,-0.5123287671232877,9.90958904109589,688.4246575342465,365,126,0.006611360672366323,0.3452054794520548,0.3452054794520548
edgar,0.3273942093541203,9.673719376391983,712.4799554565701,898,368,0.016265758585712217,0.40979955456570155,0.40979955456570155
