brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,2.264705882352941,9.897058823529411,727.4705882352941,68,38,0.0014410137955879548,0.5588235294117647,0.5588235294117647
amber,1.0825688073394495,9.752293577981652,750.6880733944954,218,102,0.004619720697620208,0.46788990825688076,0.46788990825688076
barley,0.03225806451612903,9.946236559139784,750.3978494623656,93,36,0.0019707982792599972,0.3870967741935484,0.3870967741935484
bea,2.8695863746958636,9.914355231143553,874.5849148418491,2055,1244,0.04354828455784187,0.6053527980535279,0.6053527980535279
belle,0.5454545454545454,9.734265734265735,719.0909090909091,143,61,0.0030303672466040813,0.42657342657342656,0.42657342657342656
bibi,0.596130592503023,9.867593712212818,721.7454655380894,1654,712,0.03505054143974231,0.43047158403869407,0.43047158403869407
bo,0.3902439024390244,9.74390243902439,676.4268292682926,82,34,0.0017376931064442985,0.4146341463414634,0.4146341463414634
brock,-1.75,9.859375,677.453125,64,16,0.001356248278200428,0.25,0.25
bull,1.106761565836299,9.895610913404507,746.085409252669,843,396,0.017864332789421265,0.4697508896797153,0.4697508896797153
buzz,2.693106312292359,9.641196013289036,761.8205980066446,2408,1425,0.05102884146729111,0.5917774086378738,0.5917774086378738
byron,0.7352941176470589,9.955882352941176,722.5882352941177,68,30,0.0014410137955879548,0.4411764705882353,0.4411764705882353
carl,0.11333333333333333,9.96,719.3933333333333,150,59,0.0031787069020322535,0.3933333333333333,0.3933333333333333
colette,2.564817249539837,9.964238758874572,820.2384959242703,3803,2213,0.08059081565619106,0.5819090191953721,0.5819090191953721
colonel-ruffs,-0.4,9.892307692307693,718.7846153846153,65,23,0.0013774396575473098,0.35384615384615387,0.35384615384615387
colt,0.7964458804523424,9.927302100161551,727.8045234248789,619,276,0.013117463815719765,0.4458804523424879,0.4458804523424879
crow,0.8709677419354839,9.932795698924732,734.2043010752689,372,168,0.007883193117039989,0.45161290322580644,0.45161290322580644
darryl,0.9302325581395349,9.808586762075134,724.3363148479427,559,255,0.011845981054906864,0.4561717352415027,0.4561717352415027
dynamike,0.12802768166089964,9.910034602076125,695.0899653979238,578,228,0.012248617262497615,0.3944636678200692,0.3944636678200692
edgar,0.5011467889908257,9.67316513761468,705.9564220183486,872,369,0.018478882790480832,0.4231651376146789,0.4231651376146789
el-primo,1.0233333333333334,9.820119047619048,772.1194047619048,8400,3892,0.1780075865138062,0.4633333333333333,0.4633333333333333
emz,2.3698630136986303,9.885563751317177,834.8299262381454,4745,2690,0.10055309500095361,0.5669125395152792,0.5669125395152792
frank,1.26036866359447,9.65015360983103,737.2254224270354,2604,1254,0.05518235181927992,0.4815668202764977,0.4815668202764977
gale,2.2062374245472838,9.932930918846411,785.9875922199866,2982,1653,0.0631926932124012,0.5543259557344065,0.5543259557344065
gene,0.08333333333333333,9.865384615384615,735.2307692307693,156,61,0.0033058551781135434,0.391025641025641,0.391025641025641
jacky,1.896551724137931,9.854111405835544,754.0468611847922,1131,600,0.02396745004132319,0.5305039787798409,0.5305039787798409
jessie,1.3847517730496455,9.909574468085106,748.4804964539007,1128,554,0.023903875903282544,0.49113475177304966,0.49113475177304966
leon,-0.2672811059907834,9.852534562211982,708.0184331797235,217,79,0.004598529318273327,0.3640552995391705,0.3640552995391705
lou,2.5024875621890548,9.950248756218905,736.1268656716418,402,232,0.008518934497446439,0.5771144278606966,0.5771144278606966
max,-0.2916666666666667,9.836538461538462,723.7179487179487,312,113,0.006611710356227087,0.36217948717948717,0.36217948717948717
mortis,-0.0744818652849741,9.944300518134716,708.0608808290156,1544,585,0.03271948971158533,0.3788860103626943,0.3788860103626943
mr-p,0.9090909090909091,9.854545454545455,725.1818181818181,55,25,0.001165525864078493,0.45454545454545453,0.45454545454545453
nani,-0.9655172413793104,9.724137931034482,683.4137931034483,29,9,0.0006145500010595689,0.3103448275862069,0.3103448275862069
nita,1.6736641221374047,9.96469465648855,760.5582061068702,1048,538,0.02220856555553201,0.5133587786259542,0.5133587786259542
pam,1.0149253731343284,9.925373134328359,702.1343283582089,67,31,0.0014198224162410731,0.4626865671641791,0.4626865671641791
penny,0.1509433962264151,9.858490566037736,669.6981132075472,106,42,0.002246286210769459,0.39622641509433965,0.39622641509433965
piper,-0.8947368421052632,10.0,731.0526315789474,38,12,0.0008052724151815042,0.3157894736842105,0.3157894736842105
poco,0.4257703081232493,9.96358543417367,709.6918767507003,357,149,0.007565322426836763,0.4173669467787115,0.4173669467787115
rico,0.6431424766977364,9.870838881491345,730.2756324900133,751,326,0.01591472588950815,0.4340878828229028,0.4340878828229028
rosa,0.3118279569892473,9.609318996415771,704.3118279569892,279,114,0.005912394837779991,0.40860215053763443,0.40860215053763443
sandy,1.4781144781144782,9.947811447811448,764.6464646464647,594,296,0.012587679332047724,0.4983164983164983,0.4983164983164983
shelly,0.3215507411630559,9.924743443557583,722.3968072976055,877,359,0.018584839687215242,0.40935005701254273,0.40935005701254273
spike,2.6359223300970873,9.941747572815533,827.5558252427185,412,242,0.008730848290915255,0.587378640776699,0.587378640776699
sprout,-1.75,9.95,679.6,20,5,0.0004238275869376338,0.25,0.25
squeak,1.6477272727272727,9.776515151515152,710.469696969697,264,135,0.005594524147576766,0.5113636363636364,0.5113636363636364
stu,1.3096234309623431,9.889818688981869,774.0404463040446,717,348,0.015194218991714172,0.48535564853556484,0.48535564853556484
surge,0.83008356545961,9.807799442896936,710.4094707520892,359,161,0.007607705185530526,0.44846796657381616,0.44846796657381616
tara,2.085693269584406,9.93048915042295,843.2861346083118,2719,1482,0.05761936044417131,0.5450533284295697,0.5450533284295697
tick,0.21604938271604937,9.851851851851851,704.5308641975308,162,65,0.0034330034541948337,0.4012345679012346,0.4012345679012346
