brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,1.0804232804232805,9.912169312169311,710.8888888888889,945,442,0.0020987920285879904,0.4677248677248677,0.4677248677248677
amber,0.8388252148997135,9.790114613180515,740.243553008596,2792,1254,0.0062008754961033535,0.4491404011461318,0.4491404011461318
barley,0.04878048780487805,9.936210131332082,719.7317073170732,533,207,0.0011837631230025385,0.3883677298311445,0.3883677298311445
bea,2.233201726873547,9.9270875613446,826.4426035939633,27101,15079,0.060189801869590616,0.5564001328364268,0.5564001328364268
belle,0.8675817521194994,9.8118691966088,734.3403310456197,2477,1118,0.00550127815324069,0.4513524424707307,0.4513524424707307
bibi,1.0170922710248553,9.87170582226762,724.5643173306095,14685,6797,0.03261456184107369,0.46285325161729657,0.46285325161729657
bo,0.05263157894736842,9.91417004048583,696.5036437246963,1235,480,0.00274286577281076,0.38866396761133604,0.38866396761133604
brock,-0.5133976420150054,9.912111468381564,699.8060021436228,933,322,0.0020721407012408415,0.34512325830653806,0.34512325830653806
bull,1.3941820122764879,9.903923138510809,756.6809447558046,7494,3686,0.016643753928294605,0.49186015479049905,0.49186015479049905
buzz,2.6731414036304777,9.597756966123251,748.5465371719274,8649,5105,0.019208944185457703,0.5902416464331136,0.5902416464331136
byron,0.14583333333333334,9.791666666666666,728.4212962962963,864,342,0.0019188955689947342,0.3958333333333333,0.3958333333333333
carl,0.3243408951563458,9.819129368485592,725.8160637645616,1631,668,0.0036223595752666797,0.40956468424279585,0.40956468424279585
colette,2.141068810079835,9.981806332482485,793.9858523869005,36826,20229,0.08178848174050934,0.5493129853907566,0.5493129853907566
colonel-ruffs,0.7777777777777778,9.87673611111111,729.03125,576,256,0.001279263712663156,0.4444444444444444,0.4444444444444444
colt,0.5804134291159654,9.950740360650931,743.1433807359625,6821,2928,0.01514905865290866,0.4292625714704589,0.4292625714704589
crow,1.202802359882006,9.941924778761061,764.7872418879056,5424,2588,0.012046399960911386,0.4771386430678466,0.4771386430678466
darryl,1.566620774055377,9.841823466421905,737.9277956249044,6537,3302,0.014518310572359465,0.5051246749273367,0.5051246749273367
dynamike,0.0483684332330479,9.913908817403378,704.8872946077297,4321,1678,0.009596698788919266,0.38833603332561906,0.38833603332561906
edgar,0.678669634673301,9.727117978263717,711.9206494696871,7637,3336,0.016961348912514797,0.43682074112871544,0.43682074112871544
el-primo,1.522007319781229,9.83943086644826,773.368319328883,72953,36600,0.16202452366304726,0.5016928707524022,0.5016928707524022
emz,2.0029247540547725,9.848686277827463,795.9425926373547,41371,22286,0.09188267197324207,0.5386865195426748,0.5386865195426748
frank,1.5031131623633909,9.681020594766403,732.2108677667958,22967,11489,0.05100841959849775,0.5002394740279531,0.5002394740279531
gale,2.181188479766679,9.93695841162119,782.9236938781233,35659,19698,0.0791966401559991,0.5523991138282061,0.5523991138282061
gene,0.8843695525857059,9.861127251597908,770.0958744915747,1721,779,0.003822244530370298,0.452643811737362,0.452643811737362
jacky,1.7454017424975798,9.862674595491633,749.7419444060296,7231,3752,0.01605964567060292,0.5188770571151985,0.5188770571151985
jessie,1.3666860416839657,9.896537407622686,736.4216557336212,12043,5898,0.026746827936809704,0.4897450801295358,0.4897450801295358
leon,0.34108527131782945,9.910648714810282,722.8649530803754,2451,1007,0.0054435336106552,0.4108527131782946,0.4108527131782946
lou,1.4679245283018867,9.908272859216256,740.1146589259797,3445,1714,0.007651151892577384,0.49753265602322205,0.49753265602322205
max,0.5624242424242424,9.866262626262627,743.0040404040404,4950,2118,0.010993672530698998,0.42787878787878786,0.42787878787878786
mortis,0.3937981247708344,9.963804934262217,720.9353622125609,19091,7921,0.042400040865368596,0.414907548059295,0.414907548059295
mr-p,0.25252525252525254,9.923232323232323,708.529292929293,495,200,0.0010993672530698999,0.40404040404040403,0.40404040404040403
nani,0.9754385964912281,9.812280701754386,739.1929824561404,570,262,0.0012659380489895816,0.45964912280701753,0.45964912280701753
