brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,0.5714285714285714,9.893333333333333,734.2838095238095,525,225,0.002915014824932538,0.42857142857142855,0.42857142857142855
amber,0.003968253968253968,9.805555555555555,738.6646825396825,504,194,0.0027984142319352366,0.38492063492063494,0.38492063492063494
barley,0.772,9.946,739.954,500,222,0.002776204595173846,0.444,0.444
bea,0.5307977112083474,9.88118478626725,788.385392123864,2971,1264,0.01649620770452299,0.4254459777852575,0.4254459777852575
belle,1.6233346790472345,9.879491320145338,806.941865159467,4954,2524,0.027506635128982465,0.5094872830036334,0.5094872830036334
bibi,0.4204946996466431,9.93286219081272,761.9028268551236,566,236,0.0031426636017367936,0.4169611307420495,0.4169611307420495
bo,1.5812695359461408,9.985573455157489,799.1015869199326,8318,4211,0.046184939645312104,0.5062515027650878,0.5062515027650878
brock,1.9224219489120151,9.962302598064188,822.8213376027945,13741,7317,0.07629565468456763,0.532493996070155,0.532493996070155
bull,1.7220762155059133,9.936268068331144,815.0440210249672,1522,787,0.008450766787709186,0.5170827858081471,0.5170827858081471
buzz,2.599877825290165,9.718998167379352,802.6182040317655,1637,957,0.009089293844599172,0.5846059865607819,0.5846059865607819
byron,1.2008512902367652,9.851822293163075,786.6911412609736,3759,1793,0.020871506146516974,0.47698856078744345,0.47698856078744345
carl,1.9096638655462186,9.903361344537815,769.8676470588235,476,253,0.0026429467746055015,0.5315126050420168,0.5315126050420168
colette,1.7995391705069124,9.912442396313365,788.3479262672811,434,227,0.0024097455886108983,0.5230414746543779,0.5230414746543779
colonel-ruffs,2.4959289415247965,9.95780903034789,822.4137675795707,1351,779,0.007501304816159732,0.5766099185788305,0.5766099185788305
colt,0.5061808718282368,9.962264150943396,778.7765126870527,3074,1302,0.017068105851128806,0.4235523747560182,0.4235523747560182
crow,-0.515778019586507,9.914581066376495,739.2665941240479,1838,634,0.010205328091859058,0.34494015233949943,0.34494015233949943
darryl,1.6396694214876033,9.84297520661157,767.2528925619835,605,309,0.0033592075601603538,0.5107438016528926,0.5107438016528926
dynamike,-0.06231454005934718,9.828552588196505,738.3679525222552,3033,1152,0.01684045707432455,0.3798219584569733,0.3798219584569733
edgar,0.03592814371257485,9.813450023030862,742.7927222478121,2171,841,0.01205428035224484,0.3873790879778904,0.3873790879778904
el-primo,1.2618445988629186,9.886291850915983,831.2558433354391,3166,1525,0.017578927496640792,0.48168035375868606,0.48168035375868606
emz,0.008945686900958467,9.808306709265176,749.8626198083067,1565,603,0.008689520382894137,0.3853035143769968,0.3853035143769968
frank,1.6839622641509433,9.849056603773585,827.2405660377359,636,327,0.003531332245061132,0.5141509433962265,0.5141509433962265
gale,-0.648068669527897,9.914163090128755,737.4978540772532,233,78,0.0012937113413510122,0.33476394849785407,0.33476394849785407
gene,2.156989247311828,9.930704898446834,859.7919952210275,8370,4608,0.04647366492321018,0.5505376344086022,0.5505376344086022
jacky,1.8982092365692742,9.92177191328935,807.4938737040528,1061,563,0.005891106150958901,0.530631479736098,0.530631479736098
jessie,-0.9965397923875432,9.775951557093425,717.9204152249135,1156,356,0.006418585024041932,0.3079584775086505,0.3079584775086505
leon,0.4342688330871492,9.912850812407681,766.5273264401773,2708,1132,0.01503592408746155,0.41802067946824223,0.41802067946824223
lou,1.8979591836734695,9.92517006802721,751.8979591836735,147,78,0.0008162041509811107,0.5306122448979592,0.5306122448979592
max,1.40599173553719,9.961776859504132,829.5392561983471,968,477,0.005374732096256565,0.4927685950413223,0.4927685950413223
mortis,1.6844494892167992,9.966415169927222,814.9349669493223,14977,7701,0.08315843244383739,0.5141884222474461,0.5141884222474461
mr-p,2.1404668456930387,9.984713902086346,820.1980995662053,4841,2659,0.026879212890473177,0.549266680437926,0.549266680437926
nani,2.3221803018268465,9.946187450357426,832.6475377283558,10072,5673,0.05592386536518195,0.5632446386020651,0.5632446386020651
nita,-0.0792838874680307,9.884910485933505,701.8235294117648,391,148,0.0021709919934259476,0.37851662404092073,0.37851662404092073
pam,-0.48760330578512395,9.851239669421487,700.7933884297521,121,42,0.0006718415120320707,0.34710743801652894,0.34710743801652894
penny,1.1678281068524972,9.96225319396051,763.0447154471544,3444,1634,0.01912249725155745,0.47444831591173053,0.47444831591173053
piper,1.5550066328164311,9.957732949087417,817.6947532134852,21861,11023,0.12138121731019089,0.5042312794474177,0.5042312794474177
poco,2.3236914600550964,9.978879706152433,828.7410468319559,2178,1227,0.012093147216577272,0.5633608815426997,0.5633608815426997
rico,2.261382450331126,9.970405629139073,831.2584850993378,4832,2699,0.026829241207760045,0.558567880794702,0.558567880794702
rosa,2.673254281949934,9.951439864483342,847.3764351590438,5313,3136,0.029499950028317286,0.5902503293807642,0.5902503293807642
sandy,0.4418604651162791,9.957848837209303,747.3502906976744,688,288,0.003820057522959212,0.4186046511627907,0.4186046511627907
shelly,-0.2766427388183324,9.899503036996135,727.1209276642738,1811,658,0.01005541304371967,0.36333517393705134,0.36333517393705134
spike,0.43493975903614457,9.92289156626506,738.3674698795181,830,347,0.004608499627988584,0.41807228915662653,0.41807228915662653
sprout,2.3252799798666164,9.957845727947653,828.1969296589908,7947,4478,0.044124995835693105,0.5634830753743552,0.5634830753743552
squeak,2.415909090909091,9.818181818181818,742.3613636363636,880,502,0.0048861200875059685,0.5704545454545454,0.5704545454545454
stu,0.819047619047619,9.902857142857142,799.7266666666667,1050,470,0.005830029649865076,0.44761904761904764,0.44761904761904764
surge,1.3076923076923077,9.861538461538462,792.8710059171598,2535,1230,0.014075357297531399,0.48520710059171596,0.48520710059171596
tara,1.7153443766346992,9.95321127579192,834.9928799767509,6882,3555,0.03821168004797282,0.516564952048823,0.516564952048823
tick,1.1813287514318442,9.889977090492554,810.2562428407789,17460,8302,0.0969450644634707,0.47548682703321876,0.47548682703321876
