brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-0.047619047619047616,9.880952380952381,733.3095238095239,42,16,0.001633097441480675,0.38095238095238093,0.38095238095238093
amber,1.0422535211267605,9.873239436619718,713.4929577464789,71,33,0.0027607123415506647,0.4647887323943662,0.4647887323943662
barley,0.8275862068965517,9.979310344827587,748.3655172413793,145,65,0.00563807450034995,0.4482758620689655,0.4482758620689655
bea,2.315937940761636,9.918194640338506,836.2750352609308,709,399,0.027568240143090443,0.5627644569816643,0.5627644569816643
belle,2.671171171171171,9.878378378378379,814.8513513513514,444,262,0.017264172952795708,0.5900900900900901,0.5900900900900901
bibi,-0.18235294117647058,9.923529411764706,752.4941176470588,170,63,0.006610156310755113,0.37058823529411766,0.37058823529411766
bo,0.061068702290076333,9.942748091603054,729.8740458015267,262,102,0.010187417373046116,0.3893129770992366,0.3893129770992366
brock,2.5957740009186954,9.961414790996784,837.0110243454295,2177,1272,0.08464888405008165,0.5842903077629765,0.5842903077629765
bull,0.6740331491712708,9.96132596685083,795.8066298342542,181,79,0.007037872307333385,0.43646408839779005,0.43646408839779005
buzz,3.110720562390158,9.630931458699473,826.1669595782074,569,355,0.022124582004821525,0.6239015817223199,0.6239015817223199
byron,1.951219512195122,9.896810506566604,796.0806754221388,533,285,0.02072478419783809,0.5347091932457786,0.5347091932457786
carl,1.8956521739130434,9.904347826086957,779.8521739130434,115,61,0.004471576327863753,0.5304347826086957,0.5304347826086957
colette,3.6350364963503647,9.927007299270073,821.992700729927,137,91,0.005327008321020297,0.6642335766423357,0.6642335766423357
colonel-ruffs,2.4171779141104293,9.978527607361963,811.7515337423313,326,186,0.012675946807683334,0.5705521472392638,0.5705521472392638
colt,2.1075544174135725,9.98335467349552,837.8399487836108,781,427,0.030367835757057315,0.5467349551856594,0.5467349551856594
crow,0.8125,9.954326923076923,768.6394230769231,416,186,0.016175441325141923,0.44711538461538464,0.44711538461538464
darryl,1.5829787234042554,9.86808510638298,738.3702127659575,235,119,0.00913756901780854,0.5063829787234042,0.5063829787234042
dynamike,-0.14200298953662183,9.852017937219731,745.4499252615844,669,250,0.02601290924644218,0.37369207772795215,0.37369207772795215
edgar,-0.3161764705882353,9.794117647058824,722.6544117647059,408,147,0.015864375145812272,0.3602941176470588,0.3602941176470588
el-primo,1.3676844783715012,9.89058524173028,832.675572519084,786,385,0.030562252119138347,0.48982188295165396,0.48982188295165396
emz,0.1643835616438356,9.83904109589041,750.9691780821918,292,116,0.011353915545532311,0.3972602739726027,0.3972602739726027
frank,-1.1228070175438596,9.719298245614034,744.8245614035088,57,17,0.002216346527723773,0.2982456140350877,0.2982456140350877
gale,1.703125,9.90625,776.21875,64,33,0.002488529434637219,0.515625,0.515625
gene,2.4414310444316216,9.924985574148876,859.1511829197923,1733,992,0.06738471109728594,0.5724177726485863,0.5724177726485863
jacky,2.6618357487922704,9.909822866344605,816.7697262479871,621,366,0.024146512170464266,0.5893719806763285,0.5893719806763285
jessie,-0.9027237354085603,9.84046692607004,707.1984435797665,257,81,0.009993001010965083,0.3151750972762646,0.3151750972762646
leon,-0.14047619047619048,9.885714285714286,756.0595238095239,420,157,0.01633097441480675,0.3738095238095238,0.3738095238095238
lou,5.947368421052632,9.894736842105264,739.6842105263158,19,16,0.0007387821759079244,0.8421052631578947,0.8421052631578947
max,1.89,9.96,797.54,100,53,0.003888327241620655,0.53,0.53
mortis,0.899016393442623,9.929180327868853,782.0262295081967,1525,692,0.05929699043471499,0.45377049180327866,0.45377049180327866
mr-p,2.406815761448349,9.982960596379126,807.2492012779553,939,535,0.036511392798817946,0.56975505857295,0.56975505857295
nani,0.059880239520958084,9.802395209580839,735.4491017964071,167,65,0.006493506493506494,0.38922155688622756,0.38922155688622756
