brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-0.3237410071942446,9.863309352517986,748.2446043165468,139,50,0.004895055641639667,0.3597122302158273,0.3597122302158273
amber,-1.4545454545454546,9.75,731.4318181818181,44,12,0.0015495140160585999,0.2727272727272727,0.2727272727272727
barley,-0.35714285714285715,9.976190476190476,737.4285714285714,42,15,0.0014790815607832089,0.35714285714285715,0.35714285714285715
bea,-0.31462333825701627,9.853766617429837,773.0162481536189,677,244,0.02384138611071982,0.3604135893648449,0.3604135893648449
belle,1.462379421221865,9.909967845659164,814.8945337620579,1555,773,0.054761233976616426,0.49710610932475885,0.49710610932475885
bibi,2.9529411764705884,9.964705882352941,867.4235294117647,85,52,0.002993379349204113,0.611764705882353,0.611764705882353
bo,-0.24067796610169492,9.871186440677967,753.0949152542373,295,108,0.010388787153120157,0.36610169491525424,0.36610169491525424
brock,1.6027563842723955,9.95095257397649,810.2480745845156,2467,1253,0.08687843358219467,0.5079043372517228,0.5079043372517228
bull,1.0666666666666667,10.0,789.7333333333333,45,21,0.0015847302436962953,0.4666666666666667,0.4666666666666667
buzz,2.097297297297297,9.837837837837839,766.6378378378379,185,101,0.006515002112973658,0.5459459459459459,0.5459459459459459
byron,0.7967213114754098,9.840437158469946,781.4,915,408,0.03222284828849133,0.4459016393442623,0.4459016393442623
carl,2.6818181818181817,9.909090909090908,816.6181818181818,110,65,0.0038737850401464997,0.5909090909090909,0.5909090909090909
colette,-0.5,9.98076923076923,765.0384615384615,52,18,0.0018312438371601634,0.34615384615384615,0.34615384615384615
colonel-ruffs,3.4796163069544366,9.988009592326138,848.0863309352518,417,272,0.014685166924919002,0.6522781774580336,0.6522781774580336
colt,-0.6932515337423313,9.948875255623722,742.5705521472393,489,162,0.017220735314833074,0.3312883435582822,0.3312883435582822
crow,-0.328125,9.93359375,733.08984375,256,92,0.009015354275250036,0.359375,0.359375
darryl,1.1176470588235294,9.852941176470589,794.8823529411765,34,16,0.0011973517396816453,0.47058823529411764,0.47058823529411764
dynamike,-0.7584745762711864,9.584745762711865,723.8940677966102,236,77,0.008311029722496126,0.326271186440678,0.326271186440678
edgar,-1.3770491803278688,9.819672131147541,717.7540983606557,122,34,0.004296379771798845,0.2786885245901639,0.2786885245901639
el-primo,-1.2659574468085106,9.702127659574469,768.3085106382979,94,27,0.0033103253979433725,0.2872340425531915,0.2872340425531915
emz,-2.739130434782609,9.594202898550725,720.3188405797101,69,12,0.002429919707000986,0.17391304347826086,0.17391304347826086
frank,-1.4137931034482758,9.689655172413794,818.0,29,8,0.0010212706014931681,0.27586206896551724,0.27586206896551724
gale,-3.142857142857143,9.892857142857142,753.0714285714286,28,4,0.0009860543738554725,0.14285714285714285,0.14285714285714285
gene,2.5407136322049406,9.951509606587374,876.9817017383349,2186,1268,0.07698267361600225,0.5800548947849954,0.5800548947849954
jacky,0.0,10.0,913.3846153846154,13,5,0.00045781095929004086,0.38461538461538464,0.38461538461538464
jessie,-1.127659574468085,9.638297872340425,707.8652482269504,141,42,0.004965488096915058,0.2978723404255319,0.2978723404255319
leon,-0.08375634517766498,9.898477157360405,777.8121827411168,394,149,0.013875193689252007,0.37817258883248733,0.37817258883248733
lou,1.1578947368421053,9.973684210526315,740.5526315789474,38,18,0.001338216650232427,0.47368421052631576,0.47368421052631576
max,2.433333333333333,9.992307692307692,861.9102564102565,390,223,0.013734328778701226,0.5717948717948718,0.5717948717948718
mortis,2.1830086234429893,9.99616735867135,832.8847013733631,3131,1730,0.11026200873362445,0.5525391248802299,0.5525391248802299
mr-p,2.3591954022988504,9.995210727969349,832.5775862068965,1044,591,0.03676574165375405,0.5660919540229885,0.5660919540229885
nani,2.2097053726169844,9.960138648180243,822.7758521086078,1731,960,0.06095929004085082,0.5545927209705372,0.5545927209705372
nita,1.1176470588235294,10.0,729.7058823529412,17,8,0.0005986758698408226,0.47058823529411764,0.47058823529411764
pam,-3.9166666666666665,9.75,751.0833333333334,12,1,0.0004225947316523454,0.08333333333333333,0.08333333333333333
penny,1.1258992805755397,9.95503597122302,763.4226618705036,556,262,0.01958022256655867,0.4712230215827338,0.4712230215827338
piper,1.3569377990430622,9.944497607655503,805.5387559808612,4180,2044,0.14720383152556699,0.48899521531100476,0.48899521531100476
poco,-0.6144578313253012,9.939759036144578,761.6626506024096,83,28,0.0029229468939287223,0.3373493975903614,0.3373493975903614
