brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,3.6666666666666665,9.916666666666666,760.7291666666666,48,32,0.0026739457411843353,0.6666666666666666,0.6666666666666666
amber,0.9518072289156626,9.795180722891565,737.8313253012049,83,38,0.004623697844131246,0.4578313253012048,0.4578313253012048
barley,1.4628571428571429,9.971428571428572,756.1542857142857,175,87,0.009748760514734556,0.49714285714285716,0.49714285714285716
bea,0.7416666666666667,9.775,773.6166666666667,120,53,0.006684864352960838,0.44166666666666665,0.44166666666666665
belle,1.0185185185185186,9.697530864197532,726.3518518518518,162,75,0.009024566876497131,0.46296296296296297,0.46296296296296297
bibi,0.11702127659574468,9.925531914893616,730.1808510638298,94,37,0.005236477076485989,0.39361702127659576,0.39361702127659576
bo,-1.0321285140562249,9.947791164658634,719.0562248995984,249,76,0.013871093532393738,0.30522088353413657,0.30522088353413657
brock,0.9609756097560975,9.941463414634146,767.1682926829268,410,188,0.022839953205949528,0.4585365853658537,0.4585365853658537
bull,2.3125,9.966796875,834.591796875,512,288,0.02852208790596624,0.5625,0.5625
buzz,0.36627906976744184,9.651162790697674,752.6569767441861,172,71,0.009581638905910534,0.4127906976744186,0.4127906976744186
byron,-0.07258064516129033,9.774193548387096,731.4596774193549,124,47,0.006907693164726199,0.3790322580645161,0.3790322580645161
carl,0.2,9.86,754.48,50,20,0.002785360147067016,0.4,0.4
colette,-0.6666666666666666,9.909090909090908,711.2121212121212,33,11,0.0018383376970642303,0.3333333333333333,0.3333333333333333
colonel-ruffs,2.5239726027397262,9.938356164383562,854.0513698630137,292,169,0.01626650325887137,0.5787671232876712,0.5787671232876712
colt,0.9119804400977995,9.968215158924206,780.6185819070905,409,186,0.02278424600300819,0.4547677261613692,0.4547677261613692
crow,-0.9186046511627907,9.86046511627907,732.1511627906976,172,54,0.009581638905910534,0.313953488372093,0.313953488372093
darryl,2.144144144144144,9.882882882882884,782.4144144144144,111,61,0.006183499526488775,0.5495495495495496,0.5495495495495496
dynamike,0.76,9.854358974358975,764.5979487179487,975,432,0.05431452286780681,0.4430769230769231,0.4430769230769231
edgar,1.0,9.81456043956044,757.6263736263736,728,336,0.04055484374129575,0.46153846153846156,0.46153846153846156
el-primo,2.1322188449848025,9.890577507598785,854.4376899696049,658,361,0.036655339535401926,0.5486322188449848,0.5486322188449848
emz,1.0666666666666667,9.726666666666667,737.5666666666667,150,70,0.008356080441201048,0.4666666666666667,0.4666666666666667
frank,-0.9761904761904762,9.666666666666666,704.5952380952381,42,13,0.0023397025235362932,0.30952380952380953,0.30952380952380953
gale,-1.0,10.0,728.5384615384615,26,8,0.0014483872764748482,0.3076923076923077,0.3076923076923077
gene,3.1627906976744184,9.93296853625171,897.3242134062928,731,459,0.04072196535011977,0.627906976744186,0.627906976744186
jacky,1.5,9.941176470588236,790.6,170,85,0.009470224500027854,0.5,0.5
jessie,-0.07109004739336493,9.838862559241706,749.1327014218009,211,80,0.011754219820622807,0.3791469194312796,0.3791469194312796
leon,1.0073349633251834,9.880195599022004,774.2885085574572,409,189,0.02278424600300819,0.4621026894865526,0.4621026894865526
lou,-0.6666666666666666,9.933333333333334,720.1333333333333,15,5,0.0008356080441201048,0.3333333333333333,0.3333333333333333
max,0.2,9.8,780.4,25,10,0.001392680073533508,0.4,0.4
mortis,1.2,9.979807692307693,788.1884615384615,1040,496,0.057935491058993926,0.47692307692307695,0.47692307692307695
mr-p,2.886128364389234,9.987577639751553,838.27950310559,483,293,0.026906579020667374,0.6066252587991718,0.6066252587991718
nani,-0.34328358208955223,9.791044776119403,733.3283582089553,67,24,0.003732382597069801,0.3582089552238806,0.3582089552238806
nita,-0.2169811320754717,9.99056603773585,712.0377358490566,106,39,0.005904963511782073,0.36792452830188677,0.36792452830188677
pam,1.5,9.944444444444445,676.2222222222222,18,9,0.0010027296529441256,0.5,0.5
penny,0.17699115044247787,9.969026548672566,743.8008849557522,226,90,0.01258982786474291,0.39823008849557523,0.39823008849557523
piper,-0.15605095541401273,9.89171974522293,735.0031847133758,314,117,0.017492061723580858,0.37261146496815284,0.37261146496815284
poco,2.1341463414634148,9.96951219512195,813.7256097560976,164,90,0.009135981282379812,0.5487804878048781,0.5487804878048781
rico,2.284113381674357,9.972643375082399,833.4429795649307,3034,1700,0.16901565372402652,0.5603164139749506,0.5603164139749506
rosa,2.195187165775401,9.898395721925134,820.812834224599,374,207,0.020834493900061278,0.553475935828877,0.553475935828877
sandy,0.27722772277227725,9.950495049504951,731.6435643564356,101,41,0.005626427497075372,0.40594059405940597,0.40594059405940597
shelly,-0.024691358024691357,9.91358024691358,739.7283950617284,243,93,0.013536850314745696,0.38271604938271603,0.38271604938271603
spike,1.791044776119403,9.932835820895523,727.6865671641791,134,70,0.007464765194139602,0.5223880597014925,0.5223880597014925
sprout,2.6003303055326175,9.940545004128818,851.0850536746491,1211,708,0.06746142276196312,0.5846407927332783,0.5846407927332783
squeak,2.54,9.88,719.57,100,58,0.005570720294134032,0.58,0.58
stu,0.5188679245283019,9.88679245283019,782.2830188679245,106,45,0.005904963511782073,0.42452830188679247,0.42452830188679247
surge,2.336291038154392,9.929902395740905,838.50842945874,1127,636,0.06278201771489053,0.5643300798580302,0.5643300798580302
tara,0.45318352059925093,9.868913857677903,747.3445692883895,267,112,0.014873823185337864,0.41947565543071164,0.41947565543071164
tick,1.1925675675675675,9.85945945945946,801.420945945946,1480,705,0.08244666035318367,0.47635135135135137,0.47635135135135137
