brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,2.3783783783783785,9.756756756756756,735.5405405405405,74,42.0,0.0022114637499252884,0.5675675675675675,0.5675675675675675
amber,0.12121212121212122,9.818181818181818,739.8787878787879,33,13.0,0.0009861932938856016,0.3939393939393939,0.3939393939393939
barley,0.6055045871559633,9.8348623853211,712.559633027523,109,47.0,0.0032574263343494113,0.43119266055045874,0.43119266055045874
bea,1.5145413870246085,9.926174496644295,819.158836689038,447,224.0,0.013358436435359512,0.5011185682326622,0.5011185682326622
belle,2.020671834625323,9.918604651162791,820.7002583979328,774,418.0,0.023130715438407747,0.5400516795865633,0.5400516795865633
bibi,0.47368421052631576,9.956140350877194,762.561403508772,114,48.0,0.0034068495606957147,0.42105263157894735,0.42105263157894735
bo,-0.125,9.935,712.405,200,75.0,0.005976929053852131,0.375,0.375
brock,1.8442508710801393,9.973519163763067,817.7494773519164,2870,1511.0,0.08576893192277808,0.5264808362369338,0.5264808362369338
bull,3.2567567567567566,9.968468468468469,870.4684684684685,444,282.0,0.01326878249955173,0.6351351351351351,0.6351351351351351
buzz,3.303225806451613,9.82258064516129,791.1548387096774,310,198.0,0.009264240033470802,0.6387096774193548,0.6387096774193548
byron,1.3010204081632653,9.854591836734693,787.7397959183673,392,190.0,0.011714780945550176,0.4846938775510204,0.4846938775510204
carl,2.6206896551724137,9.922413793103448,742.0258620689655,116,68.0,0.0034666188512342357,0.5862068965517241,0.5862068965517241
colette,3.630252100840336,9.915966386554622,842.2100840336135,119,79.0,0.003556272787042018,0.6638655462184874,0.6638655462184874
colonel-ruffs,1.6477272727272727,9.784090909090908,735.7954545454545,88,45.0,0.0026298487836949377,0.5113636363636364,0.5113636363636364
colt,-0.10030395136778116,9.872340425531915,749.8085106382979,329,124.0,0.009832048293586755,0.3768996960486322,0.3768996960486322
crow,-0.528,9.908,752.48,250,86.0,0.007471161317315163,0.344,0.344
darryl,3.5073529411764706,9.941176470588236,839.0220588235294,136,89.0,0.004064311756619449,0.6544117647058824,0.6544117647058824
dynamike,-0.5201560468140443,9.860858257477243,712.1326397919375,769,265.0,0.02298129221206144,0.34460338101430427,0.34460338101430427
edgar,-0.1533980582524272,9.897087378640776,761.4893203883495,515,192.0,0.015390592313669236,0.37281553398058254,0.37281553398058254
el-primo,2.4178674351585014,9.960614793467819,853.9798270893372,1041,594.0,0.03110991572530034,0.5706051873198847,0.5706051873198847
emz,-0.25396825396825395,9.555555555555555,732.7063492063492,126,46.0,0.0037654653039268424,0.36507936507936506,0.36507936507936506
frank,3.033707865168539,9.938202247191011,874.3089887640449,356,220.0,0.010638933715856792,0.6179775280898876,0.6179775280898876
gale,-1.5333333333333334,9.9,713.6,30,8.0,0.0008965393580778196,0.26666666666666666,0.26666666666666666
gene,1.7716535433070866,9.946093276801939,860.9678982434888,1651,860.0,0.049339549339549336,0.5208964264082374,0.5208964264082374
jacky,2.1353383458646618,9.984962406015038,848.203007518797,133,73.0,0.003974657820811667,0.5488721804511278,0.5488721804511278
jessie,-0.8301886792452831,9.773584905660377,726.2201257861635,159,51.0,0.004751658597812444,0.32075471698113206,0.32075471698113206
leon,0.6627118644067796,9.930508474576271,760.1355932203389,590,257.0,0.017631940708863786,0.43559322033898307,0.43559322033898307
lou,0.35294117647058826,9.882352941176471,714.6470588235294,17,7.0,0.0005080389695774311,0.4117647058823529,0.4117647058823529
max,-0.16279069767441862,9.813953488372093,786.8488372093024,86,32.0,0.002570079493156416,0.37209302325581395,0.37209302325581395
mortis,1.7599079971691436,9.965145081387119,819.102618542109,5652,2939.0,0.1689080150618612,0.5199929228591649,0.5199929228591649
mr-p,1.8156474820143884,9.997302158273381,823.6906474820144,1112,583.0,0.03323172553941785,0.5242805755395683,0.5242805755395683
nani,1.0666666666666667,9.862745098039216,783.1882352941177,255,119.0,0.007620584543661467,0.4666666666666667,0.4666666666666667
nita,-0.03636363636363636,9.945454545454545,692.8909090909091,55,21.0,0.001643655489809336,0.38181818181818183,0.38181818181818183
pam,-5.0,9.6,711.0,5,0.0,0.00014942322634630328,0.0,0.0
penny,1.5294117647058822,9.976621417797888,776.080693815988,1326,666.0,0.039627039627039624,0.502262443438914,0.502262443438914
piper,1.8646423057128152,9.970921255790016,824.8255275347401,3886,2052.0,0.1161317315163469,0.528049408131755,0.528049408131755
poco,3.1996658312447788,9.995822890559733,873.2990810359231,1197,755.0,0.035771920387305,0.6307435254803676,0.6307435254803676
rico,1.8823529411764706,9.946524064171124,774.4010695187166,187,99.0,0.005588428665351742,0.5294117647058824,0.5294117647058824
rosa,-0.37777777777777777,9.855555555555556,770.0666666666667,90,32.0,0.0026896180742334587,0.35555555555555557,0.35555555555555557
sandy,0.34579439252336447,9.962616822429906,725.6355140186915,107,44.0,0.00319765704381089,0.411214953271028,0.411214953271028
shelly,-0.8,9.892307692307693,739.8461538461538,65,21.0,0.0019425019425019425,0.3230769230769231,0.3230769230769231
spike,-0.35714285714285715,9.88888888888889,718.3809523809524,126,45.0,0.0037654653039268424,0.35714285714285715,0.35714285714285715
sprout,1.5490423679628555,9.96285548461985,823.9733023795706,1723,868.0,0.051491243798936104,0.5037724898432966,0.5037724898432966
squeak,2.129032258064516,9.865591397849462,745.1236559139785,186,102.0,0.005558544020082482,0.5483870967741935,0.5483870967741935
stu,1.1835205992509363,9.917602996254681,806.4044943820224,267,127.0,0.007979200286892595,0.4756554307116105,0.4756554307116105
surge,1.1159737417943107,9.86870897155361,775.6586433260394,457,215.0,0.01365728288805212,0.47045951859956237,0.47045951859956237
tara,-1.1194029850746268,9.880597014925373,746.8656716417911,134,40.0,0.004004542466080928,0.29850746268656714,0.29850746268656714
tick,0.8610473128158016,9.897106109324758,795.4049150206706,4354,1963.0,0.13011774550236088,0.4508497932935232,0.4508497932935232
