brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-0.8705882352941177,9.952941176470588,716.4,85,27.0,0.002543615525032169,0.3176470588235294,0.3176470588235294
amber,-0.9818181818181818,9.672727272727272,710.2181818181818,55,17.0,0.0016458688691384624,0.3090909090909091,0.3090909090909091
barley,-0.6666666666666666,10.0,656.6666666666666,6,2.0,0.00017954933117874137,0.3333333333333333,0.3333333333333333
bea,-1.1177474402730376,9.866894197952218,757.5426621160409,586,175.0,0.017535984678457073,0.2986348122866894,0.2986348122866894
belle,0.8578313253012049,9.865863453815262,794.2465863453815,1245,561.0,0.03725648621958883,0.4506024096385542,0.4506024096385542
bibi,-0.6666666666666666,10.0,747.6666666666666,27,9.0,0.0008079719903043361,0.3333333333333333,0.3333333333333333
bo,-1.34375,9.925,732.4875,160,45.0,0.004787982164766436,0.28125,0.28125
brock,1.5332991803278688,9.96234631147541,821.1677766393443,3904,1962.0,0.11682676482030105,0.5025614754098361,0.5025614754098361
bull,-3.9166666666666665,10.0,768.75,12,1.0,0.00035909866235748274,0.08333333333333333,0.08333333333333333
buzz,-2.0,9.423076923076923,769.4230769230769,26,6.0,0.0007780471017745458,0.23076923076923078,0.23076923076923078
byron,1.0262080262080262,9.851760851760853,793.8468468468468,1221,566.0,0.036538288894873865,0.46355446355446356,0.46355446355446356
carl,-0.047619047619047616,9.857142857142858,751.0952380952381,21,8.0,0.0006284226591255947,0.38095238095238093,0.38095238095238093
colette,-2.4,9.85,724.1,20,4.0,0.0005984977705958045,0.2,0.2
colonel-ruffs,-2.111111111111111,9.925925925925926,738.3333333333334,27,6.0,0.0008079719903043361,0.2222222222222222,0.2222222222222222
colt,-0.5273311897106109,9.995176848874598,763.2379421221865,622,214.0,0.01861328066552952,0.3440514469453376,0.3440514469453376
crow,-1.5727272727272728,9.89090909090909,725.95,220,58.0,0.006583475476553849,0.2636363636363636,0.2636363636363636
darryl,-1.75,9.166666666666666,697.75,12,3.0,0.00035909866235748274,0.25,0.25
dynamike,-1.97979797979798,9.686868686868687,710.070707070707,99,23.0,0.0029625639644492324,0.23232323232323232,0.23232323232323232
edgar,-0.2,9.938461538461539,769.6769230769231,65,24.0,0.0019451177544363646,0.36923076923076925,0.36923076923076925
el-primo,-3.23728813559322,9.711864406779661,762.6949152542373,59,8.0,0.0017655684232576233,0.13559322033898305,0.13559322033898305
emz,-1.1,9.725,709.375,40,12.0,0.001196995541191609,0.3,0.3
frank,0.6521739130434783,9.826086956521738,793.2608695652174,23,10.0,0.0006882724361851752,0.43478260869565216,0.43478260869565216
gale,-2.5925925925925926,9.851851851851851,703.0370370370371,27,5.0,0.0008079719903043361,0.18518518518518517,0.18518518518518517
gene,0.9943630214205186,9.869222096956031,843.0462232243517,887,409.0,0.02654337612592393,0.46110484780157834,0.46110484780157834
jacky,-5.0,10.0,719.0,3,0.0,8.977466558937069e-05,0.0,0.0
jessie,-2.263157894736842,9.694736842105263,704.2315789473685,95,20.0,0.0028428644103300716,0.21052631578947367,0.21052631578947367
leon,0.3343465045592705,9.936170212765957,774.0911854103343,329,135.0,0.009845288326300985,0.41033434650455924,0.41033434650455924
lou,1.7241379310344827,9.931034482758621,798.7931034482758,29,15.0,0.0008678217673639166,0.5172413793103449,0.5172413793103449
max,1.0268199233716475,9.980842911877394,829.2528735632184,261,121.0,0.007810395906275249,0.46360153256704983,0.46360153256704983
mortis,1.6019163763066202,9.872822299651569,803.712543554007,1148,583.0,0.03435377203219918,0.5078397212543554,0.5078397212543554
mr-p,1.847145488029466,9.98158379373849,827.9889502762431,543,286.0,0.016249214471676092,0.5267034990791897,0.5267034990791897
nani,2.4794028200165883,9.953414431849598,843.4896322919546,7234,4162.0,0.2164766436245025,0.5753386784628145,0.5753386784628145
nita,-2.111111111111111,10.0,707.7777777777778,9,2.0,0.00026932399676811203,0.2222222222222222,0.2222222222222222
pam,-1.75,9.375,674.875,8,2.0,0.00023939910823832182,0.25,0.25
penny,0.30514705882352944,9.915441176470589,720.0772058823529,272,111.0,0.008139569680102942,0.40808823529411764,0.40808823529411764
piper,1.5269183922046285,9.950426309378805,823.0293544457978,8210,4122.0,0.24568333482957777,0.5020706455542022,0.5020706455542022
poco,1.3898305084745763,9.966101694915254,734.9491525423729,59,29.0,0.0017655684232576233,0.4915254237288136,0.4915254237288136
rico,-0.8780487804878049,9.804878048780488,714.5853658536586,41,13.0,0.0012269204297213994,0.3170731707317073,0.3170731707317073
rosa,0.2,10.0,771.2,5,2.0,0.00014962444264895113,0.4,0.4
sandy,-2.111111111111111,10.0,745.6111111111111,18,4.0,0.0005386479935362241,0.2222222222222222,0.2222222222222222
shelly,-1.5789473684210527,10.0,762.421052631579,19,5.0,0.0005685728820660143,0.2631578947368421,0.2631578947368421
spike,-0.5373134328358209,9.970149253731343,725.5522388059702,67,23.0,0.002004967531495945,0.34328358208955223,0.34328358208955223
sprout,2.5802023121387285,9.96242774566474,824.8222543352601,1384,807.0,0.041416045725229673,0.583092485549133,0.583092485549133
squeak,0.8969072164948454,9.814432989690722,710.5876288659794,97,44.0,0.002902714187389652,0.4536082474226804,0.4536082474226804
stu,0.2962962962962963,9.962962962962964,808.7901234567901,81,33.0,0.0024239159709130084,0.4074074074074074,0.4074074074074074
surge,-0.18518518518518517,9.537037037037036,710.5555555555555,54,20.0,0.0016159439806086723,0.37037037037037035,0.37037037037037035
tara,-2.2142857142857144,9.928571428571429,734.3571428571429,28,6.0,0.0008378968788341263,0.21428571428571427,0.21428571428571427
tick,1.902365374937091,9.925515853044791,844.0973829894313,3974,2110.0,0.11892150701738637,0.5309511826874685,0.5309511826874685
