brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,0.7352941176470589,9.970588235294118,703.3823529411765,34,15.0,0.0014007910349373763,0.4411764705882353,0.4411764705882353
amber,0.09166666666666666,9.908333333333333,736.45,120,47.0,0.004943968358602505,0.39166666666666666,0.39166666666666666
barley,-2.4,10.0,694.0,5,1.0,0.0002059986816084377,0.2,0.2
bea,-0.6666666666666666,9.666666666666666,708.4722222222222,36,12.0,0.0014831905075807514,0.3333333333333333,0.3333333333333333
belle,-1.6571428571428573,9.428571428571429,707.8571428571429,35,9.0,0.001441990771259064,0.2571428571428571,0.2571428571428571
bibi,-0.7941176470588235,9.764705882352942,692.4705882352941,34,11.0,0.0014007910349373763,0.3235294117647059,0.3235294117647059
bo,1.9790855329583152,9.997547959036492,813.2420308668686,6933,3722.0,0.28563777191825973,0.5368527333044858,0.5368527333044858
brock,2.2420091324200913,9.95890410958904,801.689497716895,219,122.0,0.009022742254449571,0.5570776255707762,0.5570776255707762
bull,-0.26490066225165565,9.824503311258278,727.4006622516556,302,110.0,0.012442320369149638,0.36423841059602646,0.36423841059602646
buzz,1.875,9.432692307692308,728.5288461538462,104,55.0,0.0042847725774555045,0.5288461538461539,0.5288461538461539
byron,1.5,10.0,707.7692307692307,26,13.0,0.0010711931443638761,0.5,0.5
carl,-0.2727272727272727,9.909090909090908,717.7272727272727,11,4.0,0.00045319709953856296,0.36363636363636365,0.36363636363636365
colette,-1.5333333333333334,10.0,712.2,15,4.0,0.0006179960448253132,0.26666666666666666,0.26666666666666666
colonel-ruffs,1.4133333333333333,10.0,808.48,75,37.0,0.0030899802241265654,0.49333333333333335,0.49333333333333335
colt,-0.9142857142857143,9.961904761904762,716.6095238095238,105,33.0,0.004325972313777192,0.3142857142857143,0.3142857142857143
crow,-1.0406091370558375,9.893401015228426,717.015228426396,197,60.0,0.008116348055372445,0.30456852791878175,0.30456852791878175
darryl,-1.0204081632653061,9.551020408163266,698.4897959183673,49,15.0,0.0020187870797626897,0.30612244897959184,0.30612244897959184
dynamike,0.4672897196261682,9.878504672897197,733.7289719626168,107,45.0,0.004408371786420567,0.4205607476635514,0.4205607476635514
edgar,-0.9304347826086956,9.704347826086957,689.6,115,36.0,0.0047379696769940674,0.3130434782608696,0.3130434782608696
el-primo,-1.3380281690140845,9.772300469483568,779.0821596244132,426,120.0,0.017551087673038892,0.28169014084507044,0.28169014084507044
emz,0.11011523687580026,9.902688860435338,765.7144686299616,781,307.0,0.03217699406723797,0.39308578745198464,0.39308578745198464
frank,1.1043478260869566,9.782608695652174,792.8434782608696,115,54.0,0.0047379696769940674,0.46956521739130436,0.46956521739130436
gale,1.9333333333333333,10.0,669.0,15,8.0,0.0006179960448253132,0.5333333333333333,0.5333333333333333
gene,1.175,9.955,785.43,200,95.0,0.008239947264337508,0.475,0.475
