brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,0.42718446601941745,9.951456310679612,727.5728155339806,103,43,0.006099727584981641,0.4174757281553398,0.4174757281553398
amber,-0.4897959183673469,9.73469387755102,779.1224489795918,98,34,0.00580362430415729,0.3469387755102041,0.3469387755102041
barley,-1.3888888888888888,10.0,727.0,18,5,0.0010659718109676656,0.2777777777777778,0.2777777777777778
bea,0.15404040404040403,9.883838383838384,751.5631313131313,396,157,0.02345137984128864,0.39646464646464646,0.39646464646464646
belle,2.493910690121786,9.859269282814614,814.7929634641407,739,426,0.04376406490583916,0.5764546684709067,0.5764546684709067
bibi,-0.047619047619047616,9.952380952380953,721.0,42,16,0.002487267558924553,0.38095238095238093,0.38095238095238093
bo,-0.0730593607305936,9.945205479452055,715.0958904109589,219,83,0.012969323700106597,0.3789954337899543,0.3789954337899543
brock,2.743211334120425,9.966351829988193,851.5017709563164,1694,1009,0.1003197915432903,0.5956316410861865,0.5956316410861865
bull,-2.0,9.76923076923077,700.7307692307693,26,6,0.001539737060286628,0.23076923076923078,0.23076923076923078
buzz,3.2029520295202953,9.885608856088561,854.1771217712177,271,171,0.016048797820679854,0.6309963099630996,0.6309963099630996
byron,1.7372262773722629,9.835766423357665,785.9416058394161,548,284,0.03245291957834893,0.5182481751824818,0.5182481751824818
carl,1.6226415094339623,9.90566037735849,744.8867924528302,53,27,0.003138694776738126,0.5094339622641509,0.5094339622641509
colette,-0.5172413793103449,9.810344827586206,705.0,58,20,0.003434798057562478,0.3448275862068966,0.3448275862068966
colonel-ruffs,1.6031746031746033,9.952380952380953,778.5238095238095,126,64,0.007461802676773659,0.5079365079365079,0.5079365079365079
colt,0.9823008849557522,9.952802359882005,768.5870206489675,339,156,0.020075802439891034,0.46017699115044247,0.46017699115044247
crow,-1.1039755351681957,9.91131498470948,722.7400611620795,327,98,0.01936515456591259,0.2996941896024465,0.2996941896024465
darryl,-2.2142857142857144,9.785714285714286,717.5357142857143,28,6,0.0016581783726163685,0.21428571428571427,0.21428571428571427
dynamike,-0.6179775280898876,9.831460674157304,719.1348314606741,178,60,0.010541276797346915,0.33707865168539325,0.33707865168539325
edgar,-0.7064220183486238,9.6651376146789,720.8348623853211,218,72,0.012910103043941726,0.3302752293577982,0.3302752293577982
el-primo,-1.1764705882352942,9.813725490196079,754.4215686274509,102,30,0.006040506928816771,0.29411764705882354,0.29411764705882354
emz,-0.14018691588785046,9.616822429906541,702.7663551401869,107,40,0.0063366102096411225,0.37383177570093457,0.37383177570093457
frank,-0.35714285714285715,9.571428571428571,691.3571428571429,14,5,0.0008290891863081842,0.35714285714285715,0.35714285714285715
gale,-1.372093023255814,9.906976744186046,737.3488372093024,43,12,0.0025464882150894232,0.27906976744186046,0.27906976744186046
gene,1.95010183299389,9.917515274949084,823.0122199592668,982,525,0.05815468435390264,0.5346232179226069,0.5346232179226069
jacky,-1.5333333333333334,9.8,722.2,15,4,0.0008883098424730546,0.26666666666666666,0.26666666666666666
jessie,-1.1933701657458564,9.756906077348066,711.3314917127071,181,53,0.010718938765841526,0.292817679558011,0.292817679558011
leon,0.9956896551724138,9.941810344827585,770.2219827586207,464,214,0.027478384460499824,0.46120689655172414,0.46120689655172414
lou,1.76,9.88,732.08,25,13,0.0014805164041217576,0.52,0.52
max,0.14583333333333334,9.958333333333334,786.1979166666666,96,38,0.005685182991827549,0.3958333333333333,0.3958333333333333
mortis,1.6844884488448846,9.991419141914191,818.8943894389439,1515,779,0.08971929408977851,0.5141914191419142,0.5141914191419142
mr-p,1.8019559902200488,9.968215158924206,824.3838630806846,409,214,0.024221248371431955,0.5232273838630807,0.5232273838630807
nani,2.025531914893617,9.953191489361702,791.1021276595744,470,254,0.027833708397489044,0.5404255319148936,0.5404255319148936
nita,0.8157894736842105,9.921052631578947,697.2631578947369,38,17,0.002250384934265072,0.4473684210526316,0.4473684210526316
pam,0.5714285714285714,9.761904761904763,714.7142857142857,21,9,0.0012436337794622765,0.42857142857142855,0.42857142857142855
penny,1.7284345047923322,9.955271565495208,754.8817891373802,313,162,0.018536065379604404,0.5175718849840255,0.5175718849840255
piper,1.9823487031700289,9.96721902017291,830.5579971181556,2776,1491,0.16439654151367997,0.5371037463976945,0.5371037463976945
poco,-0.125,9.902777777777779,693.1805555555555,72,27,0.0042638872438706624,0.375,0.375
rico,3.112403100775194,9.992248062015504,864.5403100775194,1290,805,0.0763946464526827,0.624031007751938,0.624031007751938
rosa,2.25,9.884615384615385,742.0961538461538,52,29,0.003079474120573256,0.5576923076923077,0.5576923076923077
sandy,-1.1764705882352942,9.96078431372549,706.9607843137255,51,15,0.0030202534644083855,0.29411764705882354,0.29411764705882354
shelly,0.6727272727272727,9.709090909090909,686.8727272727273,55,24,0.0032571360890678667,0.43636363636363634,0.43636363636363634
spike,-0.5984251968503937,9.952755905511811,735.8976377952756,127,43,0.007521023332938529,0.33858267716535434,0.33858267716535434
sprout,2.628099173553719,9.96694214876033,820.404958677686,726,426,0.04299419637569584,0.5867768595041323,0.5867768595041323
squeak,2.7037037037037037,9.657407407407407,696.3611111111111,108,64,0.006395830865805993,0.5925925925925926,0.5925925925925926
stu,0.5714285714285714,9.780219780219781,727.9230769230769,91,39,0.005389079711003198,0.42857142857142855,0.42857142857142855
surge,-0.8493975903614458,9.765060240963855,722.4879518072289,166,53,0.009830628923368471,0.3192771084337349,0.3192771084337349
tara,-0.957983193277311,9.92436974789916,735.8655462184873,119,37,0.007047258083619567,0.31092436974789917,0.31092436974789917
tick,-0.15660184237461616,9.840327533265096,760.8884339815762,977,364,0.05785858107307829,0.3725690890481064,0.3725690890481064
