brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,2.6382012264365207,9.970701794231205,823.6011810129457,4403,2587,0.027294931561198176,0.587553940495117,0.587553940495117
amber,2.1003861003861,9.922185922185923,834.6474606474607,3367,1839,0.020872594723269192,0.5461835461835461,0.5461835461835461
barley,-0.18518518518518517,9.88888888888889,704.4814814814815,81,30,0.0005021325133902003,0.37037037037037035,0.37037037037037035
bea,1.5161382734912148,9.933632543926661,812.4334415584416,10472,5249,0.06491767506447134,0.5012414056531703,0.5012414056531703
belle,2.6481402913307877,9.89930702870881,827.2879366426248,7071,4160,0.0438343086689149,0.5883184839485222,0.5883184839485222
bibi,0.30764807360552043,9.876365727429556,733.7912593444509,1739,710,0.010780351120809363,0.4082806210465785,0.4082806210465785
bo,1.3522727272727273,9.943181818181818,749.4905303030303,1056,516,0.006546320174568538,0.48863636363636365,0.48863636363636365
brock,1.5878667985492911,9.969502143092647,800.678700956149,6066,3074,0.03760414600277723,0.5067589845037916,0.5067589845037916
bull,0.6808009422850412,9.878680800942284,753.6513545347468,849,371,0.005263092640349137,0.4369846878680801,0.4369846878680801
buzz,2.930794886047804,9.585047248471373,739.0016675931073,3598,2195,0.02230460226145606,0.6100611450806004,0.6100611450806004
byron,2.340636042402827,9.9226148409894,824.078445229682,5660,3196,0.03508728426899425,0.5646643109540636,0.5646643109540636
carl,1.2907961603613778,9.9356295878035,776.678712591756,1771,857,0.010978724459432652,0.4839073969508752,0.4839073969508752
colette,1.4470725087243117,9.936409461031408,795.8216362931369,2579,1279,0.0159876512596707,0.49592865451725476,0.49592865451725476
colonel-ruffs,1.9590690208667736,9.945425361155698,790.784911717496,1246,667,0.007724161872644316,0.5353130016051364,0.5353130016051364
colt,0.7794371051120046,9.97118514263833,780.2032356883018,10446,4644,0.06475649672683992,0.4445720850086157,0.4445720850086157
crow,2.0206793579693914,9.96334453154162,833.7060843598358,13395,7234,0.08303783971434239,0.5400522583053378,0.5400522583053378
darryl,1.348051948051948,9.857142857142858,767.4766233766234,770,376,0.004773358460622892,0.4883116883116883,0.4883116883116883
dynamike,-0.4855305466237942,9.779742765273312,710.6165594855305,1244,432,0.007711763538980361,0.34726688102893893,0.34726688102893893
edgar,-0.26139088729016785,9.623501199040767,709.2853717026379,834,304,0.0051701051378694705,0.3645083932853717,0.3645083932853717
el-primo,-0.00026932399676811203,9.78023161863722,762.2800969566389,3713,1428,0.023017506447133504,0.384594667384864,0.384594667384864
emz,0.3236088600756348,9.768233387358185,763.9983792544571,1851,758,0.011474657805990876,0.4095083738519719,0.4095083738519719
frank,0.9565916398713826,9.713826366559486,756.6760450160772,1244,570,0.007711763538980361,0.45819935691318325,0.45819935691318325
gale,1.9835640138408304,9.92560553633218,764.446366782007,1156,621,0.007166236857766317,0.53719723183391,0.53719723183391
gene,1.6501427459122762,9.957176226317156,835.8698416818064,7706,3942,0.04777077960722079,0.511549441993252,0.511549441993252
jacky,1.2033195020746887,9.78838174273859,731.4771784232365,241,115,0.0014939992065066455,0.47717842323651455,0.47717842323651455
jessie,0.7512,9.8868,773.7168,2500,1106,0.015497917079944456,0.4424,0.4424
leon,1.763157894736842,9.956275303643725,787.0344129554655,2470,1285,0.015311942074985123,0.520242914979757,0.520242914979757
lou,2.470856102003643,9.854280510018215,792.4162112932605,1098,631,0.006806685181511605,0.5746812386156649,0.5746812386156649
max,1.3760337552742616,9.95240506329114,828.1311392405063,5925,2906,0.03673006347946836,0.49046413502109704,0.49046413502109704
mortis,0.21419958862330662,9.977232427831762,738.4391091566778,14099,5655,0.08740205316405475,0.40109227604794667,0.40109227604794667
mr-p,2.1704035874439462,9.983344010249839,811.0839205637412,1561,861,0.009676899424717318,0.5515695067264574,0.5515695067264574
nani,1.7237033446437227,9.916626272418808,808.6020358700921,2063,1067,0.012788881174370164,0.5172079495879787,0.5172079495879787
nita,0.5323624595469255,9.93042071197411,725.2459546925567,618,263,0.0038310851021622692,0.4255663430420712,0.4255663430420712
pam,3.151005334427575,9.983791546983996,841.9091095609356,4874,3056,0.03021473913905971,0.6270004103405827,0.6270004103405827
penny,2.037759864234196,9.972846839202376,808.4306321595249,2357,1276,0.014611436222971633,0.5413661434026305,0.5413661434026305
piper,1.684993531694696,9.980163863734369,814.1490944372574,9276,4770,0.05750347153342591,0.5142302716688227,0.5142302716688227
poco,1.6697247706422018,9.94636556104446,756.074805928017,1417,727,0.008784219400912518,0.5130557515878617,0.5130557515878617
rico,0.2833211944646759,9.914785142024764,745.959213401311,1373,558,0.008511456060305496,0.4064093226511289,0.4064093226511289
rosa,-0.09271523178807947,9.649006622516556,714.5430463576159,151,57,0.0009360741916286451,0.37748344370860926,0.37748344370860926
sandy,1.536460989291178,9.945436002039775,775.8745537990822,1961,986,0.01215656615750843,0.5028046914839368,0.5028046914839368
shelly,-0.14759358288770053,9.88663101604278,739.1326203208556,935,349,0.005796220987899226,0.3732620320855615,0.3732620320855615
spike,1.976552179656539,9.953104359313079,809.3477542932628,3028,1625,0.018771077167228725,0.53665785997358,0.53665785997358
sprout,2.317288801571709,9.959724950884086,819.4115913555992,1018,573,0.006310751834953382,0.56286836935167,0.56286836935167
