brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,0.9347826086956522,9.954710144927537,751.7481884057971,552,252,0.003984006235835847,0.45652173913043476,0.45652173913043476
amber,2.566858940744625,9.896696381751442,837.9213424226534,1907,1110,0.013763586760396669,0.5820660723649712,0.5820660723649712
barley,1.4557823129251701,9.945578231292517,734.1122448979592,294,146,0.002121916364738658,0.4965986394557823,0.4965986394557823
bea,1.8780940594059405,9.936571782178218,844.2233910891089,3232,1710,0.023326645206922934,0.5290841584158416,0.5290841584158416
belle,2.49320882852292,9.882852292020374,778.2334465195246,1178,679,0.008502100264156934,0.5764006791171478,0.5764006791171478
bibi,0.8209541062801933,9.897041062801932,773.6376811594203,3312,1483,0.023904037415015084,0.4477657004830918,0.4477657004830918
bo,0.8958120531154239,9.981613891726251,761.6741573033707,979,444,0.007065837146527708,0.45352400408580185,0.45352400408580185
brock,1.2200956937799043,9.929824561403509,763.7639553429027,1254,600,0.009050622861844479,0.4784688995215311,0.4784688995215311
bull,0.9544041450777202,9.916062176165804,765.5775474956822,2895,1326,0.020894380530334742,0.45803108808290155,0.45803108808290155
buzz,2.7224770642201834,9.613073394495412,747.6176605504587,4360,2590,0.03146787534102227,0.5940366972477065,0.5940366972477065
byron,1.40554821664465,9.937912813738441,783.2998678996037,757,373,0.005463573769071986,0.49273447820343463,0.49273447820343463
carl,1.4571085782843431,9.924415116976604,786.6814637072586,1667,828,0.012031410136120213,0.4967006598680264,0.4967006598680264
colette,1.7168732125834127,9.96186844613918,806.7936129647284,2098,1084,0.01514211065721668,0.5166825548141086,0.5166825548141086
colonel-ruffs,1.4227110582639715,9.955410225921522,799.7764565992866,1682,831,0.01213967117513749,0.4940546967895363,0.4940546967895363
colt,0.8916581892166836,9.969311631061377,791.9606646320786,5898,2673,0.04256824054159389,0.45320447609359105,0.45320447609359105
crow,2.086502609992543,9.958985831469054,819.5891126025355,4023,2193,0.029035610664434084,0.5451155853840418,0.5451155853840418
darryl,1.4742209631728045,9.890651558073655,772.0237960339944,1765,879,0.012738715591033099,0.4980169971671388,0.4980169971671388
dynamike,0.6118573413617415,9.88976377952756,732.9393237610004,2159,932,0.015582372215886946,0.4316813339509032,0.4316813339509032
edgar,0.7228749136143746,9.771941948859709,730.8334485141672,1447,637,0.010443581563866796,0.4402211472011057,0.4402211472011057
el-primo,0.7295541115841362,9.867577862424378,789.458211965046,8926,3934,0.06442253561788183,0.4407349316603182,0.4407349316603182
emz,2.4452876809036357,9.914754677020825,858.4156371337805,5666,3245,0.04089380313812665,0.5727144369925874,0.5727144369925874
frank,0.914440923494794,9.754640108646447,753.3014938886374,2209,1005,0.01594324234594454,0.45495699411498414,0.45495699411498414
gale,1.8843404808317088,9.938271604938272,799.9376218323587,1539,815,0.01110758260317277,0.5295646523716699,0.5295646523716699
gene,1.8830798479087452,9.966730038022813,859.1789448669201,4208,2228,0.030370830145647183,0.529467680608365,0.529467680608365
jacky,2.0743338008415146,9.870967741935484,776.5035063113604,1426,776,0.010292016109242606,0.544179523141655,0.544179523141655
jessie,1.5519208824648154,9.895017116774438,800.8189425637124,2629,1325,0.018974551438428338,0.503993914035755,0.503993914035755
leon,1.3956661316211878,9.917335473515248,763.1051364365971,1246,613,0.008992883641035265,0.49197431781701445,0.49197431781701445
lou,2.1989247311827955,9.934587813620071,796.6021505376344,1116,618,0.008054621302885518,0.553763440860215,0.553763440860215
max,1.0693112467306016,9.914995640802092,809.5204882301656,2294,1071,0.01655672156704245,0.46687009590235395,0.46687009590235395
mortis,0.12836652564234857,9.965225466928077,732.5276029305542,9691,3823,0.06994384860776304,0.3944897327417191,0.3944897327417191
mr-p,1.55877034358047,9.945750452079565,778.253164556962,553,279,0.003991223638436999,0.5045207956600362,0.5045207956600362
nani,0.676056338028169,9.809859154929578,734.6408450704225,142,62,0.0010248711693635695,0.43661971830985913,0.43661971830985913
nita,2.030253916801729,9.93030794165316,765.7595894111291,1851,1001,0.013359412214732162,0.5407887628309023,0.5407887628309023
pam,1.5,9.908196721311475,743.9475409836066,610,305,0.004402615586702657,0.5,0.5
penny,0.9960238568588469,9.880715705765407,746.2524850894632,503,232,0.0036303535083794043,0.46123260437375746,0.46123260437375746
piper,1.1425,9.985,769.3575,400,189,0.002886961040460759,0.4725,0.4725
poco,1.9232558139534883,9.977906976744187,782.4482558139534,1720,916,0.012413932473981263,0.5325581395348837,0.5325581395348837
rico,1.6369465648854962,9.966534351145038,829.3625648854962,16375,8360,0.11818496759386232,0.5105343511450382,0.5105343511450382
rosa,2.127801494130203,9.878868729989328,795.5224119530416,3748,2055,0.02705082494911731,0.5482924226254002,0.5482924226254002
sandy,2.2331698617922426,9.969683459652252,830.1020954079358,4486,2496,0.03237726806876741,0.5563976816763263,0.5563976816763263
shelly,0.7686768676867687,9.945994599459945,752.6966696669667,3333,1479,0.024055602869639273,0.44374437443744374,0.44374437443744374
spike,2.314230933106093,9.950149126544526,841.649126544525,4694,2641,0.033878487809807005,0.5626331487004687,0.5626331487004687
sprout,0.977979274611399,9.966321243523316,798.6981865284974,772,355,0.005571834808089265,0.45984455958549225,0.45984455958549225
squeak,2.565025716385011,9.805290227773696,729.9125642909626,1361,792,0.009822884940167732,0.5819250551065394,0.5819250551065394
stu,1.560747663551402,9.902478667208452,816.9045103616417,2461,1242,0.01776202780143482,0.5046728971962616,0.5046728971962616
surge,0.8461538461538461,9.866272189349113,763.0005917159764,1690,760,0.012197410395946707,0.44970414201183434,0.44970414201183434
tara,1.820754716981132,9.965166908563136,846.6649388347502,9646,5061,0.0696190654907112,0.5246734397677794,0.5246734397677794
tick,1.0883333333333334,9.907777777777778,809.6038888888888,1800,843,0.012991324682073415,0.4683333333333333,0.4683333333333333
