brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,2.475573866980577,9.967628016480283,814.7062978222484,1699,977,0.009237963189516897,0.5750441436138906,0.5750441436138906
amber,1.3623529411764705,9.83764705882353,777.1137254901961,1275,624,0.006932550362939402,0.4894117647058824,0.4894117647058824
barley,1.911170928667564,9.858681022880216,796.3270524899058,743,395,0.004039909740912922,0.531628532974428,0.531628532974428
bea,1.7370745450392142,9.952257671514506,853.9621563999086,13133,6806,0.07140798738547699,0.518236503464555,0.518236503464555
belle,2.975718332658843,9.94091460946985,853.5008093889114,4942,3032,0.02687110893619335,0.613516794819911,0.613516794819911
bibi,0.8986531243100022,9.930006623978803,791.1856922057849,4529,2055,0.024625506348041216,0.45374254802384634,0.45374254802384634
bo,0.5058823529411764,9.933823529411764,727.6764705882352,680,288,0.0036973601935676808,0.4235294117647059,0.4235294117647059
brock,1.5969425801640567,9.96607009694258,812.1879194630873,2682,1361,0.014582823586983117,0.5074571215510812,0.5074571215510812
bull,0.8351539225422046,9.92651439920556,776.9205561072492,2014,904,0.010950710926243102,0.44885799404170806,0.44885799404170806
buzz,2.4520639147802927,9.73115845539281,792.1770972037284,7510,4305,0.04083408096131365,0.5732356857523302,0.5732356857523302
byron,2.005729794933655,9.937273823884198,831.7445717732207,3316,1787,0.01803006823804475,0.5389022919179735,0.5389022919179735
carl,1.4265402843601895,9.956616842872767,817.9872402479037,2743,1356,0.014914498545523748,0.4943492526430915,0.4943492526430915
colette,1.1721491228070176,9.948464912280702,769.9594298245614,1824,866,0.009917624989805073,0.47478070175438597,0.47478070175438597
colonel-ruffs,2.026652452025586,9.928571428571429,807.3880597014926,1876,1014,0.010200364298724954,0.5405117270788913,0.5405117270788913
colt,0.507782378980437,9.952306154505212,774.0943881193774,7003,2967,0.03807737269934481,0.42367556761387976,0.42367556761387976
crow,0.7449664429530202,9.923335054207538,769.5472379969025,3874,1712,0.021064078514531168,0.44192049561177077,0.44192049561177077
darryl,1.4308860759493671,9.92506329113924,782.7108860759494,1975,977,0.01073865644455319,0.49468354430379746,0.49468354430379746
dynamike,0.696680790960452,9.908898305084746,782.1013418079096,2832,1241,0.015398417747328929,0.4382062146892655,0.4382062146892655
edgar,0.6786684782608695,9.730298913043478,750.4021739130435,1472,643,0.008003697360193568,0.436820652173913,0.436820652173913
el-primo,1.083766008999654,9.86869735779393,818.4408676589362,8667,4056,0.047125030584781014,0.4679820006922811,0.4679820006922811
