brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,1.7349397590361446,9.96285140562249,805.7429718875502,996,516,0.005686067422144835,0.5180722891566265,0.5180722891566265
amber,0.9589509692132269,9.831242873432155,778.0649942987458,877,402,0.005006707961065281,0.4583808437856328,0.4583808437856328
barley,2.9382716049382718,9.99113643558088,878.1741057296613,3159,1929,0.01803442468529672,0.610636277302944,0.610636277302944
bea,2.518563162970106,9.968900675024107,876.7330641272903,16592,9596,0.09472211914480633,0.5783510125361621,0.5783510125361621
belle,2.76735844222393,9.941839610555983,843.4757878554958,3903,2332,0.0222818485428025,0.5974891109403023,0.5974891109403023
bibi,0.8031018206338503,9.935266351989211,777.8163632276916,4449,1986,0.02539890959952045,0.4463924477410654,0.4463924477410654
bo,2.176931690929451,9.968645016797312,789.96640537514,893,493,0.005098050409613792,0.5520716685330347,0.5520716685330347
brock,1.3040085136573254,9.976942178077332,791.6885420361831,2819,1367,0.016093397653640852,0.48492373181979426,0.48492373181979426
bull,1.3848840109753056,9.944125717136442,803.8311299575954,4009,1969,0.022886992264436388,0.49114492392117737,0.49114492392117737
buzz,2.931353644427304,9.644427304280756,785.0694176629387,2593,1582,0.01480318556789313,0.610104126494408,0.610104126494408
byron,2.11431805319751,9.929258630447086,818.140350877193,1767,967,0.010087631661576228,0.5472552348613469,0.5472552348613469
carl,1.1928884559181685,9.942523136872868,792.5786653677545,2053,978,0.01172037792938087,0.47637603507062837,0.47637603507062837
colette,1.6976885644768855,9.968978102189782,813.2801094890511,3288,1694,0.018770873176719095,0.5152068126520681,0.5152068126520681
colonel-ruffs,1.4694117647058824,9.945882352941176,778.4235294117647,850,423,0.004852567579139668,0.4976470588235294,0.4976470588235294
colt,0.47215108834827146,9.975192061459667,774.2836107554417,6248,2630,0.035669226158193706,0.4209346991037132,0.4209346991037132
crow,0.8596424496006086,9.94408520349943,775.440471662229,2629,1185,0.01500870607712728,0.45074172689235453,0.45074172689235453
darryl,1.5264765784114054,9.922097759674134,779.4317718940937,1964,986,0.011212285559329774,0.5020366598778004,0.5020366598778004
dynamike,2.2017902530666373,9.97789811028843,843.0238700408885,9049,5013,0.05165986355721748,0.5539838656205106,0.5539838656205106
edgar,0.6659129451667609,9.809496890898814,743.6116449971736,1769,771,0.010099049467644792,0.43583945732052004,0.43583945732052004
el-primo,1.454519169606199,9.921528942346614,836.9042965361707,17293,8586,0.09872406017183798,0.49650147458509225,0.49650147458509225
emz,1.909335202710597,9.932702418506835,866.2273630096973,8559,4549,0.04886250107041932,0.5314873232854306,0.5314873232854306
frank,1.1379410906969962,9.846602508019831,785.6786235053952,3429,1619,0.01957582850455285,0.47214931466899973,0.47214931466899973
gale,2.113357843137255,9.942401960784315,796.1507352941177,1632,893,0.009316929751948163,0.5471813725490197,0.5471813725490197
gene,0.8844570252187339,9.950077200205866,832.8522902727741,3886,1759,0.022184797191219706,0.4526505404014411,0.4526505404014411
jacky,1.9345320424158599,9.931304748732135,813.9644997694791,2169,1157,0.012382610681357577,0.5334255417242969,0.5334255417242969
jessie,1.3402646502835538,9.912503375641371,793.6489332973265,3703,1806,0.021140067935946107,0.4877126654064272,0.4877126654064272
leon,1.3673469387755102,9.909809084924293,788.5938117182357,1519,744,0.008671823709074301,0.4897959183673469,0.4897959183673469
lou,2.2509469696969697,9.949810606060606,785.6420454545455,1056,589,0.006028601604201753,0.5577651515151515,0.5577651515151515
max,0.7082514734774067,9.93811394891945,799.5844793713163,2036,894,0.011623326577798077,0.43909626719056977,0.43909626719056977
mortis,0.2032690695725063,9.972897457390333,744.7474154791842,14316,5730,0.08172865583878058,0.4002514668901928,0.4002514668901928
mr-p,0.9748344370860927,9.954966887417218,783.6119205298013,755,347,0.004310221790882882,0.4596026490066225,0.4596026490066225
nani,2.5555555555555554,9.945868945868947,822.9401709401709,351,204,0.002003824965032969,0.5811965811965812,0.5811965811965812
nita,2.0670463370437484,9.967900595392182,824.6318923116748,3863,2100,0.02205349242143122,0.5436189490033653,0.5436189490033653
pam,2.0058365758754864,9.877431906614786,749.3346303501945,514,277,0.0029343761596209287,0.5389105058365758,0.5389105058365758
penny,1.567116759332804,9.972200158856236,798.6298649722002,1259,636,0.007187508920160991,0.5051628276409849,0.5051628276409849
