brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,1.9564885496183206,9.987786259541984,807.5870229007634,1310,701,0.006219112138662464,0.5351145038167939,0.5351145038167939
amber,1.5178448867536032,9.937886067261497,781.1654083733699,2914,1461,0.01383396394813925,0.5013726835964311,0.5013726835964311
barley,1.2531645569620253,9.940928270042194,784.5696202531645,474,228,0.002250274163149624,0.4810126582278481,0.4810126582278481
bea,2.187735208834598,9.970942069220802,856.935097785181,16209,8962,0.07695083103479379,0.5529027083718921,0.5529027083718921
belle,2.511904761904762,9.943223443223443,817.5270146520146,4368,2524,0.020736703680669957,0.5778388278388278,0.5778388278388278
bibi,0.5452334630350194,9.92339494163424,749.1840953307393,4112,1754,0.019521365736015307,0.426556420233463,0.426556420233463
bo,0.7609034267912772,9.961059190031152,747.8870716510903,1284,569,0.006095679378658476,0.4431464174454829,0.4431464174454829
brock,0.9848336594911937,9.96037181996086,763.6232876712329,2044,941,0.009703713901851966,0.4603718199608611,0.4603718199608611
bull,1.0235420010700909,9.895666131621187,748.9390048154094,1869,866,0.008872916478748202,0.4633493846976993,0.4633493846976993
buzz,2.277315123251166,9.76132578281146,764.45636242505,6004,3361,0.028503472733228574,0.5597934710193204,0.5597934710193204
byron,1.5620229007633588,9.926049618320612,794.7180343511451,2096,1058,0.009950579421859942,0.5047709923664122,0.5047709923664122
carl,1.489247311827957,9.949545078577337,801.2597187758478,2418,1207,0.011479246680370868,0.49917287014061207,0.49917287014061207
colette,1.024015748031496,9.955905511811023,758.0570866141733,2540,1177,0.012058431169620349,0.4633858267716535,0.4633858267716535
colonel-ruffs,1.8006006006006006,9.921921921921921,807.3855855855855,1665,871,0.007904444054101529,0.5231231231231231,0.5231231231231231
colt,0.7988108239291348,9.975731100594588,765.780245115884,8241,3676,0.039123437507417834,0.4460623710714719,0.4460623710714719
crow,1.8348246674727933,9.968681983071342,812.9770253929867,8270,4348,0.03926111250896074,0.5257557436517534,0.5257557436517534
darryl,1.3411710465652373,9.887505763024436,766.293683725219,2169,1058,0.010297140632640369,0.48778238819732594,0.48778238819732594
dynamike,0.17732558139534885,9.953488372093023,733.1986434108527,3096,1233,0.014697993268167167,0.39825581395348836,0.39825581395348836
edgar,-0.3861920172599784,9.863718087019057,722.950737144912,2781,987,0.01320255790658039,0.35490830636461707,0.35490830636461707
el-primo,0.24926253687315633,9.883821193555708,763.5462899931927,8814,3559,0.041843705641351876,0.40378942591331973,0.40378942591331973
emz,1.7051103043842502,9.94791957553756,808.7722703155544,14324,7388,0.06800195593450468,0.5157777157218654,0.5157777157218654
frank,0.4546517064048621,9.889434315100514,733.8099579242637,4278,1795,0.020309436434502306,0.419588592800374,0.419588592800374
gale,1.386759581881533,9.96902826171119,766.9868370112273,2583,1269,0.01226256996501156,0.4912891986062718,0.4912891986062718
gene,1.9901028779789034,9.950644615184268,849.5348352650085,7679,4129,0.036455390925793175,0.5377002213829926,0.5377002213829926
jacky,0.7588785046728972,9.949532710280375,754.6080996884735,1605,711,0.007619599223323095,0.44299065420560746,0.44299065420560746
jessie,1.1728349370836417,9.945040710584752,780.1702442635085,5404,2566,0.02565502442544424,0.47483345669874166,0.47483345669874166
leon,1.5419741697416973,9.962177121771218,782.0696494464945,2168,1091,0.010292393218794061,0.5032287822878229,0.5032287822878229
