brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,2.0652173913043477,9.956521739130435,770.3,230,125,0.0022375282123122424,0.5434782608695652,0.5434782608695652
amber,2.746006389776358,9.904153354632587,857.2244408945687,1252,746,0.01217993618180403,0.5958466453674122,0.5958466453674122
barley,0.4977973568281938,9.969162995594713,763.8105726872246,227,96,0.0022083430617168653,0.42290748898678415,0.42290748898678415
bea,2.911735537190083,9.963305785123968,874.4304132231405,3025,1841,0.02942836018367188,0.608595041322314,0.608595041322314
belle,2.440251572327044,9.836477987421384,782.1530398322851,477,273,0.004640438944664954,0.5723270440251572,0.5723270440251572
bibi,0.5496136012364761,9.90015455950541,764.0686244204019,3235,1381,0.03147132072534828,0.4268933539412674,0.4268933539412674
bo,0.8571428571428571,9.967032967032967,752.545054945055,455,205,0.0044264145069655226,0.45054945054945056,0.45054945054945056
brock,1.2417218543046358,9.968543046357615,768.5331125827814,604,290,0.005875943653202584,0.48013245033112584,0.48013245033112584
bull,1.8831763122476446,9.927321668909824,815.6985195154778,3715,1967,0.03614094482060861,0.5294751009421265,0.5294751009421265
buzz,3.033828382838284,9.794554455445544,822.2087458745874,1212,749,0.011790800840532337,0.6179867986798679,0.6179867986798679
byron,2.042959427207637,9.789976133651551,794.346062052506,419,227,0.004076192699820997,0.5417661097852029,0.5417661097852029
carl,0.47833474936278675,9.954970263381478,788.5683942225999,1177,496,0.011450307416919605,0.421410365335599,0.421410365335599
colette,2.0423031727379555,9.9406580493537,805.2226792009401,1702,922,0.016557708771110593,0.5417156286721504,0.5417156286721504
colonel-ruffs,1.1413793103448275,9.86551724137931,785.398275862069,580,274,0.005642462448439568,0.4724137931034483,0.4724137931034483
colt,0.77325746799431,9.978378378378379,789.6125177809388,3515,1561,0.03419526811425014,0.4440967283072546,0.4440967283072546
crow,1.9942857142857142,9.945934065934066,822.8228571428572,2275,1224,0.022132072534827612,0.538021978021978,0.538021978021978
darryl,1.2755644090305445,9.926294820717132,771.6308100929615,1506,727,0.01465094559887929,0.48273572377158036,0.48273572377158036
dynamike,0.7827415043909889,9.953799159984728,785.8552882779687,2619,1165,0.025478636469764185,0.4448262695685376,0.4448262695685376
