brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,2.225206611570248,9.977272727272727,781.4690082644628,484,269,0.004005627741454937,0.5557851239669421,0.5557851239669421
amber,1.2533659730722153,9.864137086903305,801.8470012239902,817,393,0.006761565836298933,0.4810281517747858,0.4810281517747858
barley,1.5177111716621254,9.942779291553133,749.425068119891,367,184,0.00303732516759083,0.5013623978201635,0.5013623978201635
bea,2.1198090001446968,9.961655332079294,876.7900448560266,6911,3785,0.05719606058098155,0.5476776153957459,0.5476776153957459
belle,3.117566331198536,9.922232387923147,881.4172003659652,2186,1365,0.01809153355954647,0.6244281793229643,0.6244281793229643
bibi,1.138634764250528,9.911681914144967,787.7266009852217,2842,1342,0.02352064884548539,0.4722026741731175,0.4722026741731175
bo,1.7954545454545454,9.945187165775401,778.5508021390374,748,391,0.006190515600430357,0.5227272727272727,0.5227272727272727
brock,1.231240428790199,9.966309341500766,776.7978560490046,1306,626,0.010808574029628404,0.4793261868300153,0.4793261868300153
bull,2.2378709373528025,9.959491285916156,835.0654733867169,2123,1182,0.017570139865927335,0.5567593028732926,0.5567593028732926
buzz,2.7741150442477878,9.73938053097345,778.2128318584071,4520,2703,0.03740792849457916,0.5980088495575221,0.5980088495575221
byron,2.9063324538258577,9.967018469656992,855.0171503957783,1516,922,0.012546553008358852,0.6081794195250659,0.6081794195250659
carl,0.993050193050193,9.95057915057915,794.6571428571428,1295,597,0.010717537035504428,0.461003861003861,0.461003861003861
colette,1.3381389252948885,9.95478374836173,787.0058977719528,1526,744,0.01262931391210792,0.4875491480996068,0.4875491480996068
colonel-ruffs,2.2339930151338767,9.958672875436553,823.744470314319,1718,956,0.014218323264090045,0.5564610011641443,0.5564610011641443
colt,0.7540168324407039,9.970925784238714,788.1467100229534,5228,2314,0.04326740048001324,0.4426166794185157,0.4426166794185157
crow,1.0932703659976388,9.950019677292405,797.7020857929949,2541,1191,0.02102954564263842,0.46871310507674147,0.46871310507674147
darryl,1.2371967654986522,9.879604672057502,767.1464510332435,1113,534,0.009211288587271374,0.4797843665768194,0.4797843665768194
dynamike,0.703176016622143,9.894924309884239,758.0178094390027,3369,1478,0.027882148473061325,0.43870584743247254,0.43870584743247254
edgar,1.028169014084507,9.789274106175515,746.4409534127844,1846,856,0.015277662832078126,0.4637053087757313,0.4637053087757313
el-primo,0.7576601671309192,9.880919220055711,809.4348189415042,7180,3180,0.0594223288918315,0.4428969359331476,0.4428969359331476
emz,1.4119332985930173,9.912975508077123,843.6776967170401,3838,1893,0.03176363485889266,0.493225638353309,0.493225638353309
frank,0.9291606016496846,9.820475497331392,777.1115963124697,2061,940,0.01705702226268311,0.45608927704997576,0.45608927704997576
gale,1.6274509803921569,9.950980392156863,791.3520499108735,1122,572,0.009285773400645535,0.5098039215686274,0.5098039215686274
gene,1.5676591624304042,9.955700798838054,864.8615347373517,4131,2087,0.03418852933874038,0.505204550956185,0.505204550956185
jacky,1.6054054054054054,9.921621621621622,778.6783783783784,740,376,0.006124306877431101,0.5081081081081081,0.5081081081081081
