brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,2.488778054862843,9.99002493765586,795.8054862842893,401,231,0.0023305281755625815,0.5760598503740648,0.5760598503740648
amber,1.5255704169944926,9.933910306845004,823.0346184107002,1271,638,0.007386786312069927,0.5019669551534225,0.5019669551534225
barley,2.183333333333333,9.978205128205127,814.5756410256411,780,431,0.004533196949972103,0.5525641025641026,0.5525641025641026
bea,2.5214285714285714,9.982897384305835,884.8092555331992,9940,5751,0.0577692021573368,0.5785714285714286,0.5785714285714286
belle,2.943389335281227,9.940102264426589,872.5032870708546,2738,1673,0.015912683652594385,0.6110299488677867,0.6110299488677867
bibi,0.5012677484787018,9.903904665314402,756.3138945233266,3944,1669,0.022921703552166637,0.42317444219066935,0.42317444219066935
bo,1.9807877041306436,9.976945244956772,806.4380403458214,1041,559,0.006050074390924308,0.5369836695485111,0.5369836695485111
brock,1.2647058823529411,9.992458521870287,805.4932126696832,1326,639,0.007706434814952576,0.4819004524886878,0.4819004524886878
bull,1.3223064553181714,9.931311739030553,789.9212037675167,4353,2117,0.025298726055421238,0.4863312657937055,0.4863312657937055
buzz,2.249513050253214,9.77600311647838,774.7760031164784,5134,2863,0.029837734796354844,0.557654850019478,0.557654850019478
byron,2.5041446872645063,9.954785229841749,827.5704596834967,1327,766,0.007712246605914078,0.5772418990203466,0.5772418990203466
carl,1.4436008676789587,9.945770065075921,817.0477223427332,1844,914,0.010716942533010972,0.4956616052060738,0.4956616052060738
colette,1.3856159143075746,9.93726090283091,778.1820964039786,1307,642,0.007596010786684025,0.4912012241775057,0.4912012241775057
colonel-ruffs,1.062439024390244,9.950243902439025,783.9512195121952,1025,478,0.005957085735540264,0.46634146341463417,0.46634146341463417
colt,0.8085106382978723,9.972813238770685,779.5289598108747,5076,2268,0.02950065092058769,0.44680851063829785,0.44680851063829785
crow,0.6104336043360433,9.920054200542005,769.7330623306233,1476,637,0.00857820345917798,0.43157181571815717,0.43157181571815717
darryl,1.2600210970464134,9.901371308016877,779.3027426160338,1896,913,0.011019155663009112,0.48154008438818563,0.48154008438818563
dynamike,0.5730735163861824,9.91939769707706,741.5160909359315,3387,1452,0.019684535986609634,0.4286979627989371,0.4286979627989371
edgar,0.7738738738738739,9.78063063063063,739.5581081081081,2220,986,0.012902175934535987,0.44414414414414416,0.44414414414414416
el-primo,0.7493438320209974,9.896394529631165,814.1623152369111,14478,6403,0.08414310954063604,0.442257217847769,0.442257217847769
emz,2.073890738907389,9.926559265592656,864.7187471874719,11111,6046,0.06457480937325646,0.5441454414544146,0.5441454414544146
frank,1.233727067102287,9.85272681578286,790.3387785875848,3979,1908,0.02312511623581923,0.4795174667001759,0.4795174667001759
gale,1.1891304347826086,9.93695652173913,777.4130434782609,920,438,0.005346847684582481,0.47608695652173916,0.47608695652173916
gene,1.584247258225324,9.954469923562645,863.4190761050182,6018,3048,0.03497535800632323,0.5064805583250249,0.5064805583250249
jacky,1.6385742838107928,9.948700866089274,801.8787475016655,3002,1533,0.017446996466431094,0.5106595602931379,0.5106595602931379
jessie,2.3620849564088293,9.946021146355037,850.1224262659989,5391,3053,0.031331365073461036,0.5663142274160639,0.5663142274160639
leon,0.9567448680351907,9.961143695014663,771.5366568914956,1364,625,0.007927282871489678,0.45821114369501464,0.45821114369501464
lou,2.240183246073298,9.917539267015707,819.7074607329843,1528,851,0.00888041658917612,0.5569371727748691,0.5569371727748691
max,0.7865372953305033,9.94057004244997,799.796846573681,1649,734,0.009583643295517946,0.44511825348696177,0.44511825348696177
mortis,-0.06232782369146005,9.961547291092746,736.5195133149679,8712,3309,0.05063232285661149,0.3798209366391185,0.3798209366391185
mr-p,1.6503856041131106,9.948586118251928,793.9717223650385,389,199,0.002260786684024549,0.5115681233933161,0.5115681233933161
nani,0.8449612403100775,9.937984496124031,762.1317829457364,129,58,0.0007497210340338479,0.4496124031007752,0.4496124031007752
nita,1.9673647469458988,9.960558464223386,827.0624781849913,5730,3071,0.033301562209410454,0.5359511343804537,0.5359511343804537
pam,1.3062330623306233,9.883468834688347,738.0569105691056,369,179,0.002144550864794495,0.48509485094850946,0.48509485094850946
penny,2.0784313725490198,9.948717948717949,796.5158371040724,663,361,0.003853217407476288,0.5444947209653092,0.5444947209653092
piper,1.9168646080760094,9.995249406175772,810.2517814726841,421,224,0.0024467639947926352,0.5320665083135392,0.5320665083135392
poco,1.6998191681735986,9.975045207956601,801.5341772151899,2765,1425,0.016069602008554958,0.515370705244123,0.515370705244123
rico,1.5687904967602593,9.97840172786177,841.0178185745141,9260,4679,0.053817184303514974,0.505291576673866,0.505291576673866
rosa,2.3385533184190903,9.91290082028337,820.8954511558538,6705,3785,0.03896805839687558,0.5645041014168531,0.5645041014168531
sandy,2.255710370031978,9.980813156692554,867.7102558245774,8756,4887,0.05088804165891761,0.5581315669255368,0.5581315669255368
shelly,0.7983889528193325,9.934867663981588,765.0308400460299,4345,1938,0.025252231727729217,0.446029919447641,0.446029919447641
spike,1.7697694278394536,9.971818958155422,832.0411614005124,5855,3049,0.03402803607959829,0.5207514944491888,0.5207514944491888
sprout,1.4502868068833652,9.970363288718929,827.4866156787763,1046,519,0.00607913334573182,0.4961759082217973,0.4961759082217973
squeak,2.251193887297039,9.531041069723019,721.5539637058262,1047,584,0.006084945136693324,0.5577841451766953,0.5577841451766953
stu,1.3932798778159603,9.8938526155021,825.5761741122566,2619,1288,0.015221080528175562,0.49179075983199694,0.49179075983199694
surge,1.065359477124183,9.876822523881348,784.4203117144293,1989,928,0.011559652222428864,0.46656611362493716,0.46656611362493716
tara,1.5722153641629475,9.967334536131421,846.8772196372614,10531,5324,0.0612039706155849,0.5055550280125344,0.5055550280125344
tick,-0.26394052044609667,9.892193308550185,746.7905824039653,807,294,0.004690115305932676,0.3643122676579926,0.3643122676579926
