brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,1.791044776119403,9.967164179104477,774.310447761194,335,175,0.002250950774730222,0.5223880597014925,0.5223880597014925
amber,2.3335734870317,9.88328530259366,822.5814121037464,1388,783,0.009326327389031486,0.5641210374639769,0.5641210374639769
barley,2.077777777777778,9.943209876543209,752.3135802469136,810,441,0.005442597395616358,0.5444444444444444,0.5444444444444444
bea,2.257808292945611,9.968766828217555,860.7759827679052,7428,4147,0.04991063389461519,0.5582929456112009,0.5582929456112009
belle,2.341381623071764,9.803487592219987,807.9121395036888,1491,842,0.01001841076156048,0.5647216633132126,0.5647216633132126
bibi,0.19741743233176062,9.888750931214304,753.2356592997269,4027,1610,0.027058444089070457,0.399801340948597,0.399801340948597
bo,1.4842995169082125,9.95048309178744,758.6751207729469,828,413,0.005563544004407832,0.49879227053140096,0.49879227053140096
brock,1.5263157894736843,9.953036437246963,778.2234817813766,1235,620,0.008298281214303952,0.5020242914979757,0.5020242914979757
bull,1.5673780487804878,9.916158536585366,782.6045731707317,3280,1657,0.02203915982422426,0.5051829268292682,0.5051829268292682
buzz,3.0379579420711544,9.641714058986906,772.4808887713266,7561,4675,0.05080429494846331,0.6183044570823966,0.6183044570823966
byron,1.5319148936170213,9.918166939443536,797.0327332242226,611,307,0.004105465442866166,0.502454991816694,0.502454991816694
carl,1.3725490196078431,9.953346855983773,785.7856659905342,1479,725,0.00993777968903283,0.49019607843137253,0.49019607843137253
colette,2.1002300361485378,9.956621754847191,829.7088399605652,3043,1662,0.02044669614180318,0.5461715412421952,0.5461715412421952
colonel-ruffs,1.6154649947753397,9.942528735632184,789.8422152560083,957,487,0.006430328034080067,0.5088819226750261,0.5088819226750261
colt,0.7956204379562044,9.949653752573461,778.6451431779899,5343,2382,0.03590098504293605,0.44581695676586186,0.44581695676586186
crow,1.3858778625954198,9.942748091603054,799.0209923664122,2620,1287,0.017604450835203525,0.4912213740458015,0.4912213740458015
darryl,1.4897745149449397,9.899842684845307,790.2590456213949,1907,952,0.012813621275852338,0.4992134242265338,0.4992134242265338
dynamike,0.9668686868686869,9.912121212121212,761.6725252525252,4950,2272,0.03326031741765552,0.458989898989899,0.458989898989899
