brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,0.7725631768953068,9.96028880866426,755.6606498194946,277,123,0.0016246143740249381,0.44404332129963897,0.44404332129963897
amber,1.7665343915343916,9.836640211640212,808.4920634920635,1512,787,0.008867931167962839,0.5205026455026455,0.5205026455026455
barley,2.3875998478508937,9.98250285279574,840.1928489920122,2629,1494,0.0154191739686338,0.5682769113731457,0.5682769113731457
bea,1.9019128113879002,9.951067615658364,858.5847419928825,4496,2387,0.026369192150238707,0.5309163701067615,0.5309163701067615
belle,2.1378504672897196,9.83177570093458,774.921339563863,1284,705,0.007530703452158919,0.5490654205607477,0.5490654205607477
bibi,0.6616963594113091,9.90995352439969,771.7929899302866,5164,2249,0.03028703475619054,0.4355151045701007,0.4355151045701007
bo,0.7132216014897579,9.92364990689013,759.2513966480446,537,236,0.003149523172748707,0.43947858472998136,0.43947858472998136
brock,1.0581140350877194,9.925438596491228,776.5537280701755,912,425,0.0053489108632156805,0.46600877192982454,0.46600877192982454
bull,1.4002557544757033,9.927109974424553,787.6409846547315,3128,1540,0.018345825855415186,0.49232736572890023,0.49232736572890023
buzz,2.6697588126159553,9.724544363199826,776.5977300010913,9163,5406,0.053741305087330354,0.5899814471243042,0.5899814471243042
byron,2.235526315789474,9.857894736842105,784.4934210526316,760,423,0.0044574257193464,0.5565789473684211,0.5565789473684211
carl,1.671796587487454,9.951154232184678,807.0558715289394,2989,1534,0.017530586151482095,0.5132151221144196,0.5132151221144196
colette,1.8586810228802153,9.963660834454913,797.3005832211754,2229,1176,0.013073160432135694,0.5275908479138627,0.5275908479138627
colonel-ruffs,2.0602593440122043,9.922959572845157,780.9916094584287,1311,712,0.007689059365872541,0.5430968726163234,0.5430968726163234
colt,0.8003511852502195,9.922036874451273,784.4953467954346,5695,2541,0.03340136772589178,0.446180860403863,0.446180860403863
crow,0.8352891869237217,9.923721709974853,796.2275775356245,2386,1071,0.0139939707452112,0.44886839899413244,0.44886839899413244
darryl,1.3965355805243447,9.908239700374532,779.4597378277153,2136,1051,0.012527712284899883,0.49204119850187267,0.49204119850187267
dynamike,1.930743784014513,9.938533774410415,821.2226016433679,9371,4996,0.05496123212630937,0.5331341372318856,0.5331341372318856
edgar,0.6608738828202582,9.770605759682224,741.130585898709,2014,877,0.011812178156267962,0.43545183714001984,0.43545183714001984
el-primo,0.7696133845806014,9.881905192554074,805.2523174316075,13269,5889,0.0778231340394834,0.4438164141985078,0.4438164141985078
