brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,1.6287128712871286,9.935643564356436,734.7475247524752,202,103,0.0009913672524894605,0.5099009900990099,0.5099009900990099
amber,2.4508627156789196,9.855963990997749,827.6594148537134,1333,764,0.006542042314695302,0.5731432858214554,0.5731432858214554
barley,2.402218782249742,9.987616099071207,845.4353715170279,7752,4414,0.038044945253951974,0.5694014447884417,0.5694014447884417
bea,2.6633885923012084,9.968530486091598,879.6343073897162,7118,4196,0.034933426253564256,0.589491430177016,0.589491430177016
belle,3.2644360496492175,9.923367512142471,879.4614139233676,1853,1178,0.00909407682605431,0.6357258499730167,0.6357258499730167
bibi,0.8978622327790974,9.92250593824228,770.7223871733967,6736,3056,0.03305866243945053,0.45368171021377673,0.45368171021377673
bo,1.0693374422187982,9.947611710323574,754.3651771956856,649,303,0.0031851353805230687,0.46687211093990755,0.46687211093990755
brock,0.7039030955585465,9.943472409152086,723.9300134589502,743,326,0.0036464646960379663,0.4387617765814266,0.4387617765814266
bull,1.328615043019706,9.90285872883708,782.1307243963364,3603,1754,0.01768265450851251,0.4868165417707466,0.4868165417707466
buzz,2.9229314420803783,9.757446808510638,809.0483215130024,10575,6445,0.05189954799542597,0.6094562647754137,0.6094562647754137
byron,2.003225806451613,9.883870967741936,781.858064516129,620,334,0.0030428103789280473,0.5387096774193548,0.5387096774193548
carl,1.2976142337242216,9.95673271330368,800.6445612616255,2473,1198,0.012136887204982356,0.48443186413263245,0.48443186413263245
colette,1.6108527131782946,9.968475452196383,789.133850129199,1935,984,0.009496513037460921,0.5085271317829457,0.5085271317829457
colonel-ruffs,1.481159420289855,9.917391304347825,775.431884057971,1380,688,0.00677270697245275,0.4985507246376812,0.4985507246376812
colt,0.7893855683910933,9.973045370835425,787.4798258831408,5973,2660,0.02931404256989875,0.4453373514146995,0.4453373514146995
crow,1.492479753181643,9.93366756652526,800.1010412649441,2593,1295,0.012725818246065205,0.499421519475511,0.499421519475511
darryl,1.3257855822550833,9.893253234750462,776.12292051756,2164,1053,0.010620389774194024,0.4865988909426987,0.4865988909426987
dynamike,2.068056253139126,9.96289552988448,826.7863510798594,15928,8660,0.07817078018639667,0.5436966348568558,0.5436966348568558
edgar,0.9740909090909091,9.775454545454545,738.4559090909091,2200,1011,0.010797069086518878,0.45954545454545453,0.45954545454545453
el-primo,0.7969700732646219,9.885570594809387,805.0424065565628,16106,7182,0.07904436123066956,0.4459207748665094,0.4459207748665094
emz,1.4468412942989215,9.910394690055707,835.7118644067797,8437,4184,0.0414067599467999,0.49591086879222473,0.49591086879222473
frank,1.3074280807213396,9.841992271361098,783.3336195792185,4658,2260,0.02286033991136588,0.485186775440103,0.485186775440103
gale,1.8277982779827797,9.928659286592866,783.8493234932349,1626,854,0.007980015606672589,0.5252152521525215,0.5252152521525215
gene,1.4433777777777779,9.953777777777777,849.2307555555556,5625,2788,0.027606142550758495,0.49564444444444444,0.49564444444444444
jacky,1.8780487804878048,9.935942106673814,799.3631734119539,3731,1974,0.01831084761900088,0.5290806754221389,0.5290806754221389
jessie,1.450650759219089,9.911605206073753,804.2426789587853,3688,1830,0.018099813995946193,0.49620390455531455,0.49620390455531455
leon,1.0956937799043063,9.937115516062885,769.7129186602871,1463,686,0.007180050942535054,0.4688995215311005,0.4688995215311005
lou,3.057785888077859,9.924574209245742,810.7189781021898,1644,1019,0.008068355262835015,0.6198296836982968,0.6198296836982968
max,1.401750198886237,9.936091222487404,824.7719437814903,3771,1857,0.018507157966028493,0.492442322991249,0.492442322991249
mortis,0.20995475113122172,9.970901496693353,739.6870866689871,14365,5757,0.07049995337629258,0.40076575008701704,0.40076575008701704
mr-p,1.6479514415781487,9.971168437025797,790.690440060698,659,337,0.003234212967279973,0.511380880121396,0.511380880121396
nani,0.7168674698795181,9.771084337349398,786.1686746987951,166,73,0.0008146879401646062,0.4397590361445783,0.4397590361445783
nita,1.4953560371517027,9.975232198142415,791.9954751131222,4199,2098,0.020607678679223987,0.49964277208859253,0.49964277208859253
pam,1.6457399103139014,9.939461883408072,738.0448430493274,446,228,0.002188860369357918,0.5112107623318386,0.5112107623318386
penny,0.9946380697050938,9.942359249329758,779.3391420911528,746,344,0.0036611879720650376,0.46112600536193027,0.46112600536193027
piper,1.0465116279069768,9.875968992248062,835.3372093023256,258,120,0.001266201738328123,0.46511627906976744,0.46511627906976744
poco,1.3737864077669903,9.955168475157054,778.4748715019989,3502,1717,0.017186970882267776,0.49029126213592233,0.49029126213592233
rico,1.664028144239226,9.97537379067722,828.9577159867397,14781,7577,0.07254158098537979,0.5126175495568636,0.5126175495568636
rosa,0.8839458413926499,9.834622823984526,740.4864603481625,1034,468,0.0050746224706638724,0.4526112185686654,0.4526112185686654
sandy,1.7926616915422886,9.962064676616915,838.8356965174129,8040,4201,0.03945837975255081,0.5225124378109453,0.5225124378109453
shelly,0.25521786891248627,9.924935920908093,750.6272427682168,2731,1104,0.013403088943310479,0.4042475283778836,0.4042475283778836
spike,1.456031567080045,9.954904171364149,806.6784103720406,3548,1762,0.017412727781349537,0.49661781285231116,0.49661781285231116
sprout,1.8923884514435696,9.94838145231846,801.0227471566054,1143,606,0.005609568166314126,0.5301837270341208,0.5301837270341208
squeak,1.9837618403247632,9.769959404600812,707.8863328822733,1478,794,0.00725366732267041,0.5372124492557511,0.5372124492557511
stu,1.7805116188244483,9.921109158367507,839.8320640499902,5121,2671,0.02513263217821053,0.5215778168326499,0.5215778168326499
surge,1.6550596383224316,9.931896883416698,821.3224317045017,5198,2661,0.025510529596238694,0.5119276644863409,0.5119276644863409
tara,1.0016818500350386,9.956832515767344,823.5631394533988,7135,3294,0.035016858151050996,0.46166783461807986,0.46166783461807986
tick,1.3863117870722435,9.926615969581748,810.219391634981,2630,1292,0.012907405317065749,0.49125475285171105,0.49125475285171105
