brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,2.162534435261708,9.955922865013774,769.6556473829202,363,200,0.0026165745219165148,0.5509641873278237,0.5509641873278237
amber,2.2577247191011236,9.872893258426966,816.563904494382,1424,795,0.010264468647959,0.5582865168539326,0.5582865168539326
barley,2.0580046403712298,9.97215777262181,827.8921113689095,862,468,0.006213463465267316,0.54292343387471,0.54292343387471
bea,2.904998344918901,9.97230497627717,895.1736731766523,9063,5511,0.06532786471660984,0.6080767957629923,0.6080767957629923
belle,3.1420500403551253,9.857949959644875,841.6150121065375,1239,776,0.00893095270703736,0.6263115415657788,0.6263115415657788
bibi,0.3056293149229952,9.901221455124801,753.1895910780669,3766,1537,0.027146059640599435,0.4081253319171535,0.4081253319171535
bo,0.7716312056737589,9.947517730496454,761.6567375886525,705,313,0.005081776964052735,0.44397163120567373,0.44397163120567373
brock,1.1432926829268293,9.953252032520325,765.765243902439,984,465,0.007092863166848073,0.4725609756097561,0.4725609756097561
bull,1.2476129853596436,9.920751113940165,785.2463399108848,3142,1510,0.02264814641284212,0.4805856142584341,0.4805856142584341
buzz,2.974002574002574,9.709137709137709,789.3335907335908,3885,2383,0.028003834759354435,0.6133848133848134,0.6133848133848134
byron,1.8848,9.8448,757.8096,625,331,0.004505121422032567,0.5296,0.5296
carl,0.8851351351351351,9.901182432432432,771.6233108108108,1184,536,0.008534502021898495,0.4527027027027027,0.4527027027027027
colette,2.473846153846154,9.973491124260356,852.0224852071005,4225,2429,0.03045462081294015,0.5749112426035503,0.5749112426035503
colonel-ruffs,1.913451511991658,9.828988529718456,784.526590198123,959,510,0.0069126583099667705,0.5318039624608968,0.5318039624608968
colt,1.1890721649484537,9.972164948453608,802.299793814433,4850,2309,0.03495974223497272,0.4760824742268041,0.4760824742268041
crow,2.054723127035831,9.960260586319219,828.4589576547231,3070,1666,0.022129156425023968,0.542671009771987,0.542671009771987
darryl,0.9931930693069307,9.846534653465346,761.6435643564356,1616,745,0.011648441948807405,0.46101485148514854,0.46101485148514854
dynamike,1.163265306122449,9.938383045525903,772.5606357927786,5096,2416,0.036732958026684734,0.4740973312401884,0.4740973312401884
