brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,1.5,9.916666666666666,743.4583333333334,168,84,0.0014271394349207429,0.5,0.5
amber,1.6895368782161235,9.552315608919383,761.4871355060035,583,300,0.00495251363427853,0.5145797598627787,0.5145797598627787
barley,0.8709677419354839,9.943548387096774,720.2701612903226,248,112,0.0021067296420258586,0.45161290322580644,0.45161290322580644
bea,2.2535593220338983,9.930847457627118,876.4725423728813,1475,823,0.012529944443500569,0.5579661016949152,0.5579661016949152
belle,1.024390243902439,9.86411149825784,755.397212543554,287,133,0.0024380298679896025,0.4634146341463415,0.4634146341463415
bibi,0.514196675900277,9.845567867036012,750.0834487534626,2888,1225,0.024533206476494675,0.42416897506925205,0.42416897506925205
bo,1.0451467268623025,9.948081264108351,720.0699774266366,443,206,0.0037632307718445776,0.4650112866817156,0.4650112866817156
brock,0.28435114503816794,9.933206106870228,726.3301526717557,524,213,0.004451315856538508,0.4064885496183206,0.4064885496183206
bull,1.2354651162790697,9.906492248062015,764.3963178294574,2064,990,0.017533427343311984,0.4796511627906977,0.4796511627906977
buzz,2.4030939871570345,9.769118505545826,765.5566258026854,3426,1951,0.029103450619276577,0.5694687682428488,0.5694687682428488
byron,-0.00967741935483871,9.925806451612903,744.2903225806451,310,119,0.002633412052532323,0.38387096774193546,0.38387096774193546
carl,2.1279119469972216,9.936952340243641,842.7161786706562,9358,5131,0.0794950644761209,0.5483009189997863,0.5483009189997863
colette,1.9829205807002561,9.983774551665244,779.940222032451,1171,629,0.00994750165650113,0.5371477369769427,0.5371477369769427
colonel-ruffs,1.5780445969125214,9.929674099485421,741.1629502572899,583,295,0.00495251363427853,0.5060034305317325,0.5060034305317325
colt,0.8018729880011706,9.966930055604331,754.9461515949663,3417,1525,0.02902699672097725,0.4462979221539362,0.4462979221539362
crow,1.0899053627760253,9.917981072555206,772.3698738170347,1268,594,0.010771504782616083,0.46845425867507884,0.46845425867507884
darryl,1.7077067669172932,9.862781954887218,768.1325187969925,1064,549,0.009038549754498037,0.5159774436090225,0.5159774436090225
dynamike,2.0268822741785972,9.95200329591101,827.973941703574,9709,5248,0.08247676650979459,0.5405294057060459,0.5405294057060459
edgar,1.1958650707290532,9.785092491838956,737.8520130576713,1838,876,0.015613585008240031,0.4766050054406964,0.4766050054406964
el-primo,0.7865552601595138,9.866597037599696,802.3402012913027,10532,4688,0.08946805076538847,0.4451196353968857,0.4451196353968857
emz,2.3741922455573508,9.91518578352181,864.4957592891761,4952,2809,0.04206663381980666,0.5672455573505655,0.5672455573505655
frank,1.3940011648223647,9.808095515433896,777.3436225975539,3434,1689,0.029171409639987086,0.4918462434478742,0.4918462434478742
gale,2.2044258373205743,9.946172248803828,834.361961722488,8360,4633,0.07101717664248458,0.5541866028708134,0.5541866028708134
gene,0.2869888475836431,9.933828996282529,812.1814126394052,1345,547,0.011425610356954757,0.4066914498141264,0.4066914498141264
jacky,1.5594347464671654,9.919368246051539,779.7231920199501,1203,607,0.010219337739343175,0.5045719035743973,0.5045719035743973
jessie,1.3378684807256236,9.89191232048375,766.5744520030235,1323,645,0.01123872305000085,0.4875283446712018,0.4875283446712018
leon,0.6521739130434783,9.926773455377575,751.4565217391304,874,380,0.007424523012623388,0.43478260869565216,0.43478260869565216
lou,2.5929203539823007,9.91858407079646,780.6530973451328,565,330,0.004799605837679879,0.584070796460177,0.584070796460177
max,0.9726027397260274,9.905163329820864,795.6838777660696,949,436,0.008061638831784434,0.4594309799789252,0.4594309799789252
mortis,0.7177907594264472,9.969410515135422,751.99160913436,9415,4141,0.0799792724986833,0.439830058417419,0.439830058417419
mr-p,0.5065502183406113,9.947598253275109,733.1135371179039,229,97,0.0019453269678383935,0.42358078602620086,0.42358078602620086
nani,1.24,9.784,726.52,125,60,0.0010618596986017431,0.48,0.48
nita,1.9202294056308655,9.937434827945777,790.5130344108446,1918,1021,0.016293175215345148,0.5323253388946819,0.5323253388946819
pam,1.7241379310344827,9.866379310344827,734.1508620689655,232,120,0.0019708116006048352,0.5172413793103449,0.5172413793103449
penny,0.7972972972972973,9.937837837837838,720.5054054054054,370,165,0.0031431047078611597,0.44594594594594594,0.44594594594594594
piper,0.34108527131782945,9.96124031007752,773.7829457364342,129,53,0.001095839208956999,0.4108527131782946,0.4108527131782946
poco,2.211741424802111,9.953166226912929,797.1708443271768,1516,841,0.01287823442464194,0.5547493403693932,0.5547493403693932
rico,1.465086887835703,9.938388625592417,809.3260663507109,3165,1574,0.026886287568596137,0.4973143759873618,0.4973143759873618
rosa,2.243858597962852,9.905132814060316,847.8580986618733,10014,5580,0.08506770417438285,0.5572198921509887,0.5572198921509887
sandy,2.443230115361263,9.962962962962964,845.2902246508804,3294,1886,0.027982126777553136,0.5725561627200971,0.5725561627200971
shelly,0.7687216997561825,9.943225357018461,764.6659700452803,2871,1274,0.024388793557484835,0.4437478230581679,0.4437478230581679
spike,1.2719298245614035,9.925438596491228,761.5065789473684,1368,660,0.011620992541497477,0.4824561403508772,0.4824561403508772
