brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,2.205209766162311,9.96896492434663,803.273211829436,11632,6447,0.005342661556720767,0.5542469050894085,0.5542469050894085
amber,1.9052971071149336,9.880766223612197,811.9717552775606,20464,10870,0.009399262903776975,0.5311767005473026,0.5311767005473026
barley,2.3823391263503995,9.97608779196379,839.4024083009522,23419,13299,0.010756515732190821,0.5678722404884923,0.5678722404884923
bea,2.2559603183366317,9.963392986062155,866.2671547601858,117737,65715,0.05407745389474149,0.5581507937182024,0.5581507937182024
belle,2.7636890062164694,9.9129410428908,839.631099378353,35229,21039,0.016180933973668835,0.5972068466320362,0.5972068466320362
bibi,0.6804917467177541,9.908932430223901,768.4976847228023,55069,24063,0.02529358917357771,0.4369609035936734,0.4369609035936734
bo,1.3426617475029246,9.956087465130928,766.9003869342212,11113,5422,0.005104281110715086,0.48789705750022494,0.48789705750022494
brock,1.282465434810699,9.961450661153465,784.6112762200112,23217,11220,0.01066373567420788,0.4832665719085153,0.4832665719085153
bull,1.3779389823532437,9.922724700313834,787.8716622935639,38874,19072,0.01785510878232145,0.4906106909502495,0.4906106909502495
buzz,2.6934608040949533,9.715357428196135,778.4358335477406,73847,43703,0.033918460108249525,0.5918046772380733,0.5918046772380733
byron,2.0936635105608157,9.923573682932751,814.8143238650158,20595,11238,0.009459432149300567,0.5456664238892935,0.5456664238892935
carl,1.5123259259259259,9.942696296296296,810.1836148148149,33750,16907,0.015501618598635306,0.5009481481481481,0.5009481481481481
colette,1.7140277732182134,9.95889826335314,802.4588490200584,30461,15732,0.013990957159497186,0.5164636748629395,0.5164636748629395
colonel-ruffs,1.757532621589561,9.92864768683274,794.3406880189798,16860,8764,0.007743919691051593,0.5198102016607354,0.5198102016607354
colt,0.755648929709094,9.965468089589608,780.2006965877118,80679,35720,0.037056447019831046,0.442742225362238,0.442742225362238
crow,1.5810023534858597,9.950210270457966,808.5687912342297,51838,26242,0.023809567553068355,0.506230950268143,0.506230950268143
darryl,1.3588290840415487,9.897287320800068,775.9060863593442,23298,11396,0.010700939558844604,0.48914069877242683,0.48914069877242683
dynamike,1.5270867327726874,9.9417597590059,802.4955692230451,79670,40001,0.03659300603713407,0.5020835948286683,0.5020835948286683
edgar,0.57439667572319,9.778927601086783,736.7809653188428,25028,10732,0.011495541045530206,0.4287997442863992,0.4287997442863992
el-primo,0.8707528741153489,9.885688666858808,807.1770775290614,156135,70510,0.07171393244141996,0.45159637493194993,0.45159637493194993
emz,1.9604954835783666,9.925469594466911,852.4631221890472,105836,56667,0.04861123869644937,0.5354227295060282,0.5354227295060282
frank,1.0311767300415535,9.826868166306847,771.838034217796,43077,19985,0.0197855770184715,0.46393667154165796,0.46393667154165796
gale,1.971241367097574,9.940286877988312,802.5976978926864,28235,15141,0.012968539292813863,0.5362493359305827,0.5362493359305827
gene,1.650654135120239,9.955269341223566,854.5753488237171,68946,35272,0.03166739543411881,0.5115887796246338,0.5115887796246338
jacky,1.7578769383041901,9.923127680633455,792.0715110524579,24248,12605,0.01113728141569508,0.5198366875618607,0.5198366875618607
jessie,1.6818553664921465,9.922897578534032,812.8365919502618,48896,25132,0.022458285718485096,0.5139888743455497,0.5139888743455497
leon,1.4384681583476764,9.944750430292599,788.7388554216867,23240,11510,0.010674299740215838,0.4952667814113597,0.4952667814113597
lou,2.2901149107019245,9.909940467949605,788.9489824172781,14446,8101,0.006635152067433648,0.5607780700539942,0.5607780700539942
max,1.175214852357867,9.937885632437197,816.1873071837814,36304,17245,0.01667468923273648,0.4750165271044513,0.4750165271044513
mortis,0.20181101284873815,9.969613294028385,740.3081209497867,160794,64340,0.07385384476885823,0.40013930868067216,0.40013930868067216
mr-p,1.539858845308342,9.955686682864746,793.9125303713988,8643,4348,0.00396979228290385,0.5030660650237186,0.5030660650237186
nani,1.5522041763341068,9.900410494378011,792.0267713724791,5603,2824,0.0025734983409823296,0.5040157058718544,0.5040157058718544
nita,1.9280527501877973,9.969535097237292,814.442617477673,47924,25540,0.022011839102844398,0.5329271346298305,0.5329271346298305
pam,2.411465777354296,9.946561854851517,790.7127997459107,12594,7180,0.005784515100184091,0.5701127521041766,0.5701127521041766
penny,1.6926272066458983,9.956785685757648,781.5966930265996,12519,6445,0.005750067058853789,0.5148174774342998,0.5148174774342998
piper,1.5557586837294333,9.981530961421273,813.9803590681105,21333,10758,0.009798400875990725,0.5042891295176487,0.5042891295176487
poco,1.3866116295764537,9.963926776740847,773.356783919598,27860,13687,0.012796299086162359,0.4912778176597272,0.4912778176597272
rico,1.5496470917561433,9.967648411413032,829.880341111311,100026,50395,0.045942663761395414,0.5038190070581648,0.5038190070581648
rosa,1.9395683453237411,9.896158544862223,807.7651418487851,36835,19663,0.01691858136535501,0.5338129496402878,0.5338129496402878
sandy,2.169836697771853,9.972267187202437,845.7336102647115,84016,46337,0.03858915520542056,0.5515258998286041,0.5515258998286041
shelly,0.6345904130404753,9.931537505180273,759.4975272827738,36195,15688,0.016624624746003108,0.43343003177234424,0.43343003177234424
spike,1.8465335381464414,9.959795186891961,818.7876088069636,48825,25714,0.022425674906025744,0.5266564260112647,0.5266564260112647
sprout,1.6879014989293362,9.94129193433262,815.0007137758744,11208,5766,0.005147915296400134,0.5144539614561028,0.5144539614561028
squeak,2.170008019246191,9.807291345382765,723.1925852815989,16211,8941,0.007445829306740058,0.5515390784035531,0.5515390784035531
stu,1.632170734117182,9.90937654381978,826.1893884003557,50605,25817,0.023243241753598213,0.5101669795474756,0.5101669795474756
surge,1.461055876351322,9.91902921894673,809.9938349324882,46066,22895,0.021158446292288417,0.49700429818087094,0.49700429818087094
tara,1.6478607401311376,9.966285300247783,844.040638334034,111791,57167,0.05134641317807524,0.5113739030870106,0.5113739030870106
tick,0.23461033685394664,9.88319480032498,763.3949753140429,16001,6443,0.007349374791015216,0.4026623336041497,0.4026623336041497
