brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-0.018823529411764704,9.734117647058824,722.5435294117647,425,120,0.004307068659741576,0.2823529411764706,0.4
amber,0.9451090781140042,9.485573539760733,805.0344827586207,1421,502,0.014400810742335951,0.35327234342012664,0.4595355383532723
barley,-0.7714285714285715,9.663492063492063,697.7619047619048,315,90,0.003192297947808462,0.2857142857142857,0.37142857142857144
bea,-0.1824767161090031,9.715419110037944,746.2035184546395,2899,811,0.029379275399037244,0.27975163849603313,0.3801310796826492
belle,1.0210930009587729,9.707254713966122,789.7906679450303,3129,1143,0.03171015961489739,0.3652924256951103,0.47139661233620966
bibi,-0.7168141592920354,9.781289506953224,731.3982300884956,791,187,0.008016214846719027,0.23640960809102401,0.37420986093552466
bo,-0.7112488928255093,9.775907883082374,720.2825509300266,1129,289,0.011441601216113505,0.25597874224977857,0.3489813994685562
brock,0.42764378478664195,9.807050092764378,750.012987012987,3234,1056,0.03277425893083354,0.32653061224489793,0.42857142857142855
bull,-0.8451178451178452,9.525252525252526,711.5185185185185,297,76,0.003009880922219407,0.2558922558922559,0.3434343434343434
buzz,1.1070938215102974,9.562929061784898,769.7794050343249,2185,793,0.022143400050671395,0.36292906178489703,0.4842105263157895
byron,0.34829659318637274,9.75070140280561,766.496993987976,2495,775,0.0252850266024829,0.3106212424849699,0.4244488977955912
carl,0.9578090303478904,9.84381939304219,768.4152479644707,1351,471,0.013691411198378516,0.34863064396743154,0.45965951147298295
colette,-0.2540272614622057,9.71995043370508,737.908302354399,807,211,0.008178363313909299,0.2614622057001239,0.38909541511771994
colonel-ruffs,0.2857142857142857,9.83404619332763,760.8400342172797,1169,377,0.011846972384089181,0.32249786142001713,0.42172797262617623
colt,-0.2333152468800868,9.857026587086272,736.1907216494845,3686,1064,0.0373549531289587,0.28865979381443296,0.37900162778079216
crow,0.14698969444946663,9.83511119146628,775.420719580546,5531,1691,0.05605269825183684,0.30573133248960405,0.4062556499728801
darryl,-0.7507598784194529,9.448328267477203,736.9164133738602,658,174,0.006668355713199898,0.26443768996960487,0.3465045592705167
dynamike,-0.7676138575321136,9.593616193071234,701.9980537173998,2569,627,0.0260349632632379,0.24406383806928766,0.34488127676138575
edgar,-0.8210827464788732,9.492077464788732,721.5019806338029,4544,1089,0.04605016468203699,0.23965669014084506,0.34683098591549294
el-primo,-2.2726597325408617,9.447994056463596,741.1641901931649,1346,226,0.013640739802381556,0.16790490341753342,0.25482912332838037
emz,-0.3682938617689705,9.52730787820203,731.5708071532141,2069,578,0.02096782366354193,0.27936201063315613,0.3736104398260029
frank,-0.436241610738255,9.563758389261745,740.9597315436241,298,87,0.003020015201418799,0.29194630872483224,0.3959731543624161
gale,-0.05009276437847866,9.755102040816327,734.9118738404453,1078,322,0.010924752976944514,0.2987012987012987,0.39888682745825604
gene,0.9212917153908429,9.84654133309346,844.3456867860034,11117,3920,0.11266278185964024,0.35261311504902404,0.4569578123594495
jacky,-0.509009009009009,9.64864864864865,733.8783783783783,222,65,0.0022498099822650113,0.2927927927927928,0.38738738738738737
jessie,-0.5954676952748312,9.714079074252652,734.9267116682738,2074,564,0.02101849505953889,0.2719382835101254,0.3601735776277724
leon,0.05374211000901713,9.801623083859333,772.6477908025248,5545,1646,0.056194578160628325,0.29684400360685304,0.3992786293958521
lou,0.8757142857142857,9.691428571428572,762.5357142857143,700,257,0.00709399543957436,0.36714285714285716,0.4542857142857143
max,0.7583333333333333,9.80375,801.6320833333333,2400,793,0.024322270078540664,0.3304166666666667,0.44458333333333333
mortis,-0.665378244064053,9.895085588072888,728.6073992269464,1811,447,0.01835317963009881,0.24682495858641634,0.3578133627829928
mr-p,1.4779840130063677,9.956916406990922,853.9437745562932,7381,2946,0.07480111477071193,0.3991329088199431,0.5011516054735131
nani,0.4478723404255319,9.635106382978723,740.7329787234042,940,301,0.009526222447428427,0.3202127659574468,0.4223404255319149
nita,-1.1762767710049424,9.772652388797365,704.5683690280066,607,137,0.00615150747403091,0.2257001647446458,0.31795716639209226
pam,-0.14484126984126985,9.728174603174603,732.2678571428571,504,141,0.005107676716493539,0.27976190476190477,0.3948412698412698
penny,0.3603723404255319,9.84840425531915,735.9753989361702,1504,495,0.015241955915885482,0.3291223404255319,0.42220744680851063
piper,-0.07407407407407407,9.826003086419753,744.3753858024692,2592,762,0.026268051684823917,0.29398148148148145,0.38927469135802467
poco,-0.7590511860174781,9.786516853932584,705.4806491885143,801,225,0.008117557638712946,0.2808988764044944,0.3645443196004994
rico,-0.12309820193637622,9.68326417704011,711.9432918395574,723,219,0.007327083861160375,0.3029045643153527,0.3900414937759336
rosa,-0.6320754716981132,9.367924528301886,702.4858490566038,212,40,0.002148467190271092,0.18867924528301888,0.3443396226415094
sandy,0.6833105335157319,9.806429548563612,763.4445964432284,1462,507,0.014816316189511021,0.34678522571819426,0.44459644322845415
shelly,-2.0670270270270272,9.659459459459459,712.64,925,152,0.009374208259437548,0.1643243243243243,0.2562162162162162
spike,0.5378120411160059,9.83957415565345,753.5473568281939,2724,902,0.027605776539143652,0.3311306901615272,0.4368575624082232
sprout,0.564650059311981,9.69988137603796,773.270462633452,843,278,0.008543197365087409,0.32977461447212336,0.44365361803084225
squeak,0.6410984848484849,9.686553030303031,722.7045454545455,1056,349,0.010701798834557892,0.33049242424242425,0.4460227272727273
stu,0.4188034188034188,9.642857142857142,770.5323565323565,1638,526,0.016599949328604004,0.32112332112332115,0.42185592185592186
surge,-0.8237940514871283,9.5071232191952,730.309422644339,4001,1010,0.04054725107676716,0.2524368907773057,0.34866283429142714
tara,-0.21291989664082686,9.716795865633076,761.2516795865633,1935,537,0.01960983025082341,0.2775193798449612,0.38242894056847543
tick,-0.7845953002610966,9.660574412532638,770.6148825065275,1532,406,0.015525715733468457,0.2650130548302872,0.3518276762402089
