brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-0.21896792189679218,9.728033472803347,713.4616457461645,717,203,0.005604978033489158,0.28312412831241285,0.3807531380753138
amber,0.3434844192634561,9.631019830028329,754.834985835694,1412,461,0.011037976266787574,0.3264872521246459,0.4178470254957507
barley,-1.2732919254658386,9.645962732919255,709.8695652173913,161,34,0.0012585794468504244,0.2111801242236025,0.33540372670807456
bea,-0.10995328781890047,9.679662234998203,743.2263744160978,5566,1650,0.04351088944825753,0.2964426877470356,0.3929213079410708
belle,0.9372828353022933,9.7545170257123,782.01893676164,5756,2090,0.04499616954081393,0.3630993745656706,0.45830437804030577
bibi,-0.8477905073649754,9.734860883797054,710.5581014729951,611,142,0.004776348087115586,0.23240589198036007,0.33060556464811786
bo,-0.8372434017595308,9.817448680351907,725.3350439882698,1364,345,0.010662747611825956,0.2529325513196481,0.34237536656891493
brock,0.15101289134438306,9.85244014732965,752.7384898710866,4344,1409,0.03395819327402636,0.32435543278084716,0.4120626151012891
bull,-1.8244897959183672,9.46938775510204,705.0040816326531,245,47,0.0019152295930332547,0.19183673469387755,0.3142857142857143
buzz,-0.3868169991326973,9.306157849089333,717.3252385082394,1153,289,0.009013304982723847,0.25065047701647875,0.375542064180399
byron,0.48905267721656187,9.714502492954693,766.0026013440278,4613,1469,0.03606103719454042,0.31844786473011055,0.43030565792326037
carl,0.026036644165863067,9.719382835101253,739.5573770491803,1037,292,0.00810650239989994,0.2815814850530376,0.3982642237222758
colette,-0.6997219647822057,9.666357738646894,719.9981464318814,1079,290,0.008434827472991353,0.26876737720111216,0.36515291936978683
colonel-ruffs,0.3395931142410016,9.838028169014084,743.2010954616588,1278,373,0.009990462938353059,0.2918622848200313,0.4154929577464789
colt,-0.21755725190839695,9.90475364330326,743.7859125607217,5764,1700,0.0450587076499742,0.29493407356002777,0.38757807078417766
crow,0.2606104827921683,9.830110665207345,778.6266569378572,8223,2622,0.06428135895311206,0.3188617292958774,0.41700109449106165
darryl,-0.9845261121856866,9.421663442940039,708.5280464216635,517,129,0.004041525304482419,0.2495164410058027,0.3617021276595745
dynamike,-1.294762484774665,9.591352009744215,697.5590742996346,1642,333,0.012835946905145322,0.2028014616321559,0.3166869671132765
edgar,-1.5753236023134123,9.391352244560727,710.751583585789,3631,727,0.02838448429511734,0.20022032497934453,0.29771412833930044
el-primo,-2.7440329218106996,9.395884773662551,743.879012345679,1215,186,0.009497975328715937,0.15308641975308643,0.25349794238683127
emz,-0.6747922437673131,9.422714681440443,718.0919667590027,1805,470,0.014110160879285814,0.26038781163434904,0.3512465373961219
frank,-1.8181818181818181,9.515151515151516,720.5353535353536,198,32,0.001547818201716671,0.16161616161616163,0.2777777777777778
gale,-0.6448497854077253,9.734978540772532,721.0536480686695,932,222,0.007285689717171401,0.23819742489270387,0.34549356223175964
gene,0.987148134658411,9.859982309173214,843.73687496748,19219,6802,0.15023998999390253,0.353920599406837,0.4624069930797648
jacky,-1.4044117647058822,9.433823529411764,716.7426470588235,136,28,0.001063147855724582,0.20588235294117646,0.3235294117647059
jessie,-0.043215211754537596,9.718236819360415,762.0812445980986,2314,726,0.018089148074607965,0.31374243733794294,0.4105445116681072
leon,0.14776287755357814,9.841709487404437,776.5018172703346,7979,2436,0.06237394662372383,0.3053014162175711,0.410076450683043
lou,0.5933333333333334,9.676,736.9973333333334,750,243,0.005862947733775269,0.324,0.44133333333333336
max,0.7747163695299838,9.790923824959481,800.2112371690978,3702,1227,0.02893951001391473,0.33144246353322526,0.44111291193949215
mortis,-0.9300368227248816,9.890583903208837,711.7054182009468,1901,433,0.014860618189209049,0.22777485533929512,0.34350341925302474
mr-p,1.3056784660766962,9.966629793510325,844.0046091445428,10848,4101,0.08480167602132549,0.3780420353982301,0.48220870206489674
nani,0.5255152109911678,9.689401373895976,756.252208047105,2038,620,0.015931583308578665,0.3042198233562316,0.42885181550539747
nita,-1.3298969072164948,9.68659793814433,697.1649484536083,485,111,0.0037913728678413408,0.2288659793814433,0.3134020618556701
pam,0.141643059490085,9.759206798866856,724.8838526912182,706,205,0.005518988133393787,0.29036827195467424,0.3980169971671388
penny,-0.04939271255060729,9.865587044534413,732.2251012145749,1235,359,0.00965432060161661,0.29068825910931173,0.39352226720647776
piper,0.12210175145954963,9.825521267723103,759.3758131776481,5995,1829,0.046864495551976984,0.30508757297748124,0.4116763969974979
poco,-0.6058823529411764,9.82470588235294,691.724705882353,850,226,0.006644674098278638,0.26588235294117646,0.35411764705882354
rico,-0.48963133640552997,9.646313364055299,707.9170506912442,868,234,0.006785384843889245,0.2695852534562212,0.3617511520737327
rosa,-1.2893081761006289,9.220125786163521,693.0943396226415,159,28,0.001242944919560357,0.1761006289308176,0.27672955974842767
sandy,-0.7302100161550888,9.744749596122778,729.1962843295638,1238,324,0.009677772392551711,0.2617124394184168,0.34975767366720517
shelly,-2.150984682713348,9.691466083150985,707.527352297593,914,157,0.007144978971560795,0.17177242888402625,0.2713347921225383
spike,0.017049180327868854,9.858360655737705,749.4144262295082,3050,926,0.02384265411735276,0.30360655737704917,0.3950819672131147
sprout,0.5459272097053726,9.714038128249566,752.4904679376083,577,182,0.004510561123184441,0.31542461005199307,0.43500866551126516
squeak,0.4594155844155844,9.520292207792208,696.7183441558442,1232,371,0.009630868810681509,0.30113636363636365,0.4310064935064935
stu,0.0458628841607565,9.617494089834516,760.3271867612293,2115,621,0.016533512609246258,0.2936170212765957,0.39574468085106385
surge,-1.2199832073887489,9.484186957738595,726.1852784774699,3573,845,0.027931083003705382,0.23649594178561434,0.32297788972851943
tara,-0.303129074315515,9.739243807040417,749.0078226857888,1534,424,0.011991682431481684,0.27640156453715775,0.37222946544980445
tick,-0.9911361804995971,9.6406124093473,751.1120064464142,1241,314,0.009701224183486812,0.25302175664786464,0.3408541498791297
