brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-0.4387755102040816,9.755102040816327,718.7947845804989,882,245,0.006514802340010636,0.2777777777777778,0.35147392290249435
amber,0.11132075471698114,9.688050314465409,741.9754716981132,1590,462,0.011744371565325297,0.29056603773584905,0.3968553459119497
barley,-0.3034825870646766,9.73134328358209,695.8457711442786,201,41,0.0014846658393901791,0.20398009950248755,0.373134328358209
bea,-0.23869830073741582,9.689002885540237,741.4424495030459,6238,1792,0.04607634580157183,0.28727156139788396,0.3820134658544405
belle,0.6480574028701435,9.748162408120406,791.5425271263563,5714,1941,0.0422058736630621,0.33969198459922995,0.4387469373468673
bibi,-0.974496644295302,9.770469798657718,714.3020134228188,745,178,0.005502865922117827,0.2389261744966443,0.35436241610738256
bo,-0.5473684210526316,9.792569659442725,717.067492260062,1615,437,0.011929031495597707,0.27058823529411763,0.36470588235294116
brock,0.2816666666666667,9.83851851851852,762.8987037037037,5400,1754,0.03988654493884063,0.32481481481481483,0.42018518518518516
bull,-1.1197604790419162,9.491017964071856,706.9760479041917,334,72,0.002467056668439402,0.2155688622754491,0.31137724550898205
buzz,0.1567034242600116,9.22228670922809,738.250725478816,1723,498,0.01272676239437452,0.2890307603017992,0.4155542658154382
byron,0.2974851768554488,9.687589450010222,758.4007360457985,4891,1527,0.03612686875849436,0.31220609282355344,0.41975056225720714
carl,0.7753108348134992,9.764653641207815,763.702486678508,1126,341,0.008317083259469362,0.302841918294849,0.44760213143872113
colette,-0.37957610789980734,9.709055876685934,717.0520231213873,1038,255,0.007667080304910477,0.24566473988439305,0.3603082851637765
colonel-ruffs,0.753577106518283,9.883147853736089,755.1383147853736,1258,431,0.009292087691307687,0.3426073131955485,0.44753577106518283
colt,-0.3422545196738745,9.901276143211627,750.9677419354839,5642,1566,0.041674053063877566,0.27756114852889047,0.37557603686635943
crow,0.1285926660059465,9.819623389494549,763.8974231912784,8072,2469,0.059622998286355845,0.3058721506442022,0.4065906838453915
darryl,-0.6830015313935681,9.480857580398162,724.3675344563553,653,165,0.004823317378715357,0.25267993874425726,0.34150076569678406
dynamike,-0.8954849498327759,9.639632107023411,702.88127090301,1196,269,0.00883413106423211,0.2249163879598662,0.3277591973244147
edgar,-0.7962909301651695,9.385975079687046,711.041437264561,3451,836,0.02549045677480352,0.24224862358736599,0.3485946102578963
el-primo,-1.6134969325153374,9.441717791411042,746.1779141104295,1304,254,0.009631861963008923,0.19478527607361965,0.29984662576687116
emz,-0.3300790330079033,9.521617852161786,725.6754997675499,2151,604,0.015888140400638184,0.2807996280799628,0.3788935378893538
frank,-1.2560975609756098,9.471544715447154,718.4837398373984,246,51,0.0018170537138805175,0.2073170731707317,0.32926829268292684
gale,0.16159695817490494,9.787072243346008,730.0655893536122,1052,298,0.0077704898658630265,0.2832699619771863,0.40019011406844107
gene,0.9382973442541573,9.851526433358153,844.3466865227103,20145,7149,0.14879897181350824,0.3548771407297096,0.4628940183668404
jacky,-1.2893401015228427,9.49746192893401,714.8274111675127,197,48,0.0014551202505465933,0.2436548223350254,0.3248730964467005
jessie,-0.7078651685393258,9.708886618998978,715.0699693564862,1958,530,0.014462565738935177,0.27068437180796734,0.3595505617977528
leon,-0.2104090402673882,9.82969918828585,762.1066369568678,6283,1812,0.046408733676062165,0.28839726245424163,0.38230144835269775
lou,-0.29545454545454547,9.651515151515152,729.5227272727273,792,209,0.005850026591029959,0.2638888888888889,0.38257575757575757
max,0.2509014423076923,9.79296875,791.6676682692307,3328,1027,0.024581929917863263,0.30859375,0.4137620192307692
mortis,-0.5621052631578948,9.896315789473684,711.6689473684211,1900,476,0.014034154700703185,0.2505263157894737,0.35526315789473684
mr-p,1.1915515840779853,9.966612510154347,851.197806661251,12310,4613,0.09092654966613485,0.37473598700243704,0.4799350121852153
nani,0.39659367396593675,9.684306569343066,767.257299270073,3288,1040,0.024286474029427407,0.31630170316301703,0.42700729927007297
nita,-1.1988071570576542,9.789264413518886,702.5864811133201,503,114,0.003715357797080896,0.22664015904572565,0.32803180914512925
pam,-0.12005457025920874,9.742155525238745,719.6903137789905,733,211,0.005414229155587071,0.2878581173260573,0.3942701227830832
penny,0.21642429426860565,9.788708297690334,719.3045337895637,1169,351,0.008634698339537906,0.30025662959794697,0.4037639007698888
piper,-0.017583087712165872,9.842463665006607,753.0685028966359,9839,2906,0.0726747621580098,0.29535521902632383,0.3977030185994512
poco,-0.9583333333333334,9.866071428571429,703.452380952381,1008,238,0.007445488388583585,0.2361111111111111,0.3373015873015873
