brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,0.10599721059972106,9.755927475592747,737.5676429567643,717,212,0.006069121966497093,0.29567642956764295,0.4072524407252441
amber,0.16724496877168632,9.702290076335878,752.3303261623872,1441,443,0.012197496169766123,0.30742539902845245,0.40527411519777934
barley,-0.6181384248210023,9.77326968973747,739.3078758949881,419,108,0.0035466696010631542,0.2577565632458234,0.36515513126491644
bea,0.1719840478564307,9.73678963110668,750.0473579262214,4012,1194,0.03395999627557369,0.29760717846460616,0.40279162512462613
belle,0.8764786795048143,9.719119669876203,767.6181568088033,3635,1269,0.030768840095142164,0.3491059147180193,0.44896836313617605
bibi,-0.9216634429400387,9.798839458413926,725.2978723404256,1034,255,0.008752401831740577,0.24661508704061896,0.3491295938104449
bo,-0.6116207951070336,9.784709480122324,726.8874617737004,1635,433,0.013839629588874122,0.26483180428134556,0.3565749235474006
brock,0.37245696400625977,9.842164095685222,761.0386765034652,4473,1427,0.03786217929726847,0.3190252626872345,0.42834786496758326
bull,-1.8823529411764706,9.642533936651583,710.8665158371041,442,92,0.003741355521885237,0.2081447963800905,0.3076923076923077
buzz,0.6423135464231354,9.356164383561644,750.6697108066971,657,222,0.005561245651309051,0.3378995433789954,0.4474885844748858
byron,0.641377454936777,9.727468388485338,759.6879203658865,3717,1206,0.03146293772589915,0.324455205811138,0.43529728275490986
carl,0.37851662404092073,9.735294117647058,760.6227621483376,1564,488,0.013238642615901608,0.31202046035805625,0.42327365728900257
colette,-0.31363636363636366,9.72090909090909,724.6945454545455,1100,286,0.009311065778447421,0.26,0.36727272727272725
colonel-ruffs,0.13920454545454544,9.877130681818182,753.1328125,1408,435,0.0119181641964127,0.30894886363636365,0.4197443181818182
colt,-0.18541871921182265,9.905418719211823,741.087487684729,5075,1446,0.04295787165965515,0.28492610837438426,0.381871921182266
crow,0.23419267299864316,9.850203527815468,768.5611940298508,7370,2273,0.06238414071559773,0.3084124830393487,0.4085481682496608
darryl,-1.126984126984127,9.507936507936508,712.1062271062272,819,193,0.006932511702316763,0.23565323565323565,0.336996336996337
dynamike,-1.0998463901689708,9.684075780849975,705.8883768561188,1953,479,0.016531374059370742,0.2452636968766001,0.3358934971838198
edgar,-1.1105315449577744,9.446597118728267,713.7786885245902,4026,989,0.034078500749117564,0.24565325384997516,0.33556880278191753
el-primo,-2.2657757980697846,9.550111358574611,745.1714922048998,1347,233,0.011401823275971525,0.17297698589458055,0.2680029695619896
emz,-0.5238307349665924,9.53229398663697,723.9661469933185,2245,607,0.019003038793285874,0.27037861915367484,0.36302895322939865
frank,-1.1194539249146758,9.61433447098976,715.5153583617747,293,82,0.002480129339168268,0.27986348122866894,0.33447098976109213
gale,0.0153015301530153,9.750675067506752,734.4347434743474,1111,331,0.009404176436231896,0.29792979297929795,0.40414041404140416
gene,1.2955126384549844,9.852030673104231,841.3292388525987,14084,5354,0.11921550038513953,0.3801476853166714,0.4834564044305595
jacky,-1.2771084337349397,9.48995983935743,705.277108433735,249,54,0.002107686708030371,0.21686746987951808,0.3132530120481928
jessie,-0.20437636761487965,9.76586433260394,725.3785557986871,2285,651,0.019341623003411235,0.2849015317286652,0.3886214442013129
leon,0.02138110372724646,9.824039295001445,766.0404507367813,6922,2056,0.05859199756219369,0.2970239815082346,0.3959838197052875
lou,1.15,9.602702702702702,729.3986486486486,740,255,0.0062638078873191744,0.34459459459459457,0.4702702702702703
max,0.776907001044932,9.80903866248694,798.030303030303,3828,1292,0.03240250890899703,0.3375130616509927,0.4427899686520376
mortis,-1.0067243035542748,9.898655139289145,717.301633045149,2082,479,0.01762330813702503,0.23006724303554274,0.3400576368876081
mr-p,1.44436247387188,9.962990286487152,842.4932989056929,8133,3110,0.06884263452373898,0.3823927210131563,0.49182343538669615
nani,0.29586488060570765,9.744321490972627,760.8246942341293,1717,538,0.014533727219631112,0.3133372160745486,0.42050087361677346
nita,-0.9869942196531792,9.846820809248555,704.7095375722544,692,190,0.005857506835168742,0.2745664739884393,0.33670520231213874
pam,-0.47685185185185186,9.75462962962963,724.1496913580247,648,170,0.005485064204030845,0.2623456790123457,0.37037037037037035
penny,0.015105740181268883,9.83534743202417,735.0211480362537,1324,424,0.011207137355149442,0.3202416918429003,0.4169184290030212
piper,0.12271652697184612,9.856866537717602,750.0597464001719,4653,1380,0.039385808242832596,0.29658284977433913,0.40339565871480765
poco,-0.8867924528301887,9.761904761904763,701.2839173405212,1113,279,0.009421105646738164,0.25067385444743934,0.3468104222821204
rico,-0.2723535457348407,9.748201438848922,716.4768756423433,973,267,0.008236060911299402,0.2744090441932169,0.381294964028777
rosa,-1.1958041958041958,9.409090909090908,696.1398601398602,286,69,0.00242087710239633,0.24125874125874125,0.34965034965034963
sandy,-0.8544857768052516,9.706783369803064,714.8544857768053,914,226,0.0077366492013644945,0.24726477024070023,0.3533916849015317
shelly,-2.030917874396135,9.736231884057972,709.3468599033816,1035,201,0.008760866436993711,0.19420289855072465,0.2782608695652174
spike,0.20444444444444446,9.866222222222222,742.5306666666667,2250,689,0.019045361819551545,0.30622222222222223,0.4088888888888889
sprout,0.08010335917312661,9.757105943152455,734.8578811369509,774,239,0.006551604465925732,0.3087855297157623,0.39276485788113696
squeak,0.6951754385964912,9.701754385964913,707.9199561403509,912,258,0.007719719990858226,0.28289473684210525,0.44846491228070173
stu,0.005628517823639775,9.622420262664166,760.6425891181989,2132,623,0.01804653839968173,0.29221388367729834,0.399155722326454
surge,-0.6008512213175425,9.554774241302738,738.5049962990378,5404,1462,0.04574272678793624,0.27054034048852704,0.3612139156180607
tara,-0.09538878842676311,9.774412296564195,766.8435804701627,2212,667,0.01872370681993245,0.3015370705244123,0.397377938517179
tick,-0.6287215411558669,9.689141856392295,757.3117338003502,2284,623,0.019333158398158103,0.27276707530647987,0.36952714535901926
