brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-0.050734312416555405,9.76101468624833,728.5140186915888,749,227,0.006064630008987636,0.3030707610146863,0.3991989319092123
amber,0.11469780219780219,9.607142857142858,737.3317307692307,1456,415,0.011789187307190918,0.2850274725274725,0.4052197802197802
barley,-0.6710182767624021,9.678851174934726,701.9007832898172,383,109,0.0031011392435811276,0.2845953002610966,0.3472584856396867
bea,0.038138642360278245,9.719117294315183,749.1482369872871,4169,1259,0.033756265029999274,0.3019908851043416,0.39721755816742627
belle,0.8308015891563449,9.73895770039729,785.5571395185791,4279,1467,0.0346469316534821,0.34283711147464363,0.4503388642206123
bibi,-1.5932642487046633,9.757772020725389,714.2227979274611,772,161,0.006250860302988591,0.20854922279792745,0.2927461139896373
bo,-0.41821561338289964,9.816604708798017,719.0117719950433,1614,420,0.013068508457284439,0.26022304832713755,0.3667905824039653
brock,0.2573414032728088,9.815960546962565,752.2925353059852,4461,1432,0.036120580066880965,0.32100425913472314,0.4189643577673167
bull,-1.1662650602409639,9.60722891566265,711.7421686746987,415,93,0.0033602422613215875,0.22409638554216868,0.3180722891566265
buzz,0.6171465968586387,9.256544502617801,735.1321989528795,1528,465,0.012372169097106953,0.3043193717277487,0.4410994764397906
byron,0.40676147035148913,9.721223504158841,762.9361416689026,3727,1163,0.03017740459745917,0.31204722296753423,0.42447008317681784
carl,0.18621821164889255,9.75143560295324,754.1960623461854,1219,377,0.009870205582050639,0.3092698933552092,0.4200164068908942
colette,-0.2392894461859979,9.70846394984326,721.7272727272727,957,247,0.007748799624300624,0.258098223615465,0.38035527690700105
colonel-ruffs,0.32270916334661354,9.80398406374502,736.1824701195219,1255,421,0.010161696477008656,0.3354581673306773,0.42231075697211157
colt,-0.25928597187161917,9.908582762351244,742.414352686621,5546,1579,0.04490579176214343,0.2847097006851785,0.38189686260367833
crow,0.29201321636094335,9.861456078386693,769.1229349436026,8777,2733,0.07106709958462548,0.3113820211917512,0.412555542896206
darryl,-0.7507374631268436,9.513274336283185,715.4513274336283,678,174,0.005489745188375991,0.25663716814159293,0.3480825958702065
dynamike,-0.6113624937154349,9.688788335847159,701.3086978381097,1989,532,0.01610487194643045,0.26747109100050276,0.3624937154348919
edgar,-0.9213540341053703,9.406973784678035,714.8060575209977,3929,955,0.03181299239694582,0.2430643929753118,0.34283532705523034
el-primo,-2.269662921348315,9.52166934189406,742.3627608346709,1246,227,0.010088823753269152,0.18218298555377208,0.26565008025682185
emz,-0.35257082896117525,9.532528856243442,725.7581322140609,1906,524,0.015432823494166133,0.27492130115424973,0.3824763903462749
frank,-1.7920353982300885,9.274336283185841,703.7787610619469,226,44,0.001829915062791997,0.19469026548672566,0.27876106194690264
gale,-0.26247987117552335,9.793075684380032,731.731884057971,1242,337,0.010056435876051593,0.2713365539452496,0.3808373590982287
gene,1.0415665389361564,9.84971098265896,840.370072091966,15397,5592,0.12466903637968309,0.36318763395466647,0.46561018380203933
jacky,-0.41798941798941797,9.592592592592593,706.0793650793651,189,49,0.0015303271985295903,0.25925925925925924,0.37566137566137564
jessie,-0.6212424849699398,9.735971943887776,715.5726452905811,1996,543,0.016161550731561176,0.2720440881763527,0.36072144288577157
leon,0.09204452891664404,9.817540048873202,762.7986695628564,7366,2268,0.05964227589613208,0.307901167526473,0.4076839532989411
lou,-0.328125,9.6375,723.6328125,640,181,0.005182060354809195,0.2828125,0.36875
max,0.1865771812080537,9.771275167785236,786.3124832214766,3725,1156,0.03016121065885039,0.31033557046979865,0.4115436241610738
mortis,-0.8423383525243578,9.905668733392382,717.0429583702391,2258,543,0.01828295668931119,0.24047829937998227,0.34853852967227633
mr-p,1.327619262433743,9.970226683207398,846.9334611480772,8867,3311,0.07179582682202051,0.37340701477388066,0.4856208413217548
