brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,0.13793103448275862,9.555172413793104,719.4758620689655,290,79,0.002430235481438029,0.27241379310344827,0.41379310344827586
amber,0.5229090909090909,9.735272727272728,775.5287272727272,1375,409,0.011522668230956172,0.29745454545454547,0.41963636363636364
barley,-1.3142857142857143,9.617142857142857,697.48,175,33,0.0014665214112126036,0.18857142857142858,0.2742857142857143
bea,-0.1747624076029567,9.672650475184794,737.0702217529039,1894,483,0.015871951730495264,0.2550158394931362,0.36747624076029567
belle,0.48801597869507324,9.68508655126498,752.6617842876165,1502,468,0.012586943769379032,0.31158455392809586,0.41145139813581894
bibi,-0.4109808102345416,9.813965884861407,736.4285714285714,1876,475,0.015721109528199113,0.2531982942430704,0.3773987206823028
bo,0.03662025557886706,9.957657829486935,764.952698836544,5243,1672,0.04393698147992961,0.318901392332634,0.40892618729734886
brock,-0.2377670572019297,9.74776016540317,734.0937284631289,1451,395,0.01215955752953993,0.2722260509993108,0.36250861474844936
bull,-0.19094488188976377,9.753937007874017,733.0723425196851,2032,576,0.017028408614765775,0.28346456692913385,0.3922244094488189
buzz,0.33869701726844587,9.45839874411303,751.3308477237049,2548,769,0.02135255174725551,0.30180533751962324,0.42268445839874413
byron,0.044,9.673333333333334,750.95,1500,426,0.01257018352467946,0.284,0.3913333333333333
carl,0.5807799442896936,9.706128133704736,757.4944289693593,718,222,0.006016927847146568,0.30919220055710306,0.4387186629526462
colette,-0.30673316708229426,9.786783042394015,728.0473815461347,802,224,0.006720858124528618,0.2793017456359102,0.3865336658354115
colonel-ruffs,-0.1557377049180328,9.87295081967213,749.2581967213115,976,265,0.008178999413391435,0.27151639344262296,0.3780737704918033
colt,-0.36191809590479523,9.83409170458523,737.9180959047952,2857,722,0.02394200955333948,0.2527126356317816,0.36436821841092054
crow,0.18429890848026867,9.82031905961377,761.4659949622167,4764,1330,0.039922902874381966,0.2791771620486986,0.3973551637279597
darryl,-0.3542168674698795,9.581927710843374,725.5012048192771,830,221,0.006955501550322635,0.26626506024096386,0.3819277108433735
dynamike,-0.9494204425711275,9.634878819810327,709.1933614330875,1898,447,0.015905472219894412,0.23551106427818758,0.3356164383561644
edgar,-0.9393309393309394,9.478926478926478,721.7295407295408,5291,1315,0.04433922735271935,0.24853524853524853,0.343980343980344
el-primo,-0.8394968553459119,9.651069182389937,757.0359748427672,3975,1018,0.03331098634040057,0.2561006289308176,0.3627672955974843
emz,0.8998771498771498,9.739864864864865,790.105343980344,6512,2412,0.05457135674180843,0.3703931203931204,0.4643734643734644
frank,-0.5988950276243094,9.698342541436464,748.1613259668509,905,232,0.007584010726556608,0.256353591160221,0.37679558011049724
gale,-0.20481927710843373,9.763855421686747,741.7710843373494,830,247,0.006955501550322635,0.29759036144578316,0.3819277108433735
gene,0.5928080996159665,9.84766670545793,832.8297451413941,8593,2814,0.07201039135171373,0.32747585243803096,0.43174677062725475
jacky,1.2122890635063763,9.860492077804972,794.7701919361072,7763,3083,0.0650548898013911,0.3971402808192709,0.49027437846193483
jessie,-0.035924617196702,9.705535924617196,737.2520612485276,1698,512,0.01422944774993715,0.30153121319199055,0.3963486454652532
leon,-0.1348569434752268,9.761165387299371,762.1695743196092,5732,1588,0.048034861308975114,0.27704117236566644,0.3804954640614096
lou,-0.5748898678414097,9.665198237885463,727.0110132158591,454,117,0.0038045755468029832,0.2577092511013216,0.35462555066079293
max,0.5565262076053443,9.755395683453237,791.0637204522096,1946,579,0.016307718092684154,0.2975334018499486,0.42034943473792397
