brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-0.05852842809364549,9.68227424749164,746.0836120401337,598,188,0.005061534034161123,0.31438127090301005,0.3896321070234114
amber,0.0655858511422255,9.624170965364776,740.7582903463523,1357,415,0.011485788769827162,0.3058216654384672,0.4001473839351511
barley,0.08070175438596491,9.771929824561404,717.3578947368421,570,188,0.004824539129551572,0.3298245614035088,0.4105263157894737
bea,-0.8000787091696182,9.704053522235341,732.9665486029122,2541,643,0.021507287593316743,0.2530499803227076,0.345926800472255
belle,0.4539089848308051,9.709840528977052,760.4896927265655,2571,848,0.021761210705398406,0.32983274990276157,0.4321275768183586
bibi,-0.7755905511811023,9.769291338582677,725.9645669291339,1270,324,0.010749411744790344,0.2551181102362205,0.35196850393700785
bo,-0.7529904306220095,9.78468899521531,720.4814593301436,1672,393,0.01415198144668461,0.23504784688995214,0.3456937799043062
brock,0.13777038269550748,9.794342762063227,746.4778702163062,3005,940,0.025434631726846443,0.31281198003327787,0.4086522462562396
bull,0.02786377708978328,9.673374613003096,716.9643962848297,646,179,0.005467811013491781,0.2770897832817337,0.4024767801857585
buzz,0.6913086913086913,9.244755244755245,739.4095904095905,1001,307,0.008472567839791445,0.3066933066933067,0.44955044955044954
byron,-0.1536654135338346,9.694548872180452,742.9515977443609,2128,585,0.018011612750325867,0.274906015037594,0.3900375939849624
carl,0.7644197359277276,9.776233495482975,760.6726893676164,1439,475,0.012179845276183704,0.330090340514246,0.4440583738707436
colette,0.05053763440860215,9.731182795698924,733.9623655913979,930,264,0.007871616474531513,0.2838709677419355,0.4021505376344086
colonel-ruffs,0.2921947965310207,9.816544362908605,740.7478318879253,1499,454,0.012687691500347029,0.3028685790527018,0.42228152101400934
colt,-0.23042346818074283,9.875088715400993,744.3286018452803,4227,1234,0.03577776649230613,0.2919328128696475,0.38679914833215046
crow,0.24919700214132762,9.838998929336189,760.5702623126339,7472,2341,0.06324378311580586,0.3133029978586724,0.4158190578158458
darryl,0.13202247191011235,9.50749063670412,718.4700374531835,1068,322,0.009039662790107155,0.301498127340824,0.40168539325842695
dynamike,-0.23034901365705615,9.745068285280729,722.1262518968133,3295,962,0.027889221810302508,0.2919575113808801,0.3848254931714719
edgar,-0.5600218261185885,9.455074572571844,721.4407057111677,5498,1379,0.04653564234083253,0.25081847944707164,0.3604947253546744
el-primo,-1.5399449035812671,9.44573002754821,746.1840220385675,1815,333,0.015362348280940531,0.1834710743801653,0.2997245179063361
emz,-0.20212331563903635,9.529603919967334,733.6864026133115,2449,710,0.02072859004959965,0.2899142507145774,0.3813801551653736
frank,-0.618798955613577,9.496083550913838,713.6997389033943,383,110,0.003241751730909214,0.28720626631853785,0.3681462140992167
gale,0.2919034090909091,9.767755681818182,737.6143465909091,1408,443,0.011917458060365987,0.3146306818181818,0.4289772727272727
gene,1.1301612903225806,9.844112903225806,836.3979032258064,12400,4617,0.10495488632708683,0.37233870967741933,0.47274193548387095
jacky,-0.6413373860182371,9.620060790273556,721.1550151975684,329,88,0.002784690129162223,0.2674772036474164,0.3617021276595745
jessie,-0.45908607863974493,9.671625929861849,716.7874601487779,1882,502,0.01592944323125624,0.2667375132837407,0.3687566418703507
leon,0.28200559938915754,9.825146347671163,766.7839144820565,7858,2466,0.06651092715792324,0.31382031051158055,0.4109188088572156
lou,0.9803149606299213,9.67716535433071,744.5997375328084,762,265,0.006449647046874206,0.34776902887139105,0.47112860892388453
max,0.43943056674724684,9.781090518399141,779.0480795057749,3723,1176,0.03151185820933421,0.3158742949234488,0.4246575342465753
mortis,-0.3571703191080354,9.90311418685121,722.7293348712034,2601,691,0.022015133817480066,0.26566705113417916,0.3879277201076509
mr-p,1.204225352112676,9.956572769953052,842.1113556338029,6816,2572,0.057691331064953534,0.37734741784037557,0.4822476525821596
nani,0.10891938250428816,9.590051457975987,743.6046312178388,1166,330,0.009869144956240583,0.2830188679245283,0.4065180102915952
nita,-0.611170784103115,9.789473684210526,703.9709989258862,931,238,0.007880080578267567,0.2556390977443609,0.34371643394199786
pam,-0.3772189349112426,9.74112426035503,708.6494082840237,676,175,0.005721734125573443,0.2588757396449704,0.3683431952662722
penny,-0.3421985815602837,9.777482269503546,709.9095744680851,1128,332,0.009547509014270478,0.29432624113475175,0.37677304964539005
piper,-0.3439459720212253,9.811384466956103,730.0096478533526,2073,579,0.017546087044842822,0.2793053545586107,0.37433671008200675
poco,-0.8869093725793958,9.853601859024012,701.4345468628969,1291,339,0.010927157923247508,0.26258714175058095,0.34856700232378
rico,-0.444060773480663,9.783149171270718,729.1906077348066,1448,401,0.012256022209808204,0.27693370165745856,0.3736187845303867
rosa,-0.3574660633484163,9.346153846153847,711.9796380090497,442,113,0.003741133851336482,0.25565610859728505,0.38009049773755654
sandy,0.6128230616302187,9.845427435387673,755.9821073558649,2012,688,0.017029776716943442,0.341948310139165,0.4428429423459245
shelly,-0.8910120311394196,9.682236376503893,709.5661712668082,1413,334,0.011959778579046265,0.23637650389242745,0.3305024769992923
spike,0.061927605756650676,9.808111644134321,739.5556040122111,2293,678,0.01940818986677501,0.29568251199302226,0.39729611862189274
sprout,0.5380597014925373,9.730597014925372,750.0082089552238,1340,450,0.01134189900631422,0.3358208955223881,0.43955223880597016
squeak,0.30823293172690763,9.700803212851406,715.5883534136547,996,277,0.008430247321111167,0.2781124497991968,0.4206827309236948
stu,0.1954225352112676,9.60387323943662,756.5026408450705,2272,684,0.019230443688317844,0.301056338028169,0.40184859154929575
surge,0.02956627978008552,9.591936469150886,751.2046426389737,8185,2568,0.06927868907961336,0.3137446548564447,0.40733048259010385
