brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-0.02586206896551724,9.780172413793103,726.2456896551724,464,135,0.004845801175942268,0.29094827586206895,0.39655172413793105
amber,0.24278846153846154,9.606570512820513,742.1594551282051,1248,375,0.013033534197361963,0.3004807692307692,0.41025641025641024
barley,-0.7014925373134329,9.776119402985074,719.0932835820895,268,60,0.0027988679205873447,0.22388059701492538,0.332089552238806
bea,-0.16642857142857143,9.701785714285714,745.5328571428571,2800,816,0.02924190364792748,0.2914285714285714,0.3889285714285714
belle,0.5490526315789473,9.701473684210526,775.6513684210527,2375,837,0.024803400415652772,0.35242105263157897,0.43536842105263157
bibi,-1.0916976456009913,9.786864931846344,717.537794299876,807,171,0.008427934372813384,0.21189591078066913,0.322180916976456
bo,-0.2916219119226638,9.871643394199785,730.0284640171858,1862,520,0.019445865925871775,0.27926960257787325,0.37379162191192267
brock,0.21710526315789475,9.817982456140351,744.6622807017544,2736,825,0.028573517278831995,0.30153508771929827,0.4064327485380117
bull,-0.4894837476099426,9.690248565965582,749.5411089866157,523,138,0.005461969859952168,0.2638623326959847,0.3652007648183556
buzz,0.7650695517774343,9.55177743431221,763.387944358578,647,202,0.0067569684500746715,0.312210200927357,0.4420401854714065
byron,0.13161346742457367,9.740271097507652,758.7691298644512,2287,711,0.02388436915814648,0.3108876257105378,0.4105815478793179
carl,-0.08478260869565217,9.747826086956522,741.3695652173913,920,243,0.0096080540557476,0.26413043478260867,0.3858695652173913
colette,-0.4987146529562982,9.717223650385604,724.2210796915167,778,221,0.008125071799316992,0.28406169665809766,0.37532133676092544
colonel-ruffs,0.04259094942324756,9.852706299911269,747.8660159716061,1127,350,0.011769866218290811,0.3105590062111801,0.4046140195208518
colt,-0.21115537848605578,9.896945551128818,747.1155378486055,3765,1105,0.039319916869445345,0.29349269588313415,0.3859229747675963
crow,0.22033177371331347,9.846873670778391,765.0409754714306,7053,2167,0.0736582665817259,0.30724514391039276,0.4130157379838367
darryl,-0.5299479166666666,9.595052083333334,725.1640625,768,192,0.008020636429145822,0.25,0.3723958333333333
dynamike,-0.5819142689371697,9.743394010569583,708.7105108631827,1703,420,0.017785343540150177,0.24662360540223136,0.3505578391074574
edgar,-0.8150798018712163,9.43010456796918,720.3703907539901,3634,866,0.03795181352020302,0.23830489818381947,0.33709411117226196
el-primo,-2.2993874425727414,9.459418070444103,736.2343032159265,1306,223,0.013639259344354747,0.17075038284839203,0.2549770290964778
emz,-0.25,9.512400793650794,724.8323412698413,2016,564,0.021054170626507787,0.27976190476190477,0.37549603174603174
frank,-0.516260162601626,9.40650406504065,724.150406504065,246,62,0.0025691101062107714,0.25203252032520324,0.35772357723577236
gale,0.09286412512218964,9.726295210166178,728.1564027370479,1023,312,0.010683738368510647,0.30498533724340177,0.396871945259042
gene,1.0920086753420086,9.867534200867535,840.2379879879879,11988,4400,0.12519712176119807,0.3670337003670337,0.4710543877210544
jacky,-1.3680297397769516,9.565055762081784,710.8475836431227,269,64,0.0028093114576044614,0.2379182156133829,0.34944237918215615
jessie,-0.4188034188034188,9.703907203907203,717.530525030525,1638,480,0.017106513634037576,0.29304029304029305,0.37545787545787546
leon,0.4349790254920942,9.844304614391739,769.4696676347208,6198,2065,0.0647290424320909,0.33317199096482736,0.43272023233301066
lou,0.013565891472868217,9.614341085271318,722.6550387596899,516,159,0.00538886510083235,0.3081395348837209,0.42248062015503873
max,0.07455976020981642,9.743349569127014,780.0505807418509,2669,781,0.027873800298685157,0.29261895841139,0.4038965904833271
mortis,-0.25732551944592436,9.901438465636653,729.7149706979222,1877,481,0.01960251898112853,0.256259989344699,0.38092701118806604
mr-p,1.5009287041005859,9.964137733961994,841.4952136019431,6999,2715,0.07309431558280158,0.387912558936991,0.49821403057579655
nani,-0.006024096385542169,9.635972461273665,755.9380378657487,1162,355,0.012135390013889904,0.3055077452667814,0.4053356282271945
nita,-0.6606851549755302,9.776508972267537,701.8564437194127,613,158,0.006401888191492695,0.25774877650897227,0.34910277324632955
pam,0.0350609756097561,9.786585365853659,734.5533536585366,656,189,0.006850960283228724,0.28810975609756095,0.40396341463414637
penny,-0.7361963190184049,9.785276073619633,714.0723926380368,815,219,0.00851148266895032,0.2687116564417178,0.3558282208588957
piper,-0.09726195341234165,9.877400899060074,753.4720065386188,2447,690,0.025555335080885193,0.2819779321618308,0.3894564773191663
poco,-0.6351490236382322,9.817060637204522,710.289825282631,973,266,0.010161561517654799,0.2733812949640288,0.3597122302158273
rico,-0.5095137420718816,9.74524312896406,718.1680761099366,946,275,0.009879586018192641,0.29069767441860467,0.3784355179704017
rosa,-1.058011049723757,9.596685082872929,719.0552486187845,362,83,0.0037805604001963384,0.2292817679558011,0.3287292817679558
sandy,0.02828054298642534,9.777149321266968,738.8868778280543,884,248,0.00923208672313139,0.28054298642533937,0.3993212669683258
shelly,-1.0887372013651877,9.76962457337884,710.5810580204778,1172,263,0.012239825384061074,0.22440273037542663,0.33447098976109213
spike,0.3073394495412844,9.840366972477064,745.9211009174312,2180,678,0.022766910697314967,0.3110091743119266,0.4114678899082569
sprout,0.14664586583463338,9.697347893915756,742.8970358814353,641,194,0.0066943072279719695,0.30265210608424337,0.3962558502340094
squeak,0.23680456490727533,9.7018544935806,704.641940085592,701,195,0.007320919448998987,0.2781740370898716,0.4008559201141227
stu,-0.20766590389016018,9.59954233409611,748.2419908466819,1748,504,0.01825530270592044,0.28832951945080093,0.38958810068649885
surge,-0.2939274994227661,9.531516970676519,736.9367351650889,4331,1248,0.045230958821133545,0.28815516047102285,0.3853613484183791
tara,0.1543103448275862,9.80646551724138,758.3491379310345,2320,745,0.02422900587971134,0.32112068965517243,0.41810344827586204
tick,-0.7391640866873065,9.660990712074303,745.6191950464396,1292,328,0.013493049826115109,0.25386996904024767,0.34829721362229105
