brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-1.6666666666666667,9.603864734299517,699.56038647343,207,50,0.00156244103106012,0.24154589371980675,0.3140096618357488
amber,-0.27546296296296297,9.636574074074074,733.6238425925926,864,234,0.0065214929992074575,0.2708333333333333,0.3738425925925926
barley,0.08392539964476022,9.832149200710479,745.588809946714,2252,697,0.016998150734045363,0.3095026642984014,0.41252220248667854
bea,-0.9717223650385605,9.649528706083975,717.4387317909169,1167,291,0.00880854436351285,0.2493573264781491,0.3341902313624679
belle,-0.31343283582089554,9.685419058553387,735.0206659012629,871,244,0.006574329169339925,0.2801377726750861,0.37543053960964407
bibi,-0.41411895497498613,9.818232351306282,739.2017787659811,1799,472,0.013578895724044231,0.2623679822123402,0.3735408560311284
bo,-1.2793969849246232,9.73065326633166,722.0271356783919,995,230,0.00751028418311507,0.23115577889447236,0.3185929648241206
brock,-0.5458064516129032,9.816774193548387,716.2774193548387,1550,431,0.011699437672189304,0.27806451612903227,0.37032258064516127
bull,-0.4520417853751187,9.691358024691358,738.5555555555555,1053,259,0.00794806959278409,0.2459639126305793,0.37511870845204176
buzz,1.0844253490870033,9.511922663802363,771.2947368421053,4655,1682,0.0351360531380911,0.36133190118152525,0.47368421052631576
byron,-0.06896551724137931,9.619540229885057,727.7620689655172,870,259,0.006566781145035287,0.29770114942528736,0.3850574712643678
carl,-0.14390467461044912,9.7057745187901,748.2703941338222,1091,301,0.008234894516360343,0.2758936755270394,0.383134738771769
colette,-0.3093385214007782,9.665369649805447,713.1420233463035,514,140,0.003879684492584066,0.2723735408560311,0.3832684824902724
colonel-ruffs,0.30091613812544044,9.806201550387597,761.2558139534884,1419,421,0.010710646488281692,0.2966878083157153,0.41296687808315713
colt,-0.6663977410246067,9.854780153287615,723.8495361032675,2479,715,0.01871155225119825,0.28842275110931825,0.3711173860427592
crow,-0.5662824207492796,9.79193083573487,735.5374639769452,3470,877,0.026191644337094765,0.2527377521613833,0.35706051873198846
darryl,-0.3785310734463277,9.592278719397363,736.2090395480226,1062,259,0.008016001811525833,0.243879472693032,0.3625235404896422
dynamike,0.32295926094199606,9.808268968650614,766.3611237316371,13206,4207,0.09967920896705287,0.3185673178858095,0.4180675450552779
edgar,-0.13946869070208728,9.579506641366224,742.1162239089184,10540,2981,0.07955617617088727,0.2828273244781784,0.390607210626186
el-primo,-1.035735207967194,9.550380785002929,764.7565905096661,3414,781,0.025768954976035024,0.22876391329818394,0.3350908025776216
emz,-0.6561570493753718,9.555026769779893,735.3747769185009,1681,449,0.012688228856096917,0.26710291493158833,0.35633551457465795
frank,-1.1487455197132617,9.53584229390681,725.0555555555555,558,135,0.004211797561988149,0.24193548387096775,0.34050179211469533
gale,-0.10183066361556065,9.78604118993135,728.2517162471396,874,253,0.00659697324225384,0.2894736842105263,0.4096109839816934
gene,0.714193962748876,9.824479310028442,836.0699146710707,10899,3782,0.0822659168962524,0.3470043123222314,0.44591246903385634
jacky,0.10828729281767956,9.646408839779005,749.0773480662983,905,255,0.006830961995697626,0.281767955801105,0.4066298342541437
jessie,-0.995774647887324,9.57112676056338,705.4014084507043,1420,344,0.010718194512586331,0.24225352112676057,0.34225352112676055
leon,0.3830807299721621,9.815187132694092,777.5188679245283,6466,2037,0.048805525153790996,0.31503247757500774,0.41261985771729043
lou,0.7063829787234043,9.648936170212766,754.8319148936171,470,139,0.0035475714231799826,0.2957446808510638,0.44468085106382976
max,0.6456413890857547,9.819277108433734,797.797661233168,2822,929,0.021300524587689173,0.3291991495393338,0.4397590361445783
mortis,-0.5592810231593501,9.899066712754927,734.3746975458002,2893,685,0.021836434313318488,0.2367784306947805,0.3667473211199447
mr-p,0.7801353013530136,9.93650061500615,835.5493542435424,6504,2338,0.04909235007736725,0.3594710947109471,0.4555658056580566
nani,-0.693089430894309,9.451219512195122,705.4939024390244,492,123,0.0037136279578820243,0.25,0.3475609756097561
nita,-0.2025431425976385,9.790190735694823,718.1435059037238,1101,316,0.008310374759406726,0.28701180744777477,0.3860127157129882
pam,-0.4142857142857143,9.785714285714286,691.6119047619047,420,107,0.0031701702079480697,0.25476190476190474,0.3904761904761905
penny,-0.8520130576713819,9.761697497279652,710.5549510337323,919,260,0.006936634335962562,0.28291621327529926,0.35690968443960824
piper,-1.342685370741483,9.797595190380761,708.8537074148296,499,103,0.0037664641280144924,0.20641282565130262,0.3026052104208417
poco,-1.0578158458244111,9.814775160599572,695.0535331905782,934,237,0.007049854700532136,0.25374732334047106,0.33190578158458245
rico,-0.28837209302325584,9.796744186046512,727.7609302325582,2150,650,0.01622825225497226,0.3023255813953488,0.38372093023255816
rosa,-1.072753209700428,9.540656205420827,719.3552068473609,701,154,0.005291165037551421,0.21968616262482168,0.340941512125535
sandy,0.5798969072164949,9.850147275405007,775.7426362297497,2716,900,0.020500434011397516,0.33136966126656847,0.4215758468335788
shelly,-1.1719549641760492,9.743091095189355,727.914022517912,1954,442,0.014748839491263162,0.2262026612077789,0.3249744114636643
spike,-0.22958693563880883,9.8342939481268,735.8242074927954,2082,596,0.01571498660225686,0.2862632084534102,0.38376560999039383
sprout,0.8402154398563735,9.786714542190305,781.3098743267504,2785,952,0.021021247688417555,0.34183123877917415,0.4635547576301616
squeak,0.5857740585774058,9.680613668061367,698.1436541143654,717,233,0.005411933426425633,0.32496513249651326,0.4309623430962343
stu,0.2717101758124667,9.575386254661694,763.3692061800746,1877,581,0.014167641619806015,0.309536494405967,0.4112946190729888
surge,0.5795304336879209,9.70057279536728,777.7020834644678,15887,5329,0.11991546212778806,0.3354314848618367,0.4356392018631586
tara,0.16993720565149137,9.757849293563579,783.0847723704867,2548,807,0.019232365928218288,0.31671899529042385,0.41483516483516486
tick,0.2785627071341357,9.745682888540031,795.0045351473923,5733,1868,0.04327282333849115,0.3258328972614687,0.41932670504099073
