brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-0.9739130434782609,9.778260869565218,717.3652173913043,460,114,0.0038141355178932706,0.24782608695652175,0.3456521739130435
amber,0.14749780509218613,9.707638279192274,743.350307287094,1139,346,0.009444131206261816,0.3037752414398595,0.40210711150131695
barley,0.1324376199616123,9.758157389635317,712.5239923224568,521,162,0.004319923053961726,0.31094049904030713,0.40307101727447214
bea,-0.11869328493647913,9.71070780399274,742.6453720508167,2755,790,0.022843355112599915,0.2867513611615245,0.3876588021778584
belle,0.6082651743435213,9.738699956952217,776.3900129143349,2323,788,0.019261384365361015,0.33921653034868704,0.4373654756780026
bibi,-1.0441839495040577,9.770964833183047,716.1614066726781,1109,233,0.009195383237703558,0.21009918845807032,0.3345356176735798
bo,-0.6258853831294269,9.83515775917579,722.6162266580811,1553,396,0.01287685317236576,0.2549903412749517,0.34964584674822924
brock,0.14756871035940802,9.833403805496829,750.3496828752643,2365,724,0.019609631521342576,0.30613107822410146,0.4084566596194503
bull,-1.2901960784313726,9.576470588235294,704.0764705882353,510,107,0.004228715465490365,0.20980392156862746,0.2980392156862745
buzz,0.5633581796783053,9.482542173401335,759.4970576696744,2549,844,0.021135285728499886,0.33111023930953315,0.43821106316202435
byron,0.352,9.766736842105264,752.6202105263158,2375,737,0.019692547510861996,0.3103157894736842,0.41642105263157897
carl,0.5958677685950413,9.793388429752065,754.596694214876,1210,392,0.01003283473184969,0.3239669421487603,0.43471074380165287
colette,0.10224719101123596,9.664044943820224,740.7471910112359,890,233,0.007379523067228284,0.26179775280898876,0.38764044943820225
colonel-ruffs,0.4974765681326604,9.857966834895457,757.1780821917808,1387,434,0.011500447746343404,0.31290555155010813,0.43114635904830567
colt,-0.37594187298170073,9.843649085037676,740.0086114101184,3716,1078,0.030811581705416074,0.2900968783638321,0.379978471474704
crow,0.015946962909872783,9.806127934061996,760.6704891596488,5581,1635,0.046275413750787704,0.2929582512094607,0.401361763124888
darryl,-0.630057803468208,9.452312138728324,714.7861271676301,692,170,0.005737786474743789,0.24566473988439305,0.36127167630057805
dynamike,-0.7523127424649358,9.6544315129812,710.8845120859445,3351,856,0.027785148087957283,0.25544613548194567,0.3533273649656819
edgar,-0.8272435897435897,9.506410256410257,726.2520833333333,6240,1528,0.05173957746011741,0.24487179487179486,0.3450320512820513
el-primo,-1.6069197501201347,9.546852474771745,750.3714560307544,2081,411,0.017254817418991077,0.19750120134550697,0.30177799135031236
emz,-0.22585924713584288,9.616366612111293,748.4919803600654,3055,868,0.025330834798182482,0.28412438625204584,0.37970540098199673
frank,-0.7100271002710027,9.414634146341463,713.0081300813008,369,97,0.0030596000132665584,0.26287262872628725,0.38482384823848237
gale,0.39960435212660733,9.784371909000988,740.7368941641938,1011,299,0.008382806540413254,0.29574678536102866,0.4134520276953511
gene,1.1092855824256969,9.871823272414005,861.5359054827395,16251,5835,0.13474677456800768,0.3590548273952372,0.47160174758476403
jacky,0.44923857868020306,9.82741116751269,732.8984771573604,394,134,0.0032668899870651057,0.3401015228426396,0.4365482233502538
jessie,-0.3794749403341289,9.699761336515513,723.380906921241,2095,602,0.017370899804318263,0.2873508353221957,0.3775656324582339
leon,0.15498106802454628,9.831701266483876,779.0808199503851,7659,2353,0.06350535637292296,0.3072202637420029,0.4101057579318449
lou,0.08688524590163935,9.668852459016394,719.0196721311476,610,185,0.005057875360684554,0.30327868852459017,0.40491803278688526
max,0.4177027827116637,9.813795145056247,799.6284783895796,3378,1071,0.028009021259659712,0.31705150976909413,0.41888691533451744
mortis,-0.623400365630713,9.888482632541134,735.4332723948812,2188,574,0.01814201850684886,0.2623400365630713,0.36608775137111516
mr-p,1.4432368343049107,9.961169844876988,865.051971149096,10121,4032,0.08391927299260389,0.3983796067582255,0.4951091789348879
nani,-0.16147308781869688,9.590179414542021,750.5118035882908,1059,310,0.008780803290106463,0.2927289896128423,0.37865911237016053
nita,-0.36482084690553745,9.853420195439739,713.014115092291,921,258,0.007636562634738483,0.28013029315960913,0.3778501628664495
pam,-0.8483245149911817,9.82363315696649,718.0352733686067,567,148,0.004701336605751053,0.26102292768959434,0.37389770723104054
