brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-0.23319027181688126,9.76680972818312,725.758226037196,699,204,0.005645382739181702,0.2918454935622318,0.39628040057224606
amber,0.14196372732958099,9.68042526579112,758.9249530956848,1599,479,0.012914115879759,0.29956222639149466,0.3977485928705441
barley,-0.11011904761904762,9.764880952380953,700.6517857142857,336,94,0.0027136603724821915,0.27976190476190477,0.38392857142857145
bea,-0.6726208808130582,9.671696951031722,734.5469664305513,3247,850,0.026223973897171654,0.2617801047120419,0.35047736372035726
belle,0.9935605044271532,9.754494231285216,794.0850550040246,3727,1357,0.030100631572146215,0.3640998121813791,0.4561309364099812
bibi,-1.0973684210526315,9.77017543859649,718.8508771929825,1140,272,0.009207061978064578,0.23859649122807017,0.33157894736842103
bo,-0.60727969348659,9.784163473818646,722.330779054917,1566,421,0.012647595664604501,0.26883780332056195,0.3665389527458493
brock,0.49987693822298795,9.838789072114201,765.1904996308147,4063,1371,0.032814291944628406,0.33743539256706867,0.43490031996062023
bull,-1.6753507014028055,9.669338677354709,720.6993987975952,499,98,0.004030108707942302,0.1963927855711423,0.2865731462925852
buzz,1.2544056392181993,9.356936879205383,758.8997116308875,3121,1117,0.025206351257490833,0.35789810958026275,0.48446010893944247
byron,0.5058081646199801,9.761367407899105,758.8111516760704,3013,956,0.024334103280621557,0.31729173581148357,0.4317955526053767
carl,0.6151960784313726,9.752450980392156,754.8553921568628,1224,390,0.009885477071185127,0.31862745098039214,0.44362745098039214
colette,0.08899521531100478,9.723444976076555,739.7741626794258,1045,290,0.008439806813225864,0.27751196172248804,0.4019138755980861
colonel-ruffs,-0.14285714285714285,9.794285714285714,740.6906122448979,1225,353,0.009893553441341324,0.28816326530612246,0.38285714285714284
colt,-0.1343230823612584,9.908978437610463,753.7124425592082,5658,1688,0.04569610234376262,0.29833863556026863,0.39077412513255566
crow,0.10781823313576065,9.845469940728197,764.0174992943832,7086,2125,0.057229158926811935,0.29988710132655944,0.4033305108664973
darryl,-0.7244582043343654,9.606811145510836,731.6738906088751,969,246,0.007826002681354891,0.25386996904024767,0.36945304437564497
dynamike,-0.8532675709001233,9.665433621043979,705.4073160706946,2433,600,0.0196498085900273,0.2466091245376079,0.34319769831483765
edgar,-0.9997962925239356,9.383173762477083,717.0531676512528,4909,1175,0.03964690109677107,0.23935628437563658,0.3418211448360155
el-primo,-1.8767865943814688,9.434696895022178,740.3169048792508,2029,401,0.01638695504692371,0.1976343026121242,0.29226219812715626
emz,-0.3733434305187429,9.558500567966679,736.471790988262,2641,768,0.021329693582516275,0.290798939795532,0.3759939416887543
frank,-1.0773638968481376,9.492836676217765,717.4126074498568,349,80,0.0028186531845127527,0.22922636103151864,0.332378223495702
gale,-0.25333333333333335,9.768333333333333,730.2266666666667,1200,344,0.009691644187436399,0.2866666666666667,0.38916666666666666
gene,1.1309828170521434,9.855698911944824,846.0137344669719,16819,6107,0.13583646965707732,0.36310125453356323,0.47000416195968847
jacky,-0.020289855072463767,9.501449275362319,716.9188405797101,345,105,0.0027863477038879646,0.30434782608695654,0.40869565217391307
jessie,-0.4640403114979386,9.681630783325698,723.0022904260193,2183,608,0.01763071605097805,0.27851580393953274,0.37517178195144296
leon,0.06416539050535988,9.81990811638591,767.3460949464012,6530,1988,0.0527386971199664,0.30444104134762634,0.40398162327718223
lou,0.4365426695842451,9.559080962800875,729.9693654266958,914,286,0.007381802322764057,0.31291028446389496,0.4365426695842451
max,0.8898194190002617,9.808688824914944,800.6985082439152,3821,1297,0.030859810366828732,0.3394399371892175,0.45825700078513476
mortis,-0.75,9.864025695931478,713.8934689507495,1868,421,0.015086659451775994,0.22537473233404712,0.34528907922912205
mr-p,1.284947325769854,9.959987844408428,851.8287074554295,9872,3749,0.07972992618197677,0.3797609400324149,0.47974068071312803
nani,0.21034717494894487,9.605854322668481,748.2750170183798,1469,492,0.01186418775945339,0.3349217154526889,0.4132062627637849
nita,-0.7157001414427157,9.777934936350778,696.2376237623762,707,161,0.005709993700431278,0.22772277227722773,0.3437057991513437
pam,0.4412811387900356,9.75326215895611,743.5551601423488,843,294,0.00680838004167407,0.3487544483985765,0.4400948991696323
penny,-0.440754039497307,9.865350089766606,727.6741472172351,1114,294,0.008997076354003456,0.2639138240574506,0.38150807899461403
piper,-0.1660839160839161,9.849300699300699,751.6888111888112,2860,840,0.023098418646723417,0.2937062937062937,0.3881118881118881
poco,-0.4166666666666667,9.86996336996337,709.4871794871794,1092,299,0.008819396210567123,0.27380952380952384,0.37545787545787546
rico,-0.8315789473684211,9.67578947368421,711.1631578947369,950,240,0.007672551648387149,0.25263157894736843,0.34
rosa,-1.261111111111111,9.566666666666666,702.0083333333333,360,92,0.0029074932562309194,0.25555555555555554,0.35
sandy,-0.2227516378796903,9.804645622394283,734.8314472900536,1679,474,0.013560225492254762,0.2823108993448481,0.37998808814770696
shelly,-1.5464949928469243,9.655937052932762,713.3927038626609,1398,261,0.011290765478363404,0.18669527896995708,0.2968526466380544
spike,0.17474541751527495,9.805295315682281,736.1299389002037,2455,743,0.01982748873346363,0.3026476578411405,0.4085539714867617
sprout,-0.22552447552447552,9.657342657342657,720.3024475524476,572,151,0.004619683729344683,0.263986013986014,0.3811188811188811
squeak,0.7154973014649191,9.597532767925983,714.5566692367,1297,407,0.010475052092587507,0.3138010794140324,0.4471858134155744
stu,0.11055776892430279,9.616533864541832,765.457171314741,2008,614,0.016217351273643574,0.3057768924302789,0.4038844621513944
surge,-0.7044740973312402,9.491954474097332,735.6034144427001,5096,1313,0.04115718231597991,0.2576530612244898,0.3540031397174254
tara,-0.03326133909287257,9.805183585313175,758.8038876889849,2315,700,0.018696796911596054,0.3023758099352052,0.3939524838012959
tick,-1.0604209097080788,9.657162253903598,742.9823489477258,1473,368,0.011896493240078179,0.24983027834351662,0.34147997284453496
