brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-0.8185840707964602,9.646017699115044,706.2654867256637,226,49,0.0017843607882769075,0.2168141592920354,0.336283185840708
amber,-0.5903225806451613,9.519354838709678,723.0935483870968,930,246,0.007342723597776655,0.2645161290322581,0.36236559139784946
barley,0.4487905301080803,9.793618116314978,734.0030880082347,1943,631,0.01534076553815058,0.3247555326814205,0.43180648481729283
bea,-0.8990610328638498,9.566510172143975,708.5892018779343,1278,297,0.01009032339565437,0.2323943661971831,0.33098591549295775
belle,0.026540284360189573,9.634123222748816,725.3772511848341,1055,304,0.008329648812531582,0.2881516587677725,0.3962085308056872
bibi,-0.29283639883833495,9.828170377541142,738.4433688286545,2066,582,0.016311899949469428,0.28170377541142305,0.3765730880929332
bo,-0.44237485448195574,9.878928987194412,728.4330616996508,1718,464,0.013564300151591713,0.270081490104773,0.3719441210710128
brock,-0.3651474530831099,9.778016085790885,715.9227882037534,1865,502,0.014724924204143506,0.26916890080428957,0.37587131367292226
bull,-0.4015233949945593,9.685527747551687,732.9727965179543,919,217,0.007255874178878221,0.23612622415669204,0.367791077257889
buzz,1.2918499895244082,9.374188141630002,756.9629164047768,4773,1789,0.03768475240020212,0.3748166771422585,0.48501990362455477
byron,-0.007679180887372013,9.685153583617748,747.8506825938566,1172,348,0.009253410813542194,0.29692832764505117,0.39590443686006827
carl,0.6054469273743017,9.748603351955307,769.070530726257,1432,465,0.011306215260232441,0.32472067039106145,0.44553072625698326
colette,0.4561933534743202,9.729607250755286,737.1555891238671,662,193,0.0052267559373420916,0.29154078549848944,0.4244712990936556
colonel-ruffs,0.6051712089447938,9.856044723969251,760.9056603773585,1431,484,0.011298319858514401,0.3382250174703005,0.4381551362683438
colt,-0.43399286409341553,9.877392150502757,734.5202724618878,3083,902,0.024341523496715513,0.29257216996432045,0.37852740836847226
crow,-0.16024204392649036,9.81308830121022,743.1207978484985,4462,1229,0.03522928246589187,0.27543702375616314,0.3854773644105782
darryl,-0.05887939221272555,9.52326685660019,719.5906932573599,1053,287,0.008313858009095502,0.2725546058879392,0.3865147198480532
dynamike,0.20773815154668432,9.822533345946457,742.5179264024217,10571,3368,0.08346229156139465,0.3186075111153155,0.4157600983823668
edgar,-0.15799432355723747,9.549038158309681,732.9948491537896,9513,2739,0.07510895654370894,0.2879217912330495,0.38820561337117626
el-primo,-1.1074266922444505,9.575500137023843,762.3765415182241,3649,849,0.02881032086912582,0.23266648396821046,0.3368046040010962
emz,0.042223409941207914,9.509353287012292,732.1325494388028,1871,542,0.014772296614451744,0.2896846606092998,0.3874933190807055
frank,-0.7553648068669528,9.549356223175966,719.8304721030042,466,121,0.003679257200606367,0.259656652360515,0.3605150214592275
gale,0.5423111919927207,9.817106460418563,744.5377616014558,1099,361,0.008677046488125315,0.32848043676069155,0.4249317561419472
gene,0.9828005052958896,9.870858031289476,843.6847731027111,10291,3735,0.08125157908034361,0.36293848994266836,0.463900495578661
jacky,0.19843924191750278,9.683389074693423,750.7001114827202,897,267,0.007082175341081355,0.2976588628762542,0.411371237458194
