brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-0.9440559440559441,9.65034965034965,715.1748251748252,143,33,0.001349489458883038,0.23076923076923078,0.3356643356643357
amber,-0.46613545816733065,9.595617529880478,719.609561752988,502,122,0.00473736858992507,0.24302788844621515,0.350597609561753
barley,0.32886984467059455,9.782003213711837,728.5773968934119,1867,600,0.01761885887926316,0.32137118371719336,0.40707016604177826
bea,-1.221556886227545,9.591616766467066,712.0059880239521,835,205,0.007879886001170186,0.24550898203592814,0.3209580838323353
belle,0.1584,9.64,723.896,625,175,0.005898118264348942,0.28,0.3968
bibi,-0.34741442097596503,9.800436999271668,729.6788055353242,1373,377,0.012956986203121756,0.2745812090313183,0.3780043699927167
bo,-0.5574324324324325,9.79391891891892,717.3243243243244,888,229,0.008380046429986977,0.25788288288288286,0.35135135135135137
brock,-0.5171078114912847,9.81859264041317,727.0639122014203,1549,434,0.014617896306362418,0.2801807617817947,0.3750806972240155
bull,-0.2967032967032967,9.592032967032967,723.521978021978,728,184,0.0068701281543136474,0.25274725274725274,0.3873626373626374
buzz,1.13769123783032,9.302086230876217,753.1262865090404,3595,1270,0.033925976256535116,0.3532684283727399,0.4795549374130737
byron,-0.2932330827067669,9.702255639097745,721.6285714285714,665,168,0.006275597833267275,0.25263157894736843,0.37142857142857144
carl,0.5254582484725051,9.75763747454175,766.1140529531568,982,313,0.009267123416945059,0.31873727087576376,0.4195519348268839
colette,-1.1931540342298288,9.679706601466993,717.3863080684597,409,95,0.003859728592189948,0.23227383863080683,0.3251833740831296
colonel-ruffs,0.9880597014925373,9.814925373134328,760.1582089552239,1340,496,0.012645565558764131,0.3701492537313433,0.4626865671641791
colt,-0.17225106182161398,9.858895705521473,734.7961302501179,2119,593,0.019996980163448655,0.27984898537045777,0.3803680981595092
crow,-0.21035169210351692,9.790311877903118,742.2392169873922,3014,857,0.02844308551799634,0.2843397478433975,0.38752488387524886
darryl,-0.4293193717277487,9.447120418848167,729.709947643979,955,251,0.009012324707925184,0.2628272251308901,0.36963350785340315
dynamike,0.08871701546860783,9.770700636942674,747.3060964513194,10990,3473,0.1037125115603118,0.31601455868971795,0.40873521383075523
edgar,-0.23810706744503787,9.5251521550118,731.1330269531735,8051,2242,0.07597720023403733,0.2784747236368153,0.38082225810458326
el-primo,-1.407122905027933,9.486033519553073,747.9923184357542,2864,628,0.027027537134552592,0.21927374301675978,0.3159916201117318
emz,-0.625748502994012,9.5,722.7225548902196,1002,251,0.009455863201404223,0.250499001996008,0.35129740518962077
frank,-1.2660550458715596,9.434250764525993,709.2415902140673,327,78,0.0030858954759073664,0.23853211009174313,0.3241590214067278
gale,-0.09230769230769231,9.761538461538462,729.6953846153846,650,191,0.006134042994922899,0.29384615384615387,0.3830769230769231
gene,1.3454656988038034,9.861159390655352,857.0810755546468,9781,3666,0.09230319158975521,0.37480830180963093,0.4856354156016767
jacky,-0.4797687861271676,9.630057803468208,752.2562620423893,519,158,0.004897797406715362,0.3044315992292871,0.3737957610789981
jessie,-1.265494912118409,9.530064754856614,706.0962072155412,1081,260,0.01020138535001793,0.24051803885291398,0.32932469935245146
leon,0.28453142642077534,9.790365073391042,773.4540835528792,5314,1658,0.050148160730800445,0.3120060218291306,0.41004892736168613
lou,0.39154929577464787,9.571830985915494,733.0084507042253,355,109,0.003350131174150199,0.30704225352112674,0.4140845070422535
max,0.7621283255086072,9.784820031298905,800.3892801251956,2556,842,0.024120944453881434,0.32942097026604067,0.44561815336463223
mortis,-0.17349896480331262,9.890269151138716,739.4679089026915,2415,643,0.022790328973444313,0.2662525879917184,0.38881987577639754
mr-p,1.120869998339698,9.932591731695169,854.020919807405,6023,2191,0.056838986089877884,0.3637722065415906,0.46870330400132826
nani,-1.603225806451613,9.487096774193548,700.4741935483871,310,50,0.0029254666591170754,0.16129032258064516,0.2838709677419355
nita,-1.3487698986975398,9.790159189580319,701.8451519536903,691,148,0.006520959553064191,0.2141823444283647,0.32850940665701883
pam,-0.425,9.65,707.2791666666667,240,62,0.002264877413509994,0.25833333333333336,0.3625
penny,-0.30888575458392104,9.805359661495064,714.9449929478138,709,191,0.00669082535907744,0.2693935119887165,0.385049365303244
piper,-0.7654320987654321,9.703703703703704,716.9382716049382,324,78,0.0030575845082384916,0.24074074074074073,0.345679012345679
poco,-1.3160621761658031,9.808290155440414,700.9136442141623,579,132,0.00546401676009286,0.22797927461139897,0.31951640759930916
rico,-0.067062521830248,9.79846315054139,738.5413901501921,2863,833,0.027018100145329633,0.29095354523227385,0.3932937478169752
rosa,-1.228169014084507,9.416901408450704,718.8676056338028,355,75,0.003350131174150199,0.2112676056338028,0.30985915492957744
sandy,-0.0880056777856636,9.816891412349184,739.2732434350603,1409,422,0.013296717815148256,0.2995031937544358,0.38963804116394607
shelly,-1.644618159951894,9.684906794948887,726.1858087793145,1663,336,0.015693713077779666,0.20204449789536982,0.2988574864702345
spike,0.16820857863751051,9.806560134566864,728.4718250630782,1189,386,0.011220580186097428,0.3246425567703953,0.4163162321278385
sprout,0.7630208333333334,9.775669642857142,767.9899553571429,2688,918,0.02536662703131193,0.34151785714285715,0.4445684523809524
squeak,1.011400651465798,9.648208469055374,707.0342019543974,614,214,0.005794311382896401,0.3485342019543974,0.46579804560260585
stu,0.9017615176151762,9.57859078590786,775.3780487804878,1476,522,0.013928996093086461,0.35365853658536583,0.453929539295393
surge,0.2511340604188785,9.649068622719815,767.4776565968535,10361,3355,0.09777664533907102,0.3238104430074317,0.4189750024128945
tara,-0.6555160142348755,9.709608540925267,739.0014234875445,1405,367,0.013258969858256421,0.2612099644128114,0.3508896797153025
tick,0.38489144087565047,9.758119504755069,780.6762964292122,5573,1816,0.05259234093954665,0.3258568096178001,0.43082720258388657
