brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-0.28007208289532964,9.728487760925065,724.2046853881965,6659,1876,0.004021572393134519,0.28172398257996695,0.38053761826100013
amber,0.16553465167999037,9.636713349762577,750.6634609605097,16637,4990,0.010047589713857786,0.2999338823105127,0.40391897577688285
barley,0.09850374064837905,9.781603683099943,728.7481296758104,10426,3179,0.006296578130473119,0.30491079992326875,0.40360636869365046
bea,-0.2702532284100081,9.691459846650524,740.1467161016949,39648,11141,0.023944631662861905,0.28099778046811946,0.377774414850686
belle,0.7193080061463466,9.727176389551211,776.9409473851534,37746,12985,0.022795956082182846,0.3440099613204048,0.44309330790017487
bibi,-0.6969029256946995,9.790855673889093,726.937324029869,16338,4067,0.009867014530564917,0.24892887746358183,0.3570816501407761
bo,-0.030583619835059375,9.918985045664508,753.9663158338782,47411,14441,0.02863294319430856,0.304591761405581,0.3991900613781612
brock,0.15798699875830838,9.820879896769167,749.4930733084994,41073,12840,0.02480523245280284,0.31261412606822,0.41090253938110194
bull,-0.33811738293778065,9.686497754971136,726.0133899935856,12472,3357,0.007532219685714631,0.26916292495189226,0.38213598460551634
buzz,0.8717398070339247,9.39386865857454,755.057267351385,32130,10926,0.0194042830742472,0.3400560224089636,0.4599128540305011
byron,0.3101562964283592,9.71798300350627,756.849022404469,33654,10380,0.020324672971699823,0.3084328757354252,0.41760266238782906
carl,0.4557670052719558,9.755239809695254,757.1308345120226,15554,4832,0.009393533113502675,0.3106596373923107,0.4274141699884274
colette,-0.2648189539561913,9.711578006258382,727.4977201609298,11185,2984,0.006754961288062712,0.2667858739383102,0.3801519892713455
colonel-ruffs,0.2994436875567666,9.84014532243415,751.0796435059037,17616,5508,0.010638837554806681,0.3126702997275204,0.4181993642143506
colt,-0.2812155912794539,9.88420318578874,742.4303751009322,54492,15614,0.03290937420734138,0.28653747339058944,0.3809917052044337
crow,0.11127879945961078,9.831213563282743,762.8744933851003,82163,24667,0.04962073172204708,0.30022029380621446,0.40368535715589743
darryl,-0.47827211588204865,9.512071046732196,724.091826176927,11598,3026,0.007004384534550857,0.2609070529401621,0.3692878082428005
dynamike,-0.12317276960267372,9.752324091049207,736.0482826873468,61637,17976,0.03722445676462417,0.2916430066356247,0.3911773772247189
edgar,-0.6026134236105768,9.487715113744198,725.6642943243313,77982,20143,0.04709569880784143,0.2583031981739376,0.36059603498243187
el-primo,-1.345908853124904,9.545311874942302,753.8256762162661,32497,7111,0.019625925523305672,0.21882019878758038,0.32169123303689573
emz,-0.10669798782184033,9.57583531666306,742.8140512471796,32353,9627,0.019538959548743223,0.29756127716131425,0.3911538342657559
frank,-0.8463268365817092,9.530172413793103,724.7934782608696,5336,1350,0.0032225725018419876,0.2529985007496252,0.3549475262368816
gale,-0.004125054277029961,9.768996960486323,733.6676074685193,13818,4048,0.008345109975722,0.29295122304240845,0.39738022868721956
gene,1.0180624618092735,9.853796088148401,843.8737253407033,178381,64137,0.10772970491961686,0.3595506247862721,0.4648533195800001
jacky,0.6559659500793537,9.771894387534266,768.3342230558361,13862,4900,0.008371682912393858,0.35348434569326215,0.4516664262011254
jessie,-0.5335554306815445,9.693024002568837,723.7541944288351,24914,6858,0.015046321460062084,0.2752669181986032,0.36906959942201173
leon,0.1156063471928056,9.817569174661063,768.7065839100248,88291,26800,0.05332161708398256,0.3035416973417449,0.4041974833221959
lou,0.4099077221952404,9.633074307916464,732.8500485672656,8236,2574,0.0049739706006691545,0.31253035454103933,0.4272705196697426
max,0.5647419177295461,9.78987293306851,794.0505635454306,41789,13482,0.025237646604099478,0.3226207853741415,0.4322668644858695
mortis,-0.5542793250660704,9.88951006302094,724.7259266788643,29514,7329,0.017824401203029316,0.24832282984346413,0.36569085857559125
mr-p,1.2224674022066198,9.956889716769355,846.948579070545,104685,39348,0.06322245171576621,0.37587046854850265,0.47965802168409993
nani,0.1982876508710387,9.646768535584755,751.0036863071526,16819,5089,0.010157505042818664,0.3025744693501397,0.4106070515488436
nita,-0.6855327750505342,9.796708056598325,708.9153912792376,10389,2681,0.0062742327064536,0.2580614111079026,0.3564346905380691
pam,-0.18443841282150705,9.762698720434276,721.7210805221662,7737,2163,0.004672609341595101,0.2795657231485072,0.390849166343544
penny,-0.18642294006837368,9.815530593734739,723.9085327565757,14333,4198,0.008656134120858548,0.29289053233796136,0.3906369915579432
piper,-0.12004308725168467,9.83904907437561,747.2114030912599,39919,11521,0.02410829679554541,0.2886094341040607,0.3903654901174879
poco,-0.6468132687290347,9.83570629891912,704.1685426761088,13415,3597,0.008101726033022913,0.2681326872903466,0.35915020499440925
rico,-0.01579158024960885,9.804351781101044,742.729651057017,27483,8139,0.01659781860347139,0.296146708874577,0.393843466870429
rosa,0.048683838097933765,9.625436361920936,743.7960184923106,10599,3301,0.006401058086023843,0.31144447589395224,0.41022737994150393
sandy,0.2511207107343712,9.826799250142637,754.839840247779,24538,7840,0.014819243637593458,0.3195044420898199,0.4145814654821094
shelly,-1.1399098043393345,9.751358261425375,718.0012783636945,28161,6637,0.017007283400369607,0.23568055111679273,0.3297113028656653
spike,0.16654311039484287,9.832232070910557,745.045060435133,31025,9590,0.01873694000555616,0.30910556003223205,0.4090249798549557
sprout,0.5533007043094187,9.744956428315627,763.3788945923361,16754,5495,0.01011824956818978,0.32798137758147305,0.43655246508296525
squeak,0.6093264248704663,9.655001992825827,709.194101235552,12545,3834,0.007576306603374763,0.30561976883220404,0.4380231167795935
stu,0.16860009405862988,9.617063803103935,761.3319877723782,25516,7794,0.015409887548163448,0.3054554005329989,0.4057846057375764
surge,-0.15326960190296665,9.58770925900992,751.9261141779992,89124,26372,0.05382469108961119,0.2959023383151564,0.3900520622952291
tara,0.07843006596921437,9.7994713578108,772.6979631727417,45021,14128,0.02718954958872341,0.3138091113036139,0.40716554496790386
tick,-0.03405360727358602,9.725705514228363,780.4006376195537,42345,12629,0.02557343189477117,0.29824064234266146,0.3992206872121856
