brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,2.4634387351778657,9.993083003952568,885.2124505928854,1012,581,0.023074993729621268,0.5741106719367589,0.5741106719367589
amber,2.4385775862068964,9.956896551724139,870.6961206896551,928,531,0.02115967804455389,0.572198275862069,0.572198275862069
barley,0.5956521739130435,9.978260869565217,749.3652173913043,230,99,0.005244316756732106,0.43043478260869567,0.43043478260869567
bea,-0.004132231404958678,9.90702479338843,762.5351239669421,484,186,0.011035866566340606,0.384297520661157,0.384297520661157
belle,2.739884393063584,9.9383429672447,857.8391136801541,1038,618,0.02366782953690403,0.5953757225433526,0.5953757225433526
bibi,-0.9319727891156463,9.938775510204081,717.8911564625851,147,46,0.0033518024488679117,0.3129251700680272,0.3129251700680272
bo,-0.10204081632653061,9.95133437990581,752.3657770800628,637,240,0.014524477278427617,0.37676609105180536,0.37676609105180536
brock,0.5084745762711864,9.940677966101696,748.4802259887006,354,150,0.008071687529926808,0.423728813559322,0.423728813559322
bull,-0.48502994011976047,9.952095808383234,797.8862275449102,167,58,0.003807829992931573,0.3473053892215569,0.3473053892215569
buzz,3.0387755102040814,9.736734693877551,822.0928571428572,980,606,0.022345349659119412,0.6183673469387755,0.6183673469387755
byron,1.1540203850509627,9.913929784824463,802.8380520951303,883,418,0.020133616070410653,0.4733861834654587,0.4733861834654587
carl,2.334224598930481,9.985294117647058,835.4572192513369,748,422,0.017055430147980936,0.5641711229946524,0.5641711229946524
colette,0.6358381502890174,9.92485549132948,793.0751445086705,173,75,0.003944638256150671,0.43352601156069365,0.43352601156069365
colonel-ruffs,1.687361419068736,9.955654101995565,844.5254988913525,451,232,0.010283421118635566,0.5144124168514412,0.5144124168514412
colt,0.7777777777777778,9.970959595959595,782.5770202020202,792,352,0.01805869074492099,0.4444444444444444,0.4444444444444444
crow,1.595002357378595,9.969354078264969,844.1829325789722,2121,1076,0.0483617210479513,0.5073078736445074,0.5073078736445074
darryl,0.1377245508982036,9.922155688622755,752.9041916167664,167,66,0.003807829992931573,0.39520958083832336,0.39520958083832336
dynamike,0.01232394366197183,9.903169014084508,738.8292253521126,568,219,0.012951182251407985,0.3855633802816901,0.3855633802816901
edgar,-0.9301801801801802,9.835585585585585,716.9932432432432,444,139,0.010123811478213285,0.3130630630630631,0.3130630630630631
el-primo,-1.603225806451613,9.735483870967743,773.2838709677419,310,81,0.007068426932986752,0.26129032258064516,0.26129032258064516
emz,1.0373395565927654,9.92240373395566,845.5583430571762,1714,796,0.03908156052625578,0.4644107351225204,0.4644107351225204
frank,-1.0729166666666667,9.8125,755.0,96,29,0.002188932211505575,0.3020833333333333,0.3020833333333333
gale,1.129277566539924,9.939163498098859,833.8288973384031,263,124,0.005996762204437148,0.4714828897338403,0.4714828897338403
gene,1.430298882044262,9.959388546657541,878.5519050878394,4383,2168,0.0999384362815514,0.4946383755418663,0.4946383755418663
jacky,-0.32,9.98,724.74,50,18,0.0011400688601591537,0.36,0.36
jessie,0.374414976599064,9.892355694227769,774.7020280811232,1282,530,0.029231365574480698,0.41341653666146644,0.41341653666146644
leon,1.3142857142857143,9.983783783783784,834.6857142857143,1295,629,0.02952778347812208,0.4857142857142857,0.4857142857142857
lou,1.9720670391061452,9.932960893854748,764.9888268156425,179,96,0.00408144651936977,0.5363128491620112,0.5363128491620112
max,0.6341463414634146,9.962476547842401,836.2401500938087,533,231,0.012153134049296577,0.4333958724202627,0.4333958724202627
mortis,0.01568855316676351,9.984892504357932,772.4433468913422,1721,664,0.039241170166678066,0.38582219639744336,0.38582219639744336
mr-p,2.042997542997543,9.985257985257986,841.5675675675676,814,441,0.01856032104339102,0.5417690417690417,0.5417690417690417
nani,-0.5495495495495496,9.90990990990991,716.3783783783783,111,38,0.002530952869553321,0.34234234234234234,0.34234234234234234
nita,0.9722222222222222,9.946581196581196,812.9401709401709,468,215,0.010671044531089679,0.4594017094017094,0.4594017094017094
pam,1.6518046709129512,9.902335456475583,775.1231422505308,471,241,0.010739448662699227,0.5116772823779193,0.5116772823779193
penny,3.0492561983471074,9.989421487603305,868.1348760330578,3025,1873,0.06897416603962879,0.6191735537190083,0.6191735537190083
piper,0.7427912341407151,9.975778546712803,806.2168396770472,867,383,0.019768794035159725,0.4417531718569781,0.4417531718569781
poco,-0.1952,9.9232,708.3888,625,231,0.014250860751989421,0.3696,0.3696
rico,2.0840140023337224,9.97316219369895,842.6312718786464,857,467,0.01954078026312789,0.544924154025671,0.544924154025671
rosa,0.42718446601941745,9.87378640776699,741.0970873786408,103,43,0.0023485418519278564,0.4174757281553398,0.4174757281553398
sandy,2.4942528735632186,9.979074565281461,905.754494547598,3393,1956,0.07736507285040016,0.5764809902740937,0.5764809902740937
shelly,-1.4433962264150944,9.820754716981131,722.4433962264151,106,29,0.002416945983537406,0.27358490566037735,0.27358490566037735
spike,2.742138364779874,9.989356555394291,881.0996613449444,2067,1231,0.047130446678979414,0.5955491049830672,0.5955491049830672
sprout,0.46329113924050636,9.90886075949367,800.3544303797469,395,166,0.009006543995257313,0.42025316455696204,0.42025316455696204
squeak,1.3435448577680524,9.934354485776804,731.7921225382933,457,223,0.010420229381854664,0.487964989059081,0.487964989059081
stu,2.6016140865737345,9.968451944240647,865.2164343360234,1363,797,0.03107827712793853,0.5847395451210565,0.5847395451210565
surge,1.856164383561644,9.935420743639922,842.5919765166341,1022,539,0.023303007501653098,0.5273972602739726,0.5273972602739726
tara,1.7120308663626798,9.980708523325148,887.7839354612416,2851,1472,0.06500672640627495,0.516310066643283,0.516310066643283
tick,-1.220505617977528,9.814606741573034,712.4087078651686,712,207,0.01623458056866635,0.2907303370786517,0.2907303370786517
