brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,2.7606060606060607,9.981818181818182,849.7787878787879,330,197,0.019925129815239705,0.5969696969696969,0.5969696969696969
amber,3.1175115207373274,9.95852534562212,894.2718894009216,434,271,0.026204564666103127,0.6244239631336406,0.6244239631336406
barley,-1.5588235294117647,10.0,778.3529411764706,34,9,0.0020528921627822726,0.2647058823529412,0.2647058823529412
bea,0.5714285714285714,9.865546218487395,760.1428571428571,119,51,0.007185122569737954,0.42857142857142855,0.42857142857142855
belle,0.9382716049382716,9.907407407407407,789.1975308641976,162,74,0.009781427363844946,0.4567901234567901,0.4567901234567901
bibi,-1.127659574468085,9.879432624113475,725.2836879432624,141,42,0.008513464557420601,0.2978723404255319,0.2978723404255319
bo,-0.6666666666666666,9.909803921568628,736.4666666666667,255,85,0.015396691220867046,0.3333333333333333,0.3333333333333333
brock,-1.236842105263158,9.881578947368421,724.2105263157895,76,22,0.0045888177756309625,0.2894736842105263,0.2894736842105263
bull,0.2702702702702703,9.912162162162161,774.0608108108108,148,60,0.008936118826228715,0.40540540540540543,0.40540540540540543
buzz,2.5833333333333335,9.9,888.1125,240,140,0.014491003501992512,0.5833333333333334,0.5833333333333334
byron,1.6382978723404256,9.904255319148936,793.2765957446809,188,96,0.011351286076560801,0.5106382978723404,0.5106382978723404
carl,1.5,9.975409836065573,835.8770491803278,122,61,0.007366260113512861,0.5,0.5
colette,-1.0,9.826923076923077,719.4423076923077,52,16,0.0031397174254317113,0.3076923076923077,0.3076923076923077
colonel-ruffs,3.3161764705882355,9.948529411764707,786.0294117647059,136,87,0.00821156865112909,0.6397058823529411,0.6397058823529411
colt,-0.7822222222222223,9.96888888888889,740.5377777777778,225,73,0.01358531578311798,0.3244444444444444,0.3244444444444444
crow,0.9213250517598344,9.96687370600414,803.1552795031056,483,220,0.029163144547759933,0.4554865424430642,0.4554865424430642
darryl,-2.364864864864865,9.891891891891891,701.2837837837837,74,15,0.004468059413114358,0.20270270270270271,0.20270270270270271
dynamike,-0.22566371681415928,9.867256637168142,718.9557522123894,226,83,0.013645694964376284,0.3672566371681416,0.3672566371681416
edgar,-0.2898550724637681,9.78743961352657,731.096618357488,207,75,0.012498490520468543,0.36231884057971014,0.36231884057971014
el-primo,-0.7969924812030075,9.887218045112782,745.1428571428571,266,86,0.016060862214708368,0.3233082706766917,0.3233082706766917
emz,2.4796854521625162,9.929882044560944,928.0982961992137,1526,878,0.09213863060016907,0.5753604193971167,0.5753604193971167
frank,3.7904761904761903,9.961904761904762,922.6809523809524,210,142,0.01267962806424345,0.6761904761904762,0.6761904761904762
gale,3.357142857142857,9.918367346938776,811.8571428571429,98,63,0.005917159763313609,0.6428571428571429,0.6428571428571429
gene,2.446371519853948,9.978092195344592,940.1172980374258,2191,1255,0.13229078613693998,0.5727978092195345,0.5727978092195345
