brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,2.3139963167587476,9.992633517495396,884.3876611418048,1086,611,0.030362335048087677,0.5626151012891344,0.5626151012891344
amber,1.1304347826086956,9.919732441471572,827.5886287625418,299,141,0.008359427421158578,0.47157190635451507,0.47157190635451507
barley,1.1666666666666667,9.83974358974359,787.2435897435897,156,74,0.004361440393647953,0.47435897435897434,0.47435897435897434
bea,-0.04316546762589928,9.924460431654676,779.7140287769785,556,212,0.015544620890181167,0.381294964028777,0.381294964028777
belle,2.8173333333333335,9.930666666666667,857.1573333333333,750,451,0.020968463430999777,0.6013333333333334,0.6013333333333334
bibi,-0.07142857142857142,9.961538461538462,772.4835164835165,182,69,0.005088347125922613,0.3791208791208791,0.3791208791208791
bo,-0.655440414507772,9.909326424870466,719.9145077720207,386,129,0.010791769179154552,0.33419689119170987,0.33419689119170987
brock,-0.6501901140684411,9.94296577946768,756.041825095057,263,88,0.007352941176470588,0.33460076045627374,0.33460076045627374
bull,0.8773946360153256,9.957854406130268,799.3065134099617,261,118,0.007297025273987922,0.4521072796934866,0.4521072796934866
buzz,2.5302593659942363,9.860230547550433,808.4178674351585,694,402,0.019402818161485126,0.579250720461095,0.579250720461095
byron,2.36734693877551,9.924646781789638,842.0784929356358,637,361,0.017809214940729144,0.5667189952904239,0.5667189952904239
carl,2.3026634382566584,9.955205811138015,853.9818401937046,826,464,0.023093267725341086,0.5617433414043583,0.5617433414043583
colette,-0.6971830985915493,9.95774647887324,741.4295774647887,142,47,0.003970029076269291,0.33098591549295775,0.33098591549295775
colonel-ruffs,3.7439222042139386,9.991896272285251,886.2463533225283,617,415,0.017250055915902483,0.6726094003241491,0.6726094003241491
colt,0.3695652173913043,9.984782608695653,778.4065217391304,920,380,0.025721315142026392,0.41304347826086957,0.41304347826086957
crow,-0.4672036823935558,9.94246260069045,746.7088607594936,869,303,0.02429545962871841,0.3486766398158803,0.3486766398158803
darryl,-0.328125,9.890625,725.796875,128,46,0.0035786177588906284,0.359375,0.359375
dynamike,-0.650375939849624,9.845864661654135,709.5676691729324,266,89,0.0074368150301945875,0.33458646616541354,0.33458646616541354
edgar,-1.0506329113924051,9.789029535864978,726.5443037974684,237,72,0.0066260344441959294,0.3037974683544304,0.3037974683544304
el-primo,-1.2857142857142858,9.800664451827242,789.7209302325581,301,86,0.008415343323641243,0.2857142857142857,0.2857142857142857
emz,0.9518072289156626,9.893975903614457,833.7265060240964,1660,760,0.04641019906061284,0.4578313253012048,0.4578313253012048
frank,0.2,9.833333333333334,823.3111111111111,90,36,0.0025162156117199733,0.4,0.4
gale,1.3194444444444444,9.965277777777779,738.6458333333334,144,70,0.004025944978751957,0.4861111111111111,0.4861111111111111
gene,1.7580645161290323,9.961290322580645,879.6769230769231,4030,2095,0.11267054350257213,0.5198511166253101,0.5198511166253101
