brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,3.2096354166666665,9.99609375,900.6959635416666,1536,970,0.04253198205682007,0.6315104166666666,0.6315104166666666
amber,0.4494949494949495,9.868686868686869,769.560606060606,198,83,0.005482638312011962,0.41919191919191917,0.41919191919191917
barley,1.8391304347826087,9.991304347826087,835.6086956521739,460,242,0.012737442543058093,0.5260869565217391,0.5260869565217391
bea,-0.1111111111111111,9.777777777777779,749.5726495726495,351,132,0.009719222462203024,0.37606837606837606,0.37606837606837606
belle,2.265142857142857,9.952,849.2114285714285,875,489,0.024228830924295286,0.5588571428571428,0.5588571428571428
bibi,-0.18303571428571427,9.919642857142858,746.1473214285714,224,83,0.006202580716619594,0.3705357142857143,0.3705357142857143
bo,-0.5843881856540084,9.930379746835444,709.3080168776371,474,161,0.013125103837846819,0.339662447257384,0.339662447257384
brock,-0.9957805907172996,9.915611814345992,716.409282700422,237,73,0.006562551918923409,0.3080168776371308,0.3080168776371308
bull,-1.6153846153846154,9.970414201183432,779.1420118343195,169,44,0.004679625629949604,0.2603550295857988,0.2603550295857988
buzz,2.5818431911966986,9.742778541953232,797.5419532324622,727,424,0.02013069723652877,0.5832187070151307,0.5832187070151307
byron,2.5496296296296297,9.927407407407408,826.2992592592593,675,392,0.01869081242731351,0.5807407407407408,0.5807407407407408
carl,2.1717325227963524,9.916413373860182,869.8784194528876,658,363,0.018220080855070056,0.5516717325227963,0.5516717325227963
colette,1.1657142857142857,9.977142857142857,816.3714285714286,175,83,0.004845766184859057,0.4742857142857143,0.4742857142857143
colonel-ruffs,2.8082408874801903,9.958795562599049,865.8034865293185,631,379,0.017472448357977517,0.6006339144215531,0.6006339144215531
colt,1.154485049833887,9.971760797342192,786.4518272425249,602,285,0.016669435675915157,0.473421926910299,0.473421926910299
crow,0.37971274685816875,9.950628366247756,808.254039497307,1114,461,0.030846763028188513,0.4138240574506284,0.4138240574506284
darryl,-1.6777777777777778,9.922222222222222,716.7,90,23,0.002492108323641801,0.25555555555555554,0.25555555555555554
dynamike,-0.43594009983361065,9.855241264559067,748.8269550748752,601,211,0.016641745583430248,0.35108153078202997,0.35108153078202997
edgar,-0.7798507462686567,9.794776119402986,738.5298507462686,268,87,0.007420944785955585,0.3246268656716418,0.3246268656716418
el-primo,-0.7,9.830769230769231,772.4435897435898,390,129,0.01079913606911447,0.33076923076923076,0.33076923076923076
emz,1.2315978456014363,9.896768402154398,823.3734290843806,1114,534,0.030846763028188513,0.4793536804308797,0.4793536804308797
frank,-2.648936170212766,9.861702127659575,760.436170212766,94,17,0.0026028686935814366,0.18085106382978725,0.18085106382978725
gale,1.2796610169491525,9.957627118644067,768.5508474576271,118,57,0.00326743091321925,0.4830508474576271,0.4830508474576271
gene,1.6599466350429883,9.946931514971835,877.0616661725467,3373,1728,0.09339868195159771,0.5123035873109991,0.5123035873109991
jacky,2.781021897810219,9.956204379562044,851.3430656934306,137,82,0.0037935426704325194,0.5985401459854015,0.5985401459854015
jessie,-0.4895027624309392,9.858563535911602,750.1546961325967,905,314,0.025059533698842555,0.3469613259668508,0.3469613259668508
leon,1.5269151138716357,9.96687370600414,820.4192546583851,966,485,0.026748629340421996,0.5020703933747412,0.5020703933747412
lou,0.3,9.938461538461539,743.7538461538461,130,53,0.003599712023038157,0.4076923076923077,0.4076923076923077
max,-0.35195530726256985,9.958100558659218,807.7821229050279,358,128,0.009913053109597387,0.3575418994413408,0.3575418994413408
mortis,0.2772875058058523,9.987923827217836,783.8894565722248,2153,874,0.059616769120008864,0.40594519275429636,0.40594519275429636
mr-p,1.587248322147651,9.983221476510067,836.2013422818792,596,302,0.016503295121005703,0.5067114093959731,0.5067114093959731
nani,4.5092592592592595,9.916666666666666,956.3148148148148,108,79,0.0029905299883701613,0.7314814814814815,0.7314814814814815
nita,2.641891891891892,9.966216216216216,871.1013513513514,740,435,0.020490668438832585,0.5878378378378378,0.5878378378378378
pam,0.33448275862068966,9.948275862068966,750.9379310344827,290,119,0.008030126820623582,0.4103448275862069,0.4103448275862069
penny,1.7878976918278229,9.981285090455396,813.9170305676856,1603,837,0.04438721825330896,0.5221459762944479,0.5221459762944479
piper,1.8100242522231205,9.983831851253031,851.2603071948262,1237,648,0.03425264440383231,0.5238480194017785,0.5238480194017785
poco,-0.5023696682464455,9.916271721958926,721.042654028436,633,219,0.017527828542947335,0.3459715639810427,0.3459715639810427
rico,2.06992230854606,9.990011098779135,891.0566037735849,901,490,0.02494877332890292,0.5438401775804661,0.5438401775804661
rosa,0.9,9.846153846153847,757.3692307692307,130,59,0.003599712023038157,0.45384615384615384,0.45384615384615384
sandy,2.5670980926430516,9.979564032697548,894.7946185286104,2936,1709,0.08129811153569252,0.5820844686648501,0.5820844686648501
shelly,-1.9272727272727272,9.909090909090908,751.1727272727272,110,26,0.003045910173339979,0.23636363636363636,0.23636363636363636
spike,2.2168525402726145,9.980173482032217,874.3928128872367,807,448,0.022345904635321483,0.5551425030978935,0.5551425030978935
sprout,1.5961945031712474,9.961945031712473,820.5095137420719,473,240,0.01309741374536191,0.507399577167019,0.507399577167019
squeak,1.9148936170212767,9.897872340425533,711.2382978723405,235,125,0.0065071717339535914,0.5319148936170213,0.5319148936170213
stu,3.384557153671461,9.974261922785768,889.1423164269493,1321,852,0.036578612172564653,0.6449659348978047,0.6449659348978047
surge,1.8603960396039605,9.96039603960396,843.7326732673267,1010,533,0.027966993409757987,0.5277227722772277,0.5277227722772277
tara,2.6600566572237963,9.980574666127074,917.6171590449211,2471,1456,0.0684222185302099,0.5892351274787535,0.5892351274787535
tick,-1.5028169014084507,9.804225352112676,705.5422535211268,710,191,0.01965996566428532,0.26901408450704223,0.26901408450704223
