brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,2.9886621315192743,9.984126984126984,856.4278155706727,1323,813,0.03061720395269723,0.6145124716553289,0.6145124716553289
amber,0.21287128712871287,9.821782178217822,750.4158415841584,202,81,0.00467473559973155,0.400990099009901,0.400990099009901
barley,2.9024716098864394,9.976285905143621,871.3370073480294,2994,1820,0.06928791279998149,0.6078824315297261,0.6078824315297261
bea,1.0142348754448398,9.9288256227758,782.0729537366548,562,260,0.013005947559649164,0.4626334519572954,0.4626334519572954
belle,2.8387698042870455,9.93569431500466,852.2096924510718,1073,647,0.02483164009164333,0.6029822926374651,0.6029822926374651
bibi,1.2705882352941176,9.967647058823529,775.7382352941177,340,164,0.007868366851033301,0.4823529411764706,0.4823529411764706
bo,0.3851132686084142,9.978964401294498,733.7443365695793,618,256,0.014301913864525237,0.41423948220064727,0.41423948220064727
brock,0.3828125,9.979166666666666,769.8046875,384,159,0.008886626090578787,0.4140625,0.4140625
bull,0.8709677419354839,9.958064516129033,788.6032258064516,310,140,0.007174099187706834,0.45161290322580644,0.45161290322580644
buzz,2.740740740740741,9.934472934472934,807.988603988604,351,209,0.008122931660919673,0.5954415954415955,0.5954415954415955
byron,1.4461325966850829,9.925414364640885,775.9309392265193,724,359,0.01675499294161209,0.4958563535911602,0.4958563535911602
carl,2.416204217536071,9.996670366259712,862.4583795782464,901,514,0.02085117215523825,0.5704772475027747,0.5704772475027747
colette,-0.4013605442176871,9.959183673469388,748.5170068027211,147,52,0.003401911550299692,0.35374149659863946,0.35374149659863946
colonel-ruffs,3.4232209737827715,9.985018726591761,858.1510611735331,801,519,0.01853694661081669,0.6479400749063671,0.6479400749063671
colt,0.38031319910514544,9.988814317673379,785.7729306487696,894,370,0.02068917636712874,0.41387024608501116,0.41387024608501116
crow,-0.12030798845043311,9.946102021174205,755.0327237728585,1039,390,0.024044803406540003,0.3753609239653513,0.3753609239653513
darryl,-0.125,9.890625,717.1354166666666,192,72,0.004443313045289394,0.375,0.375
dynamike,1.3683241252302025,9.935543278084715,805.6399631675874,1086,532,0.025132489412418135,0.48987108655616945,0.48987108655616945
edgar,0.30749354005167956,9.901808785529715,760.4031007751938,387,158,0.008956052856911435,0.4082687338501292,0.4082687338501292
el-primo,1.1253132832080202,9.922305764411028,781.3859649122807,399,188,0.009233759922242022,0.47117794486215536,0.47117794486215536
emz,1.3397260273972602,9.898630136986302,817.2118721461187,1095,534,0.025340769711416074,0.4876712328767123,0.4876712328767123
frank,1.5,9.816666666666666,765.9333333333333,120,60,0.002777070653305871,0.5,0.5
gale,-0.3258426966292135,9.9438202247191,740.6573033707865,178,64,0.004119321469070376,0.3595505617977528,0.3595505617977528
gene,1.4838869608329202,9.971988101140308,867.1080813088746,4034,2012,0.0933558584619657,0.49876053544868615,0.49876053544868615
jacky,3.9403508771929823,9.996491228070175,902.4035087719299,285,196,0.006595542801601444,0.6877192982456141,0.6877192982456141
jessie,1.1747772446881426,9.931459904043866,806.3200822481151,1459,693,0.03376455069311055,0.47498286497601094,0.47498286497601094
leon,0.826133909287257,9.951403887688985,784.8930885529157,926,415,0.02142972854134364,0.4481641468682505,0.4481641468682505
lou,-0.4161849710982659,9.953757225433526,753.6994219653179,173,61,0.004003610191849298,0.35260115606936415,0.35260115606936415
max,0.7744874715261959,9.972665148063781,787.5740318906606,439,195,0.010159450140010646,0.44419134396355353,0.44419134396355353
mortis,0.7732793522267206,9.992214263469323,781.4416069760199,3211,1426,0.07430978223137627,0.44409841170974773,0.44409841170974773
mr-p,1.9804741980474199,9.99023709902371,813.9539748953974,717,385,0.01659299715350258,0.5369595536959554,0.5369595536959554
nani,-1.8571428571428572,9.923076923076923,738.0,91,22,0.002105945245423619,0.24175824175824176,0.24175824175824176
nita,1.7979942693409743,9.962750716332378,817.6948424068768,698,365,0.016153294300062484,0.5229226361031518,0.5229226361031518
pam,-0.0664819944598338,9.914127423822714,736.4016620498614,361,137,0.008354354215361829,0.37950138504155123,0.37950138504155123
penny,2.2531409958120054,9.990228013029316,835.3932061423918,2149,1199,0.04973270694961931,0.5579339227547696,0.5579339227547696
piper,0.13071065989847716,9.98223350253807,787.3654822335026,788,311,0.018236097290041886,0.3946700507614213,0.3946700507614213
poco,-0.04353562005277045,9.944591029023746,730.0620052770448,758,289,0.01754182962671542,0.3812664907651715,0.3812664907651715
rico,1.730617608409987,9.973718791064389,822.3048620236531,761,394,0.017611256393048065,0.5177398160315374,0.5177398160315374
rosa,0.26046511627906976,9.87906976744186,780.7720930232558,215,87,0.0049755849205063525,0.4046511627906977,0.4046511627906977
sandy,1.9980601357904946,9.953443258971872,852.8341416100873,2062,1110,0.04771933072597255,0.5383123181377304,0.5383123181377304
shelly,-0.08108108108108109,9.954954954954955,738.3783783783783,111,42,0.0025687903543079307,0.3783783783783784,0.3783783783783784
