brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,1.3995584988962473,9.97130242825607,840.6379690949227,453,223,0.011048511011926538,0.4922737306843267,0.4922737306843267
amber,2.451219512195122,9.965737514518002,862.109756097561,1722,987,0.041998975634740615,0.573170731707317,0.573170731707317
barley,0.022727272727272728,9.977272727272727,713.25,44,17,0.0010731445574498183,0.38636363636363635,0.38636363636363635
bea,-0.9655172413793104,9.876847290640393,737.7931034482758,203,63,0.004951098753688934,0.3103448275862069,0.3103448275862069
belle,2.708235294117647,9.929411764705883,829.9811764705883,425,252,0.010365600839003926,0.5929411764705882,0.5929411764705882
bibi,0.23696682464454977,9.943127962085308,733.5924170616114,211,85,0.005146215945952538,0.4028436018957346,0.4028436018957346
bo,0.5996955859969558,9.954337899543379,739.58599695586,657,283,0.016023999414648424,0.4307458143074581,0.4307458143074581
brock,0.525,9.975,800.8625,240,102,0.0058535157679081,0.425,0.425
bull,0.07664233576642336,9.857664233576642,755.3759124087592,274,107,0.006682763835028414,0.3905109489051095,0.3905109489051095
buzz,2.227703984819734,9.76280834914611,751.0132827324478,527,293,0.01285334504036487,0.5559772296015181,0.5559772296015181
byron,1.127388535031847,9.939490445859873,839.7898089171974,314,148,0.007658349796346431,0.4713375796178344,0.4713375796178344
carl,1.827893175074184,9.98219584569733,817.1424332344213,337,177,0.00821931172410429,0.5252225519287834,0.5252225519287834
colette,1.0987654320987654,9.833333333333334,741.7098765432099,162,76,0.003951123143337967,0.4691358024691358,0.4691358024691358
colonel-ruffs,0.8346456692913385,9.960629921259843,770.5275590551181,127,57,0.0030974854271847026,0.44881889763779526,0.44881889763779526
colt,-0.10460251046025104,9.97071129707113,756.9058577405858,478,180,0.0116582522377503,0.37656903765690375,0.37656903765690375
crow,1.3706293706293706,9.974179666487359,827.2517482517483,1859,911,0.04534035755225482,0.4900484131253362,0.4900484131253362
darryl,0.680672268907563,9.915966386554622,709.0756302521008,119,52,0.0029023682349210993,0.4369747899159664,0.4369747899159664
dynamike,-1.0347490347490347,9.888030888030888,716.7413127413128,259,79,0.006316919099534158,0.305019305019305,0.305019305019305
edgar,-0.572972972972973,9.78918918918919,702.8162162162162,185,63,0.004512085071095827,0.34054054054054056,0.34054054054054056
el-primo,-0.6272727272727273,9.847272727272728,778.6109090909091,550,185,0.013414306968122729,0.33636363636363636,0.33636363636363636
emz,2.061039580352885,9.943013829279923,861.6375774916547,4194,2278,0.10229018804419404,0.5431568907963757,0.5431568907963757
frank,0.23076923076923078,9.810650887573965,774.792899408284,169,68,0.00412185068656862,0.40236686390532544,0.40236686390532544
gale,-1.326086956521739,9.923913043478262,737.1086956521739,92,26,0.0022438477110314384,0.2826086956521739,0.2826086956521739
gene,2.105189775367932,9.967621998450813,890.2238574748258,6455,3528,0.15743518450769495,0.5465530596436871,0.5465530596436871
jacky,0.17592592592592593,9.935185185185185,736.1203703703703,108,43,0.002634082095558645,0.39814814814814814,0.39814814814814814
jessie,1.5289317507418398,9.949554896142434,822.2841246290801,1348,677,0.03287724689641716,0.5022255192878339,0.5022255192878339
leon,0.003683241252302026,9.939226519337016,782.2154696132596,543,209,0.013243579424892076,0.3848987108655617,0.3848987108655617
lou,1.6077348066298343,9.955801104972375,790.1325966850828,181,92,0.004414526474964025,0.5082872928176796,0.5082872928176796
max,0.9251700680272109,9.9421768707483,808.8197278911565,294,134,0.007170556815687422,0.4557823129251701,0.4557823129251701
mortis,-0.07177700348432056,9.977003484320557,746.4592334494773,1435,544,0.034999146362283844,0.3790940766550523,0.3790940766550523
mr-p,2.868798235942668,9.996692392502757,843.9404630650496,907,549,0.02212141167288603,0.6052921719955898,0.6052921719955898
nani,-1.5789473684210527,9.921052631578947,702.0263157894736,38,10,0.0009268066632521158,0.2631578947368421,0.2631578947368421
nita,0.1476510067114094,9.922818791946309,728.5604026845638,298,118,0.007268115411819224,0.3959731543624161,0.3959731543624161
pam,2.483451536643026,9.988179669030734,837.306146572104,846,487,0.02063364308187605,0.5756501182033097,0.5756501182033097
penny,0.9715447154471545,9.959349593495935,783.3333333333334,492,226,0.011999707324211604,0.45934959349593496,0.45934959349593496
piper,0.7448132780082988,9.989626556016598,823.6369294605809,482,213,0.0117558108338821,0.44190871369294604,0.44190871369294604
poco,-0.3270868824531516,9.964224872231686,716.320272572402,587,211,0.014316723982341894,0.3594548551959114,0.3594548551959114
rico,0.9943074003795066,9.960151802656547,839.9278937381404,527,243,0.01285334504036487,0.46110056925996207,0.46110056925996207
rosa,1.3862310385064178,9.905484247374563,788.5029171528588,857,421,0.020901929221238506,0.4912485414235706,0.4912485414235706
sandy,2.270236995998769,9.994767620806401,877.7411511234226,3249,1817,0.0792419697080559,0.559248999692213,0.559248999692213
shelly,-0.9655172413793104,9.891625615763546,704.9802955665025,203,63,0.004951098753688934,0.3103448275862069,0.3103448275862069
spike,1.780766096169519,9.983700081499592,833.2673186634066,1227,640,0.02992609936343016,0.5215973920130399,0.5215973920130399
sprout,2.292682926829268,9.959349593495935,829.1666666666666,246,138,0.005999853662105802,0.5609756097560976,0.5609756097560976
