brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,2.6280068728522337,9.978522336769759,868.8453608247422,1164,683,0.025537516454585345,0.5867697594501718,0.5867697594501718
amber,0.0642570281124498,9.819277108433734,766.4979919678715,249,97,0.005462922334357174,0.3895582329317269,0.3895582329317269
barley,1.2305699481865284,9.981865284974093,812.279792746114,386,185,0.008468626590609917,0.4792746113989637,0.4792746113989637
bea,0.049403747870528106,9.925042589437819,789.3356047700171,587,228,0.012878455462922335,0.38841567291311757,0.38841567291311757
belle,2.2871559633027525,9.936697247706421,839.9788990825688,1090,611,0.023913997367266345,0.5605504587155963,0.5605504587155963
bibi,1.7119565217391304,9.969202898550725,796.1847826086956,552,285,0.012110574813514699,0.5163043478260869,0.5163043478260869
bo,0.3181818181818182,9.947860962566844,758.2620320855615,748,306,0.016410706450197456,0.4090909090909091,0.4090909090909091
brock,-1.0380952380952382,9.926984126984127,728.047619047619,315,96,0.006910925844668714,0.3047619047619048,0.3047619047619048
bull,1.070615034168565,9.931662870159453,814.9179954441913,439,205,0.009631417288284335,0.46697038724373574,0.46697038724373574
buzz,3.0074211502782933,9.873840445269016,820.6270871985158,539,332,0.011825362000877578,0.6159554730983302,0.6159554730983302
byron,2.140845070422535,9.905742145178765,820.807150595883,923,507,0.02025010969723563,0.5492957746478874,0.5492957746478874
carl,1.941509433962264,9.981132075471699,826.5056603773585,530,283,0.011627906976744186,0.5339622641509434,0.5339622641509434
colette,0.7396226415094339,9.913207547169812,766.4188679245283,265,117,0.005813953488372093,0.44150943396226416,0.44150943396226416
colonel-ruffs,3.2068345323741005,9.908273381294965,849.6241007194244,556,351,0.012198332602018429,0.6312949640287769,0.6312949640287769
colt,-0.28594249201277955,9.961661341853036,756.4856230031949,626,227,0.013734093900833699,0.36261980830670926,0.36261980830670926
crow,-0.005385996409335727,9.922800718132855,756.3994614003591,1114,428,0.024440544098288722,0.38420107719928187,0.38420107719928187
darryl,0.16593886462882096,9.882096069868995,745.7467248908297,229,91,0.005024133391838525,0.39737991266375544,0.39737991266375544
dynamike,1.2570781426953568,9.92638731596829,802.5764439411098,883,425,0.01937253181219833,0.4813137032842582,0.4813137032842582
edgar,-0.7640449438202247,9.831460674157304,731.9752808988763,445,145,0.00976305397103993,0.3258426966292135,0.3258426966292135
el-primo,1.4154013015184381,9.90997830802603,844.1041214750543,922,455,0.020228170250109697,0.49349240780911063,0.49349240780911063
emz,1.9884393063583814,9.934874759152216,860.5452793834297,2595,1395,0.05693286529179465,0.5375722543352601,0.5375722543352601
frank,2.930817610062893,9.855345911949685,835.2672955974842,318,194,0.0069767441860465115,0.610062893081761,0.610062893081761
gale,0.991304347826087,9.9,748.7434782608696,230,106,0.005046072838964458,0.4608695652173913,0.4608695652173913
gene,2.1062344139650873,9.946384039900249,880.9618453865337,4010,2192,0.08797718297498903,0.5466334164588529,0.5466334164588529
jacky,1.3555555555555556,9.962962962962964,791.925925925926,270,132,0.005923650724001755,0.4888888888888889,0.4888888888888889
jessie,1.2065462753950338,9.895033860045146,792.5981941309255,1772,846,0.03887670030715226,0.47742663656884876,0.47742663656884876
leon,0.8280075187969925,9.952067669172932,792.6616541353384,1064,477,0.0233435717419921,0.4483082706766917,0.4483082706766917
lou,0.42783505154639173,9.881443298969073,764.7113402061856,194,81,0.0042562527424308905,0.4175257731958763,0.4175257731958763
max,-0.4861111111111111,9.930555555555555,791.5833333333334,360,125,0.007898200965335674,0.3472222222222222,0.3472222222222222
mortis,-0.07025986525505294,9.987969201154957,757.5341674687199,2078,788,0.04559017112768758,0.37921077959576516,0.37921077959576516
mr-p,1.1264367816091954,9.9376026272578,773.080459770115,609,287,0.013361123299692848,0.47126436781609193,0.47126436781609193
nani,0.2672413793103448,9.887931034482758,719.0603448275862,116,47,0.0025449758666081616,0.4051724137931034,0.4051724137931034
nita,2.6766101694915254,9.95593220338983,844.8976271186441,1475,871,0.03236068451075033,0.5905084745762712,0.5905084745762712
pam,1.2040472175379426,9.949409780775717,769.6306913996627,593,283,0.013010092145677929,0.4772344013490725,0.4772344013490725
penny,2.0306122448979593,9.97278911564626,806.281462585034,1176,636,0.025800789820096533,0.5408163265306123,0.5408163265306123
piper,1.3306188925081432,9.989413680781759,806.4592833876221,1228,598,0.02694164107064502,0.48697068403908794,0.48697068403908794
poco,-0.3372591006423983,9.937901498929337,712.4785867237688,934,335,0.020491443615620886,0.35867237687366166,0.35867237687366166
rico,1.5570175438596492,9.973684210526315,830.1502192982456,912,460,0.020008775778850373,0.5043859649122807,0.5043859649122807
rosa,2.3846153846153846,9.915976331360946,826.5349112426036,845,480,0.0185388328214129,0.5680473372781065,0.5680473372781065
sandy,2.22260916153228,9.981784087864987,842.2137690865255,3733,2074,0.08189995612110575,0.5555853201178677,0.5555853201178677
shelly,-0.8780487804878049,9.946341463414635,726.990243902439,205,65,0.004497586660816147,0.3170731707317073,0.3170731707317073
spike,1.66403785488959,9.968454258675079,799.0362776025237,634,325,0.013909609477841159,0.5126182965299685,0.5126182965299685
sprout,0.7777777777777778,9.944444444444445,824.1018518518518,216,96,0.0047389205792014045,0.4444444444444444,0.4444444444444444
squeak,1.9439024390243902,9.94390243902439,700.6634146341463,410,219,0.008995173321632294,0.5341463414634147,0.5341463414634147
stu,2.3016085790884717,9.92627345844504,867.7855227882037,746,419,0.01636682755594559,0.561662198391421,0.561662198391421
surge,1.1344743276283618,9.902200488997556,794.0892420537897,818,386,0.017946467749012724,0.4718826405867971,0.4718826405867971
tara,2.5197704081632653,9.972151360544217,885.3645833333334,4704,2721,0.10320315928038613,0.5784438775510204,0.5784438775510204
tick,-1.2328589909443726,9.858990944372575,714.5109961190168,773,224,0.016959192628345766,0.2897800776196636,0.2897800776196636
