brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,2.604066985645933,9.96232057416268,856.88995215311,1672,978,0.04363940074124341,0.5849282296650717,0.5849282296650717
amber,2.459016393442623,9.934426229508198,851.5795564127291,1037,595,0.027065824502792712,0.5737704918032787,0.5737704918032787
barley,2.3297872340425534,9.851063829787234,780.0744680851063,188,106,0.004906822571383828,0.5638297872340425,0.5638297872340425
bea,1.5108153078202995,9.906821963394343,790.7537437603993,601,301,0.01568617215639192,0.5008319467554077,0.5008319467554077
belle,2.1892138939670933,9.93053016453382,832.7230347349177,1094,605,0.028553531346244193,0.553016453382084,0.553016453382084
bibi,0.2787878787878788,9.933333333333334,742.2424242424242,165,67,0.004306519809991126,0.40606060606060607,0.40606060606060607
bo,0.681360201511335,9.95088161209068,749.528967254408,794,347,0.02072349532807851,0.43702770780856426,0.43702770780856426
brock,1.785007072135785,9.954738330975955,795.2715700141442,707,369,0.01845278488281046,0.521923620933522,0.521923620933522
bull,0.9022988505747126,9.96551724137931,760.580459770115,174,79,0.004541420890536096,0.4540229885057471,0.4540229885057471
buzz,3.1197411003236244,9.883495145631068,815.9368932038835,618,386,0.016129874197421307,0.6245954692556634,0.6245954692556634
byron,0.7142857142857143,9.93956043956044,787.8695054945055,728,320,0.01900088740408206,0.43956043956043955,0.43956043956043955
carl,0.5325581395348837,9.93720930232558,787.2372093023256,430,183,0.01122305162603748,0.4255813953488372,0.4255813953488372
colette,0.27165354330708663,9.952755905511811,767.3582677165355,254,103,0.006629430495380279,0.40551181102362205,0.40551181102362205
colonel-ruffs,2.4447674418604652,9.953488372093023,790.3197674418604,344,197,0.008978441300829984,0.5726744186046512,0.5726744186046512
colt,0.8478500551267916,9.982359426681366,782.0363836824697,907,408,0.023672808894920915,0.4498346196251378,0.4498346196251378
crow,2.007416081186573,9.975409836065573,843.9223263075722,2562,1381,0.06686850759513494,0.539032006245121,0.539032006245121
darryl,0.3467741935483871,9.846774193548388,725.8709677419355,124,51,0.0032364148875084825,0.4112903225806452,0.4112903225806452
dynamike,0.08564814814814815,9.88888888888889,700.1782407407408,432,169,0.011275251866158584,0.3912037037037037,0.3912037037037037
edgar,-0.29056603773584905,9.773584905660377,705.8981132075472,265,96,0.006916531816046354,0.3622641509433962,0.3622641509433962
el-primo,0.6408977556109726,9.780548628428928,798.4014962593516,401,174,0.010466148144281463,0.4339152119700748,0.4339152119700748
emz,1.0029695619896066,9.873793615441722,817.1336302895323,1347,622,0.03515686172156392,0.4617668893838159,0.4617668893838159
frank,1.3796296296296295,9.851851851851851,729.8425925925926,108,53,0.002818812966539646,0.49074074074074076,0.49074074074074076
gale,0.2,9.8,728.5,180,72,0.00469802161089941,0.4,0.4
gene,2.010948905109489,9.941605839416058,862.806288601909,3562,1921,0.09296862765568721,0.5393037619314992,0.5393037619314992
jacky,0.6415094339622641,9.88679245283019,746.8301886792453,53,23,0.0013833063632092708,0.4339622641509434,0.4339622641509434
jessie,0.1928374655647383,9.910927456382002,741.3755739210285,1089,435,0.028423030745941432,0.39944903581267216,0.39944903581267216
leon,1.8665943600867678,9.95119305856833,807.0911062906724,922,487,0.024064310695829202,0.5281995661605207,0.5281995661605207
lou,2.0306122448979593,9.945578231292517,796.9353741496599,294,159,0.00767343529780237,0.5408163265306123,0.5408163265306123
max,1.6234887737478412,9.975820379965457,821.706390328152,579,295,0.015111969515059769,0.5094991364421416,0.5094991364421416
mortis,0.7897350993377483,9.980684326710817,765.8598233995585,1812,807,0.04729341754972073,0.445364238410596,0.445364238410596
mr-p,1.8896457765667576,9.975476839237057,792.0803814713896,734,389,0.01915748812444537,0.5299727520435967,0.5299727520435967
nani,-0.8135593220338984,9.940677966101696,713.1694915254237,118,38,0.003079814167145169,0.3220338983050847,0.3220338983050847
nita,0.23432343234323433,9.947194719471947,746.4521452145215,303,122,0.00790833637834734,0.40264026402640263,0.40264026402640263
pam,2.1695278969957084,9.950643776824034,794.2832618025751,466,257,0.012162655948217362,0.5515021459227468,0.5515021459227468
penny,1.9909808342728297,9.986471251409245,808.9802705749718,1774,954,0.04630161298741974,0.5377677564825254,0.5377677564825254
piper,1.5129053606882858,9.986101919258768,826.3362011912641,1511,757,0.039437281411494496,0.500992720052945,0.500992720052945
poco,0.3107255520504732,9.946372239747634,710.089905362776,634,259,0.016547476118390143,0.4085173501577287,0.4085173501577287
rico,0.5781818181818181,9.909090909090908,755.0763636363637,275,118,0.007177533016651877,0.4290909090909091,0.4290909090909091
rosa,-1.1393939393939394,9.8,734.8848484848485,165,49,0.004306519809991126,0.296969696969697,0.296969696969697
sandy,0.9902845246356696,9.968077723802915,806.3678001387925,1441,664,0.037610273007255834,0.4607911172796669,0.4607911172796669
shelly,-0.9375,9.875,712.6875,112,35,0.002923213446781855,0.3125,0.3125
spike,1.871542716656423,9.992624462200368,841.9071911493546,1627,860,0.042464895338518556,0.5285802089735709,0.5285802089735709
sprout,2.880450070323488,9.960618846694796,806.8438818565401,711,431,0.01855718536305267,0.6061884669479606,0.6061884669479606
squeak,2.528548123980424,9.872756933115824,743.8613376835236,613,355,0.015999373597118546,0.5791190864600326,0.5791190864600326
stu,2.0534934497816595,9.927947598253276,864.2139737991266,916,497,0.023907709975465888,0.5425764192139738,0.5425764192139738
surge,1.6558219178082192,9.936643835616438,798.0342465753424,584,299,0.015242470115362531,0.511986301369863,0.511986301369863
tara,2.0511892450879006,9.97052740434333,872.1597724922441,1934,1049,0.05047763219710811,0.5423991726990692,0.5423991726990692
tick,-0.7166841552990556,9.87093389296957,717.1532004197272,953,314,0.02487341441770632,0.32948583420776495,0.32948583420776495
