brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,1.7639282341831917,9.99338999055713,856.0358829084041,1059,551,0.022350259592250222,0.5203021718602455,0.5203021718602455
amber,2.3345111896348647,9.984687868080094,886.0471142520612,1698,958,0.03583639356717741,0.5641931684334511,0.5641931684334511
barley,-2.3333333333333335,10.0,724.025641025641,39,8,0.0008230973787514246,0.20512820512820512,0.20512820512820512
bea,0.6461864406779662,9.932203389830509,792.6101694915254,472,205,0.0099615887889916,0.4343220338983051,0.4343220338983051
belle,1.6843971631205674,9.937352245862884,822.8368794326241,846,435,0.017854881600607827,0.5141843971631206,0.5141843971631206
bibi,-0.17142857142857143,9.961904761904762,742.1571428571428,210,78,0.004432062808661517,0.37142857142857144,0.37142857142857144
bo,1.2575488454706927,9.980461811722913,771.955595026643,563,271,0.01188214933941159,0.48134991119005327,0.48134991119005327
brock,1.3951612903225807,10.0,823.1908602150538,372,183,0.007851082689628973,0.49193548387096775,0.49193548387096775
bull,0.47368421052631576,9.916267942583731,779.3971291866029,418,176,0.00882191549533578,0.42105263157894735,0.42105263157894735
buzz,1.6111975116640747,9.807153965785382,764.3250388802488,643,327,0.013570554218901692,0.5085536547433903,0.5085536547433903
byron,2.946550048590865,9.95821185617104,861.6404275996113,1029,629,0.021717107762441432,0.6112730806608357,0.6112730806608357
carl,1.3161953727506426,9.976863753213367,812.5141388174807,389,189,0.00820986872652062,0.48586118251928023,0.48586118251928023
colette,1.478688524590164,9.98032786885246,792.2524590163935,305,152,0.006437043603056013,0.49836065573770494,0.49836065573770494
colonel-ruffs,2.3264604810996565,9.960481099656358,839.1288659793814,582,328,0.01228314549829049,0.563573883161512,0.563573883161512
colt,0.7017543859649122,9.989473684210527,828.2105263157895,1140,500,0.02405976953273395,0.43859649122807015,0.43859649122807015
crow,1.7612590799031478,9.965133171912832,858.2232445520581,2065,1074,0.04358195095183825,0.5200968523002422,0.5200968523002422
darryl,1.4109589041095891,9.904109589041095,758.7808219178082,146,72,0.0030813389050694355,0.4931506849315068,0.4931506849315068
dynamike,0.4793388429752066,9.90495867768595,746.4462809917355,242,102,0.005107424760457557,0.4214876033057851,0.4214876033057851
edgar,-0.5526315789473685,9.844497607655502,741.5645933014354,418,143,0.00882191549533578,0.34210526315789475,0.34210526315789475
el-primo,-0.9777777777777777,9.856410256410257,775.5128205128206,585,181,0.01234646068127137,0.3094017094017094,0.3094017094017094
emz,0.7961783439490446,9.896815286624204,834.5656050955414,1570,700,0.03313494575999325,0.445859872611465,0.445859872611465
frank,1.9136363636363636,9.868181818181819,790.0090909090909,220,117,0.00464311341859778,0.5318181818181819,0.5318181818181819
gale,1.7207547169811321,9.966037735849056,842.6754716981133,265,137,0.005592841163310962,0.5169811320754717,0.5169811320754717
gene,1.71146312382899,9.970873786407767,885.5806506557657,5871,3031,0.12390781309357984,0.5162663941406915,0.5162663941406915
jacky,0.2,9.906666666666666,744.3066666666666,150,60,0.0031657591490439406,0.4,0.4
jessie,1.511669658886894,9.944344703770197,829.7253141831238,1671,837,0.0352665569203495,0.5008976660682226,0.5008976660682226
leon,1.18955223880597,9.973134328358208,800.5611940298508,1340,638,0.028280781731459204,0.4761194029850746,0.4761194029850746
lou,1.9963636363636363,9.96,805.8509090909091,275,148,0.005803891773247224,0.5381818181818182,0.5381818181818182
max,1.9380053908355794,9.990116801437557,852.8032345013477,1113,594,0.02348993288590604,0.5336927223719676,0.5336927223719676
mortis,0.5022706630336058,9.974114441416894,783.7093551316984,2202,932,0.04647334430796505,0.4232515894641235,0.4232515894641235
mr-p,2.6672158154859966,9.99176276771005,830.5403624382208,607,358,0.012810772023131146,0.5897858319604613,0.5897858319604613
nani,-0.8135593220338984,9.796610169491526,714.9661016949152,59,19,0.00124519859862395,0.3220338983050847,0.3220338983050847
nita,-0.7153558052434457,9.92134831460674,723.1161048689139,267,88,0.005635051285298214,0.3295880149812734,0.3295880149812734
pam,2.3707865168539324,9.985306828003457,819.1287813310286,1157,656,0.024418555569625595,0.5669835782195333,0.5669835782195333
penny,1.1859903381642511,9.956521739130435,767.2584541062802,414,197,0.008737495251361277,0.4758454106280193,0.4758454106280193
piper,0.19258202567760344,9.984308131241084,804.2653352353781,701,280,0.014794647756532017,0.39942938659058486,0.39942938659058486
poco,0.853494623655914,9.966397849462366,758.5524193548387,744,335,0.015702165379257945,0.45026881720430106,0.45026881720430106
rico,2.10064043915828,9.992680695333943,877.387923147301,3279,1791,0.06920349499810055,0.546203110704483,0.546203110704483
rosa,1.278048780487805,9.932926829268293,806.0121951219512,820,396,0.017306150014773543,0.48292682926829267,0.48292682926829267
