brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,2.6142857142857143,9.96547619047619,866.197619047619,2520,1476,0.05347480106100796,0.5857142857142857,0.5857142857142857
amber,0.2,9.845833333333333,773.3333333333334,240,96,0.005092838196286472,0.4,0.4
barley,2.373134328358209,9.977611940298507,808.9850746268656,134,76,0.002843501326259947,0.5671641791044776,0.5671641791044776
bea,0.11846689895470383,9.921602787456447,780.7282229965157,574,226,0.012180371352785145,0.39372822299651566,0.39372822299651566
belle,3.069877883310719,9.876526458616011,874.7286295793758,1474,915,0.03127851458885942,0.6207598371777476,0.6207598371777476
bibi,-1.259433962264151,9.981132075471699,748.0471698113207,212,61,0.00449867374005305,0.28773584905660377,0.28773584905660377
bo,0.4251968503937008,9.921259842519685,742.8405511811023,508,212,0.010779840848806366,0.41732283464566927,0.41732283464566927
brock,0.5045045045045045,9.981981981981981,790.5615615615616,333,141,0.00706631299734748,0.42342342342342343,0.42342342342342343
bull,0.02894736842105263,9.955263157894738,778.9710526315789,380,147,0.00806366047745358,0.3868421052631579,0.3868421052631579
buzz,2.991655076495132,9.856745479833101,783.739916550765,719,442,0.015257294429708223,0.6147426981919333,0.6147426981919333
byron,2.0701754385964914,9.932163742690058,812.1461988304094,855,465,0.01814323607427056,0.543859649122807,0.543859649122807
carl,1.5099540581929556,9.981623277182235,807.1852986217458,653,327,0.013856763925729442,0.5007656967840735,0.5007656967840735
colette,1.3934426229508197,9.857923497267759,777.6174863387978,183,90,0.003883289124668435,0.4918032786885246,0.4918032786885246
colonel-ruffs,3.0041695621959694,9.98679638637943,858.0611535788743,1439,886,0.030535809018567638,0.6157053509381515,0.6157053509381515
colt,0.04554455445544554,9.96039603960396,755.8633663366337,505,196,0.010716180371352786,0.38811881188118813,0.38811881188118813
crow,0.27636849132176233,9.95460614152203,760.9425901201602,749,304,0.01589389920424403,0.40587449933244324,0.40587449933244324
darryl,0.5487804878048781,9.96951219512195,734.0548780487804,164,70,0.003480106100795756,0.4268292682926829,0.4268292682926829
dynamike,-0.4872611464968153,9.802547770700636,734.78025477707,314,109,0.006663129973474801,0.3471337579617834,0.3471337579617834
edgar,0.4044943820224719,9.906367041198502,725.6816479400749,267,111,0.0056657824933687,0.4157303370786517,0.4157303370786517
el-primo,-0.25675675675675674,9.847490347490348,800.527027027027,518,189,0.010992042440318303,0.36486486486486486,0.36486486486486486
emz,0.7205720572057206,9.854785478547855,798.0770077007701,909,400,0.019289124668435013,0.44004400440044006,0.44004400440044006
frank,-0.345679012345679,9.716049382716049,722.5679012345679,81,29,0.0017188328912466843,0.35802469135802467,0.35802469135802467
gale,-1.1121495327102804,9.878504672897197,720.5420560747664,107,32,0.0022705570291777187,0.29906542056074764,0.29906542056074764
gene,1.5647140541792082,9.963185922667284,849.241722620977,4319,2181,0.09164986737400531,0.5049780041676314,0.5049780041676314
jacky,-0.0234375,9.9453125,750.96875,128,49,0.0027161803713527852,0.3828125,0.3828125
jessie,-0.43243243243243246,9.877149877149877,761.977886977887,814,286,0.01727320954907162,0.35135135135135137,0.35135135135135137
leon,1.129967776584318,9.953813104189043,797.234156820623,931,439,0.019755968169761273,0.4715359828141783,0.4715359828141783
lou,1.032,9.944,761.36,125,58,0.002652519893899204,0.464,0.464
max,0.8379629629629629,9.980324074074074,833.9502314814815,864,388,0.0183342175066313,0.44907407407407407,0.44907407407407407
mortis,0.8393782383419689,9.990434436030291,781.8286169788761,2509,1127,0.053241379310344825,0.4491829414109207,0.4491829414109207
mr-p,2.112676056338028,9.982665222101842,828.5189599133261,923,505,0.019586206896551724,0.5471289274106176,0.5471289274106176
nani,1.6666666666666667,9.935897435897436,800.7564102564103,78,40,0.0016551724137931034,0.5128205128205128,0.5128205128205128
