brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,3.0635260528194146,9.99214846538187,888.859386152748,1401,869,0.04377714589257257,0.6202712348322627,0.6202712348322627
amber,3.375699440447642,9.973621103117505,885.0295763389289,1251,806,0.039090085304502704,0.6442845723421263,0.6442845723421263
barley,0.44761904761904764,9.942857142857143,730.3904761904762,105,44,0.003280942411648908,0.41904761904761906,0.41904761904761906
bea,0.7691154422788605,9.96551724137931,836.9865067466267,667,296,0.020841796081617348,0.44377811094452774,0.44377811094452774
belle,2.3537313432835822,9.826119402985075,844.1022388059702,1340,758,0.04187107458675749,0.5656716417910448,0.5656716417910448
bibi,-0.7551020408163265,9.959183673469388,730.3775510204082,196,64,0.006124425835077962,0.32653061224489793,0.32653061224489793
bo,-0.5530799475753604,9.977719528178243,736.692005242464,763,261,0.023841514857982065,0.3420707732634338,0.3420707732634338
brock,0.102803738317757,9.922118380062305,748.9439252336449,321,126,0.010030309658469518,0.3925233644859813,0.3925233644859813
bull,-1.75,9.956896551724139,743.5172413793103,116,29,0.003624660188107365,0.25,0.25
buzz,1.3243243243243243,9.657657657657658,734.5285285285286,333,162,0.010405274505515108,0.4864864864864865,0.4864864864864865
byron,1.9281437125748504,9.946963216424294,855.3721129170231,1169,623,0.03652782551635784,0.5329341317365269,0.5329341317365269
carl,1.8501170960187354,9.964871194379391,816.976580796253,427,225,0.013342499140705559,0.5269320843091335,0.5269320843091335
colette,-0.008,9.952,761.256,125,48,0.003905883823391557,0.384,0.384
colonel-ruffs,2.8940568475452197,9.96640826873385,862.5297157622739,387,235,0.012092616317220261,0.6072351421188631,0.6072351421188631
colt,0.2978723404255319,9.947626841243862,792.5761047463175,611,249,0.01909196012873793,0.4075286415711948,0.4075286415711948
crow,3.014957846070166,9.976883328800653,887.6472667935817,3677,2267,0.11489547854888604,0.6165352189284743,0.6165352189284743
darryl,-0.4578313253012048,9.891566265060241,703.3493975903615,83,29,0.0025935068587319937,0.3493975903614458,0.3493975903614458
dynamike,-1.0397350993377483,9.85430463576159,702.0198675496689,302,92,0.009436615317314002,0.304635761589404,0.304635761589404
edgar,-0.25,9.774038461538462,729.7740384615385,208,76,0.006499390682123551,0.36538461538461536,0.36538461538461536
el-primo,-1.34375,9.80859375,748.44921875,256,72,0.007999250070305908,0.28125,0.28125
emz,0.27993527508090615,9.784789644012944,770.15857605178,618,251,0.01931068962284786,0.40614886731391586,0.40614886731391586
frank,-0.1414141414141414,9.727272727272727,736.030303030303,99,37,0.0030934599881261133,0.37373737373737376,0.37373737373737376
gale,0.9868421052631579,9.861842105263158,719.0526315789474,152,70,0.004749554729244133,0.4605263157894737,0.4605263157894737
