brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,3.1861386138613863,9.992079207920792,882.580198019802,1010,636,0.04173726187032522,0.6297029702970297,0.6297029702970297
amber,3.4336917562724016,9.910394265232975,919.016129032258,558,362,0.023058804082813338,0.6487455197132617,0.6487455197132617
barley,-0.35714285714285715,10.0,712.8392857142857,56,20,0.0023141452126120912,0.35714285714285715,0.35714285714285715
bea,-1.7314285714285715,9.834285714285715,744.4028571428571,350,88,0.014463407578825572,0.25142857142857145,0.25142857142857145
belle,1.6152482269503545,9.907801418439716,771.0514184397163,564,287,0.023306748212736064,0.5088652482269503,0.5088652482269503
bibi,-0.32679738562091504,9.96078431372549,748.3267973856209,153,55,0.006322575313029464,0.35947712418300654,0.35947712418300654
bo,0.024324324324324326,9.91081081081081,708.9,370,143,0.015289888011901318,0.3864864864864865,0.3864864864864865
brock,1.3522727272727273,9.897727272727273,788.9507575757576,264,129,0.01090954171659986,0.48863636363636365,0.48863636363636365
bull,0.04081632653061224,9.86734693877551,757.1632653061224,98,38,0.00404975412207116,0.3877551020408163,0.3877551020408163
buzz,2.338709677419355,9.835483870967742,782.1838709677419,310,175,0.012810446712674077,0.5645161290322581,0.5645161290322581
byron,1.058252427184466,9.866504854368932,782.5364077669902,412,192,0.01702549692136039,0.46601941747572817,0.46601941747572817
carl,3.088888888888889,9.987654320987655,868.6469135802469,405,252,0.016736228769783874,0.6222222222222222,0.6222222222222222
colette,0.7121212121212122,9.924242424242424,740.1136363636364,132,58,0.00545477085829993,0.4393939393939394,0.4393939393939394
colonel-ruffs,2.677165354330709,9.955380577427821,860.992125984252,381,225,0.01574445225009298,0.5905511811023622,0.5905511811023622
colt,0.8872053872053872,9.956228956228957,812.2643097643098,594,269,0.024546468862349683,0.45286195286195285,0.45286195286195285
crow,1.4905933429811866,9.934153400868308,814.3777134587555,1382,690,0.05710979792553411,0.4992764109985528,0.4992764109985528
darryl,0.4959349593495935,9.910569105691057,774.910569105691,123,52,0.0050828546634158435,0.42276422764227645,0.42276422764227645
dynamike,-0.5253623188405797,9.804347826086957,701.8913043478261,276,95,0.011405429976445308,0.3442028985507246,0.3442028985507246
edgar,-0.6324110671936759,9.849802371541502,720.8181818181819,253,85,0.0104549774784082,0.3359683794466403,0.3359683794466403
el-primo,0.08695652173913043,9.877470355731225,779.802371541502,253,99,0.0104549774784082,0.391304347826087,0.391304347826087
emz,1.2458100558659218,9.898324022346369,809.331843575419,895,430,0.036984999380139674,0.48044692737430167,0.48044692737430167
frank,1.4177215189873418,9.835443037974683,809.8101265822785,79,39,0.0032645977106492002,0.4936708860759494,0.4936708860759494
gale,1.681564245810056,9.972067039106145,788.659217877095,179,92,0.007396999876027935,0.5139664804469274,0.5139664804469274
gene,1.7174952198852773,9.944072657743785,849.2872848948375,2092,1081,0.08644985329972313,0.5167304015296367,0.5167304015296367
jacky,-1.0,9.692307692307692,684.6923076923077,26,8,0.001074424562998471,0.3076923076923077,0.3076923076923077
jessie,-0.06712328767123288,9.882191780821918,758.7808219178082,730,277,0.030166535807264763,0.37945205479452054,0.37945205479452054
leon,1.8010012515644556,9.956195244055069,820.6833541927409,799,418,0.03301789330137609,0.523153942428035,0.523153942428035
lou,-0.7127659574468085,9.946808510638299,738.1276595744681,94,31,0.0038844580354560104,0.32978723404255317,0.32978723404255317
max,1.5942028985507246,9.965217391304348,798.5333333333333,345,175,0.014256787470556635,0.5072463768115942,0.5072463768115942
mortis,0.7612428454619787,9.986917416189698,768.5461978740801,1223,542,0.050539278482581926,0.44317252657399836,0.44317252657399836
mr-p,0.8668831168831169,9.970779220779221,767.6331168831168,308,139,0.012727798669366503,0.4512987012987013,0.4512987012987013
nani,-0.60431654676259,9.920863309352518,721.5179856115108,139,47,0.005744039009876441,0.3381294964028777,0.3381294964028777
nita,-0.18831168831168832,9.74025974025974,717.461038961039,154,57,0.006363899334683252,0.37012987012987014,0.37012987012987014
pam,0.817351598173516,9.904109589041095,758.3698630136986,219,98,0.009049960742179428,0.4474885844748858,0.4474885844748858
penny,2.9077970297029703,9.98019801980198,849.7834158415842,1616,983,0.06677961899252036,0.6082920792079208,0.6082920792079208
piper,0.9705372616984402,9.98786828422877,790.1750433275563,577,265,0.0238439604942353,0.4592720970537262,0.4592720970537262
poco,-0.6801242236024845,9.885093167701863,709.860248447205,322,107,0.013306334972519526,0.33229813664596275,0.33229813664596275
rico,2.1538461538461537,9.994082840236686,850.5221893491124,676,372,0.027935038637960246,0.5502958579881657,0.5502958579881657
