brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,3.2213438735177866,9.996047430830039,865.4571805006588,759,480,0.025808425992043253,0.6324110671936759,0.6324110671936759
amber,3.2658959537572256,9.945664739884393,864.0843930635838,865,550,0.02941276479989119,0.6358381502890174,0.6358381502890174
barley,-0.35714285714285715,10.0,726.5612244897959,98,35,0.00333231323744432,0.35714285714285715,0.35714285714285715
bea,0.47368421052631576,9.951127819548873,782.1315789473684,266,112,0.009044850215920296,0.42105263157894735,0.42105263157894735
belle,3.0796812749003983,9.952191235059761,860.4541832669323,502,312,0.017069604542827025,0.6215139442231076,0.6215139442231076
bibi,-0.7048458149779736,9.898678414096917,726.1629955947136,227,75,0.007718725560202659,0.3303964757709251,0.3303964757709251
bo,1.4805389221556886,9.890718562874252,756.7080838323353,668,333,0.022714135128702097,0.49850299401197606,0.49850299401197606
brock,-0.7730061349693251,9.932515337423313,695.6871165644171,163,53,0.005542520996973716,0.32515337423312884,0.32515337423312884
bull,0.4418604651162791,9.880813953488373,769.9912790697674,344,144,0.011697099527355571,0.4186046511627907,0.4186046511627907
buzz,2.2222222222222223,9.937777777777777,812.9288888888889,225,125,0.007650719167601755,0.5555555555555556,0.5555555555555556
byron,0.9526315789473684,9.91842105263158,785.4394736842105,380,174,0.012921214594171853,0.45789473684210524,0.45789473684210524
carl,2.272727272727273,9.94055944055944,841.8216783216783,286,160,0.009724914141929341,0.5594405594405595,0.5594405594405595
colette,1.7623318385650224,9.959641255605382,817.9775784753364,223,116,0.00758271277500085,0.5201793721973094,0.5201793721973094
colonel-ruffs,2.6153846153846154,9.905325443786982,827.2485207100592,169,99,0.005746540174776429,0.5857988165680473,0.5857988165680473
colt,0.2356164383561644,9.98082191780822,755.6931506849315,365,147,0.012411166649665068,0.40273972602739727,0.40273972602739727
crow,2.408953722334004,9.972334004024145,844.4778672032193,1988,1133,0.06759835424529906,0.5699195171026157,0.5699195171026157
darryl,-0.2727272727272727,9.927272727272728,723.3212121212122,165,60,0.00561052738957462,0.36363636363636365,0.36363636363636365
dynamike,0.06162464985994398,9.882352941176471,750.9635854341736,357,139,0.01213914107926145,0.38935574229691877,0.38935574229691877
edgar,-1.2629969418960245,9.764525993883792,721.3272171253823,327,94,0.011119045190247883,0.2874617737003058,0.2874617737003058
el-primo,-0.26099290780141843,9.919148936170213,783.181560283688,705,257,0.02397225339181883,0.3645390070921986,0.3645390070921986
emz,2.20568278201866,9.935538592027141,877.9033078880407,2358,1307,0.08017953687646638,0.5542832909245123,0.5542832909245123
frank,1.7746478873239437,9.852112676056338,795.7007042253521,284,148,0.009656907749328437,0.5211267605633803,0.5211267605633803
gale,1.164319248826291,9.938967136150234,808.4976525821596,213,101,0.007242680811996327,0.47417840375586856,0.47417840375586856
gene,2.2591409300674474,9.959531416400425,890.0110046148385,2817,1573,0.09578700397837396,0.5583954561590344,0.5583954561590344
jacky,0.3181818181818182,9.980519480519481,784.5974025974026,154,63,0.005236492230269645,0.4090909090909091,0.4090909090909091
jessie,1.1642066420664208,9.879151291512915,778.6835793357934,1084,514,0.03685946478969023,0.474169741697417,0.474169741697417
leon,0.8912386706948641,9.95166163141994,777.5664652567975,662,300,0.022510115950899384,0.45317220543806647,0.45317220543806647
lou,0.6875,9.973214285714286,735.4196428571429,112,49,0.003808357985650651,0.4375,0.4375
max,1.8909774436090225,9.984962406015038,827.6015037593985,266,141,0.009044850215920296,0.5300751879699248,0.5300751879699248
mortis,0.1442704039571311,9.97444352844188,755.1145919208574,1213,480,0.04124587711244857,0.3957131079967024,0.3957131079967024
mr-p,1.6391437308868502,9.966360856269112,814.3577981651376,327,167,0.011119045190247883,0.5107033639143731,0.5107033639143731
nani,-0.6666666666666666,9.764705882352942,741.6470588235294,51,17,0.0017341630113230644,0.3333333333333333,0.3333333333333333
nita,1.1761565836298933,9.91814946619217,793.0693950177936,562,267,0.01910979632085416,0.4750889679715303,0.4750889679715303
pam,3.5619967793880836,9.979066022544284,839.7181964573269,621,409,0.021115984902580844,0.6586151368760065,0.6586151368760065
penny,2.6589147286821704,9.982558139534884,826.3856589147287,1032,608,0.035091298582066714,0.5891472868217055,0.5891472868217055
piper,-0.1589958158995816,9.97071129707113,757.9581589958159,239,89,0.008126763915808086,0.3723849372384937,0.3723849372384937
