brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,2.4797947402180887,9.978191148171906,879.7710070558051,1559,897,0.030435546531831403,0.5753688261706222,0.5753688261706222
amber,2.399569197630587,9.908454496499731,878.1529348411416,1857,1057,0.03625324561232259,0.5691976305869683,0.5691976305869683
barley,-1.34375,9.875,696.59375,32,9,0.0006247193643480468,0.28125,0.28125
bea,-0.4150537634408602,9.913978494623656,770.5591397849462,465,164,0.009077953263182555,0.35268817204301073,0.35268817204301073
belle,2.3142448103078026,9.91696492483894,846.7888332140301,1397,786,0.027272904749819415,0.5626342161775233,0.5626342161775233
bibi,0.32919254658385094,9.975155279503106,748.4596273291926,161,66,0.0031431193018761103,0.40993788819875776,0.40993788819875776
bo,0.5777027027027027,9.966216216216216,756.1368243243244,592,254,0.011557308240438866,0.42905405405405406,0.42905405405405406
brock,0.17664670658682635,9.952095808383234,742.8353293413173,334,133,0.006520508365382738,0.39820359281437123,0.39820359281437123
bull,0.408,9.944,796.872,250,104,0.004880620033969115,0.416,0.416
buzz,2.2706935123042506,9.74496644295302,740.0357941834452,447,250,0.008726548620736779,0.5592841163310962,0.5592841163310962
byron,1.8139204545454546,9.946022727272727,802.1803977272727,704,369,0.013743826015657028,0.5241477272727273,0.5241477272727273
carl,1.7414030261348006,9.987620357634112,835.5570839064649,727,377,0.014192843058782188,0.5185694635488308,0.5185694635488308
colette,0.17886178861788618,9.955284552845528,763.2642276422764,246,98,0.004802530113425609,0.3983739837398374,0.3983739837398374
colonel-ruffs,1.21285140562249,9.939759036144578,778.0401606425703,249,119,0.004861097553833239,0.4779116465863454,0.4779116465863454
colt,0.1489607390300231,9.97690531177829,793.5935334872979,866,343,0.016906467797669016,0.3960739030023095,0.3960739030023095
crow,1.7660300136425648,9.972260118235562,854.6994088221919,4398,2289,0.08585986763758467,0.5204638472032742,0.5204638472032742
darryl,1.8376623376623376,9.948051948051948,756.7662337662338,154,81,0.0030064619409249753,0.525974025974026,0.525974025974026
dynamike,-0.58,9.788,711.788,250,85,0.004880620033969115,0.34,0.34
edgar,-0.6666666666666666,9.799382716049383,712.1172839506173,324,108,0.0063252835640239735,0.3333333333333333,0.3333333333333333
el-primo,-1.1657303370786516,9.870786516853933,774.4213483146067,356,105,0.00695000292837202,0.2949438202247191,0.2949438202247191
emz,1.8018242122719734,9.937534549474847,870.757048092869,3618,1893,0.07063233313160104,0.5232172470978441,0.5232172470978441
frank,1.3142857142857143,9.907142857142857,770.5142857142857,140,68,0.0027331472190227045,0.4857142857142857,0.4857142857142857
gale,0.786833855799373,9.949843260188088,791.9059561128527,319,142,0.006227671163344591,0.445141065830721,0.445141065830721
gene,1.460285132382892,9.9520459174227,878.7207924458434,5401,2684,0.10544091521386877,0.4969450101832994,0.4969450101832994
jacky,-1.891304347826087,9.978260869565217,750.5434782608696,46,11,0.0008980340862503172,0.2391304347826087,0.2391304347826087
jessie,0.23394994559303592,9.894450489662677,770.3318824809576,919,370,0.01794115924487047,0.40261153427638735,0.40261153427638735
leon,1.3020576131687243,9.980246913580247,828.3111111111111,1215,589,0.023719813365089902,0.48477366255144033,0.48477366255144033
lou,1.3957219251336899,9.882352941176471,783.2887700534759,187,92,0.0036507037854088984,0.4919786096256685,0.4919786096256685
max,0.5592105263157895,9.973684210526315,805.515350877193,456,195,0.008902250941959667,0.4276315789473684,0.4276315789473684
mortis,-0.04368108566581849,9.987701441899915,767.3167938931298,2358,899,0.0460340081603967,0.38125530110262934,0.38125530110262934
mr-p,2.3430962343096233,9.98326359832636,845.9581589958159,478,270,0.009331745504948948,0.5648535564853556,0.5648535564853556
nani,-0.8947368421052632,9.894736842105264,698.7368421052631,57,18,0.0011127813677449584,0.3157894736842105,0.3157894736842105
nita,1.0223642172523961,9.92332268370607,746.9968051118211,313,145,0.006110536282529332,0.46325878594249204,0.46325878594249204
