brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,2.6726486614546316,9.982290926320777,872.5774697938878,16884,9965,0.03175188247064399,0.5902037431888179,0.5902037431888179
amber,2.453198127925117,9.941150979372509,866.2054948864621,11538,6615,0.021698248042305752,0.5733229329173167,0.5733229329173167
barley,2.1977401129943503,9.968926553672317,837.9969733656175,4956,2744,0.009320204307303459,0.5536723163841808,0.5536723163841808
bea,0.24404666773214,9.91097970273294,781.755314048266,6257,2524,0.011766851967473315,0.4033882052101646,0.4033882052101646
belle,2.452098178939034,9.914726840855106,844.3631037212984,12630,7240,0.023751852381203125,0.5732383214568487,0.5732383214568487
bibi,0.1650112143543736,9.950336430631207,754.0708106376162,3121,1240,0.005869321558332142,0.39730855495033646,0.39730855495033646
bo,0.30972239512012945,9.945599402464833,743.4706834308478,8033,3281,0.015106779903262448,0.40844018424000994,0.40844018424000994
brock,0.4347925739170296,9.949805179922071,767.2968141187256,4363,1824,0.008205014405319812,0.4180609672243869,0.4180609672243869
bull,0.30918827508455465,9.929537767756482,782.4052987598648,3548,1449,0.006672333511362525,0.4083990980834273,0.4083990980834273
buzz,2.5546035631714945,9.81313749490004,794.4183326533388,7353,4273,0.013827978666586428,0.5811233510131919,0.5811233510131919
byron,1.8276686415133563,9.9291133977757,818.5625194886186,9621,5053,0.01809315690891174,0.525205280116412,0.525205280116412
carl,1.9849442129318458,9.970560559214949,836.9003898373437,7439,3997,0.013989709411224866,0.5373034009947574,0.5373034009947574
colette,0.690015479876161,9.93498452012384,773.1907894736842,2584,1131,0.004859444699368874,0.4376934984520124,0.4376934984520124
colonel-ruffs,2.8132459970887917,9.96433770014556,848.4586608442504,6870,4129,0.012919653670535667,0.601018922852984,0.601018922852984
colt,0.43065616797900264,9.974593175853018,785.180997375328,9525,3979,0.01791262026373395,0.417742782152231,0.417742782152231
crow,1.6109756097560977,9.964673485444532,834.9384343036979,25420,12927,0.047804599171035904,0.5085365853658537,0.5085365853658537
darryl,0.1787538304392237,9.909090909090908,734.7487231869254,1958,780,0.0036821953256053618,0.3983656792645557,0.3983656792645557
dynamike,0.2090069284064665,9.884031672715276,751.530188056747,6062,2429,0.011400136906955927,0.4006928406466513,0.4006928406466513
edgar,-0.5428571428571428,9.822668240850058,727.598347107438,4235,1452,0.007964298878416091,0.34285714285714286,0.34285714285714286
el-primo,-0.2139407598197038,9.859948486799743,788.8594655505474,6212,2287,0.011682225415046226,0.368158403090792,0.368158403090792
emz,1.588426605322651,9.91607504065363,851.3728235434102,25213,12778,0.04741531702987129,0.5068020465632809,0.5068020465632809
frank,1.3951612903225807,9.849620493358634,797.9767552182163,2108,1037,0.00396428383369566,0.49193548387096775,0.49193548387096775
gale,0.9211977935382191,9.926319936958235,778.016548463357,2538,1156,0.004772937556887849,0.45547675334909377,0.45547675334909377
gene,1.808685111237878,9.958161009697662,878.0757629777524,56096,29380,0.10549357966555586,0.5237450085567599,0.5237450085567599
