brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,0.9940748720711016,9.934823592782116,783.3482359278212,3713,1712,0.015184417262715365,0.4610826824670078,0.4610826824670078
amber,1.4572584724329793,9.899848254931715,802.8568538189176,3954,1964,0.016169993497650567,0.49671219018715224,0.49671219018715224
barley,1.5063538611925709,9.976539589442815,793.8304007820137,6138,3072,0.02510152253125422,0.5004887585532747,0.5004887585532747
bea,1.994619523443505,9.930053804765565,840.1391237509608,1301,700,0.005320475857471772,0.5380476556495004,0.5380476556495004
belle,1.8573883161512028,9.919243986254296,836.7952871870398,4074,2149,0.01666073685114527,0.5274914089347079,0.5274914089347079
bibi,1.3287101248266298,9.955339805825243,821.7687933425798,7210,3510,0.02948549648914026,0.4868238557558946,0.4868238557558946
bo,-0.34186471663619744,9.835466179159049,732.1151736745886,547,196,0.002236971786346702,0.3583180987202925,0.3583180987202925
brock,1.4444444444444444,9.992022792022793,800.6709971509971,8775,4350,0.035885607724300383,0.49572649572649574,0.49572649572649574
bull,2.1670031121204474,9.973294642106149,840.4287997308436,23778,13109,0.09724079549497601,0.5513079317015729,0.5513079317015729
buzz,2.519661733615222,9.771670190274842,778.4389006342494,2365,1368,0.0096717335917915,0.5784355179704017,0.5784355179704017
byron,2.5274045261669023,9.972065063649222,855.890558698727,5656,3275,0.023130370061383815,0.579031117397454,0.579031117397454
carl,0.5252883762200532,9.915705412599822,751.2315882874889,1127,479,0.004608897994904449,0.42502218278615794,0.42502218278615794
colette,2.200909550277918,9.977412834765033,847.3056594239515,19790,10962,0.08093175804716861,0.5539161192521476,0.5539161192521476
colonel-ruffs,1.41156462585034,9.95748299319728,787.9676870748299,588,290,0.00240464243212406,0.4931972789115646,0.4931972789115646
colt,1.1644625989277508,9.975899923410774,806.51330099566,19585,9287,0.08009340481828182,0.47418943068675007,0.47418943068675007
crow,2.2673144511060577,9.978085590241886,859.8120735993384,4837,2704,0.019781046673782447,0.5590241885466198,0.5590241885466198
darryl,1.6977305649444712,9.960405601158861,818.3133751810719,6213,3201,0.02540823712718841,0.5152100434572671,0.5152100434572671
dynamike,0.767745004757374,9.925880114176975,789.530542340628,10510,4663,0.04298093871024468,0.4436726926736442,0.4436726926736442
edgar,1.853805634017864,9.904496526452402,814.8244904191159,13099,6906,0.05356872656189296,0.5272158180013742,0.5272158180013742
el-primo,1.4498783555317307,9.905570904292606,836.4967217846687,24251,12032,0.09917514221333432,0.4961444888870562,0.4961444888870562
emz,2.1623952386736307,9.955058909267581,874.0751852301713,8233,4536,0.033669083577682626,0.5509534798979716,0.5509534798979716
frank,0.4489003880983182,9.857697283311772,780.901681759379,773,324,0.0031612051020950653,0.4191461836998706,0.4191461836998706
gale,2.6193921852387843,9.972503617945007,829.2850940665702,691,405,0.0028258638105403493,0.5861070911722142,0.5861070911722142
gene,-2.545918367346939,9.872448979591837,823.3571428571429,196,37,0.0008015474773746867,0.18877551020408162,0.18877551020408162
jacky,1.4444444444444444,9.942307692307692,782.7286324786324,468,232,0.0019138990786293538,0.49572649572649574,0.49572649572649574
jessie,0.040738195739668207,9.906645724943555,745.4087562579758,10187,3950,0.04166002118375476,0.3877490919799745,0.3877490919799745
leon,-1.189239332096475,9.88126159554731,728.1354359925789,539,158,0.0022042555627803883,0.29313543599257885,0.29313543599257885
lou,-0.2360248447204969,9.826086956521738,744.7018633540373,161,59,0.000658413999272064,0.36645962732919257,0.36645962732919257
