brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,1.525,9.85,769.7596153846154,520,261,0.016979591836734694,0.5019230769230769,0.5019230769230769
amber,1.3879310344827587,9.862068965517242,777.8362068965517,348,171,0.01136326530612245,0.49137931034482757,0.49137931034482757
barley,0.6216216216216216,9.962837837837839,728.4155405405405,296,128,0.00966530612244898,0.43243243243243246,0.43243243243243246
bea,-0.047619047619047616,9.952380952380953,738.1904761904761,42,16,0.0013714285714285714,0.38095238095238093,0.38095238095238093
belle,-1.1,9.657142857142857,724.2714285714286,70,21,0.002285714285714286,0.3,0.3
bibi,1.1150592216582065,9.942470389170897,782.2250423011844,591,278,0.01929795918367347,0.4703891708967851,0.4703891708967851
bo,-1.3888888888888888,9.722222222222221,683.1481481481482,54,15,0.001763265306122449,0.2777777777777778,0.2777777777777778
brock,0.18635170603674542,10.0,752.0209973753281,381,152,0.012440816326530612,0.3989501312335958,0.3989501312335958
bull,2.224509998020194,9.975450405860226,847.9227875668184,5051,2807,0.16493061224489797,0.5557315383092457,0.5557315383092457
buzz,2.44300518134715,9.660621761658032,744.1295336787565,386,221,0.012604081632653062,0.572538860103627,0.572538860103627
byron,-3.3225806451612905,9.451612903225806,692.3225806451613,31,4,0.0010122448979591836,0.12903225806451613,0.12903225806451613
carl,0.3392857142857143,9.848214285714286,715.0892857142857,112,46,0.003657142857142857,0.4107142857142857,0.4107142857142857
colette,1.9141274238227146,9.978947368421053,834.374515235457,1805,960,0.05893877551020408,0.5318559556786704,0.5318559556786704
colonel-ruffs,0.7121212121212122,9.969696969696969,709.0909090909091,66,29,0.0021551020408163263,0.4393939393939394,0.4393939393939394
colt,1.4197530864197532,9.948018193632228,797.6627680311891,1539,760,0.050253061224489796,0.49382716049382713,0.49382716049382713
crow,-0.7195121951219512,9.975609756097562,737.7317073170732,82,27,0.0026775510204081632,0.32926829268292684,0.32926829268292684
darryl,1.2882527147087859,9.959526159921026,790.2448173741362,1013,490,0.033077551020408165,0.4837117472852912,0.4837117472852912
dynamike,0.8347953216374269,9.909356725146198,730.5847953216374,684,307,0.02233469387755102,0.44883040935672514,0.44883040935672514
edgar,0.9758064516129032,9.837243401759531,775.1510263929619,1364,627,0.04453877551020408,0.4596774193548387,0.4596774193548387
el-primo,1.7718921032056294,9.918100078186082,836.7543002345583,5116,2665,0.1670530612244898,0.5209147771696638,0.5209147771696638
emz,2.0977011494252875,9.96455938697318,869.4176245210728,2088,1140,0.0681795918367347,0.5459770114942529,0.5459770114942529
frank,-0.3076923076923077,9.834319526627219,793.698224852071,169,61,0.005518367346938775,0.3609467455621302,0.3609467455621302
