brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,1.3316062176165804,9.94300518134715,782.1554404145078,386,188,0.010463823904144867,0.48704663212435234,0.48704663212435234
amber,-0.14457831325301204,9.863453815261044,769.855421686747,249,93,0.006749979668735938,0.37349397590361444,0.37349397590361444
barley,0.5949367088607594,9.966244725738397,742.7974683544304,474,204,0.01284935888747323,0.43037974683544306,0.43037974683544306
bea,3.248730964467005,9.97969543147208,859.3350253807107,197,125,0.005340345360405541,0.6345177664974619,0.6345177664974619
belle,-0.6666666666666666,10.0,717.0888888888888,45,15,0.0012198758437474587,0.3333333333333333,0.3333333333333333
bibi,0.41348973607038125,9.912023460410557,783.8260019550343,1023,426,0.027731844181192226,0.41642228739002934,0.41642228739002934
bo,0.603448275862069,9.96551724137931,702.1896551724138,58,25,0.0015722844208300578,0.43103448275862066,0.43103448275862066
brock,0.7931769722814499,9.985074626865671,774.2494669509595,469,209,0.012713817127056846,0.44562899786780386,0.44562899786780386
bull,1.956140350877193,9.968671679197994,839.1140350877193,4788,2562,0.1297947897747296,0.5350877192982456,0.5350877192982456
buzz,1.6936170212765957,9.659574468085106,762.5276595744681,235,121,0.006370462739570062,0.5148936170212766,0.5148936170212766
byron,-1.0606060606060606,9.787878787878787,741.6969696969697,33,10,0.0008945756187481363,0.30303030303030304,0.30303030303030304
carl,0.6464646464646465,9.926767676767676,749.5858585858585,396,172,0.010734907424977635,0.43434343434343436,0.43434343434343436
colette,2.5551948051948052,9.98538961038961,859.4951298701299,616,358,0.016698744883298543,0.5811688311688312,0.5811688311688312
colonel-ruffs,0.8867924528301887,9.981132075471699,757.566037735849,53,24,0.0014367426604136734,0.4528301886792453,0.4528301886792453
colt,1.611723226090789,9.974438078448657,816.3583076245042,2269,1154,0.06150885087695519,0.5085940943146761,0.5085940943146761
crow,1.1829268292682926,9.926829268292684,777.5975609756098,82,39,0.002222884870828702,0.47560975609756095,0.47560975609756095
darryl,1.3560477001703577,9.93611584327087,815.0545144804089,1174,574,0.03182520534576703,0.4889267461669506,0.4889267461669506
dynamike,-0.2398609501738123,9.909617612977984,738.1853997682502,863,316,0.023394507847867927,0.36616454229432216,0.36616454229432216
edgar,1.7870833333333334,9.915416666666667,810.1329166666667,2400,1253,0.06506004499986445,0.5220833333333333,0.5220833333333333
el-primo,1.514657415437988,9.902515177797051,842.2468343451865,5765,2889,0.1562796497600911,0.5011274934952298,0.5011274934952298
emz,2.910191725529768,9.959636730575177,890.0161453077699,991,603,0.026864376914527366,0.6084762865792129,0.6084762865792129
frank,1.1330645161290323,9.887096774193548,788.4677419354839,248,117,0.006722871316652661,0.4717741935483871,0.4717741935483871
gale,0.05555555555555555,9.805555555555555,704.8888888888889,36,14,0.0009759006749979668,0.3888888888888889,0.3888888888888889
gene,-4.0,9.76923076923077,801.0,13,1,0.0003524085770825992,0.07692307692307693,0.07692307692307693
jacky,1.8235294117647058,9.981900452488688,820.4841628959276,221,116,0.005990945810404186,0.5248868778280543,0.5248868778280543
jessie,-0.2548596112311015,9.875809935205183,726.2246220302376,926,338,0.02510233402911437,0.3650107991360691,0.3650107991360691
leon,-1.4545454545454546,9.89090909090909,718.9272727272727,55,15,0.0014909593645802272,0.2727272727272727,0.2727272727272727
lou,-1.5333333333333334,9.466666666666667,739.0666666666667,15,4,0.00040662528124915285,0.26666666666666666,0.26666666666666666
max,-1.4545454545454546,9.963636363636363,756.8,55,15,0.0014909593645802272,0.2727272727272727,0.2727272727272727
mortis,-0.2727272727272727,9.909090909090908,696.3636363636364,22,8,0.0005963837458320909,0.36363636363636365,0.36363636363636365
mr-p,0.6521739130434783,9.869565217391305,699.5217391304348,46,20,0.0012469841958307356,0.43478260869565216,0.43478260869565216
nani,-2.8333333333333335,9.833333333333334,794.1666666666666,24,4,0.0006506004499986446,0.16666666666666666,0.16666666666666666
nita,1.210071942446043,9.981294964028777,787.773381294964,1390,664,0.037680609395754835,0.4776978417266187,0.4776978417266187
pam,0.36082474226804123,9.97938144329897,710.7216494845361,97,40,0.0026295101520778554,0.41237113402061853,0.41237113402061853
penny,-0.36875,9.95,713.3375,160,57,0.004337336333324298,0.35625,0.35625
piper,-3.142857142857143,10.0,736.0,7,1,0.000189758464582938,0.14285714285714285,0.14285714285714285
poco,-1.2258064516129032,9.951612903225806,690.4193548387096,62,18,0.0016807178291631652,0.2903225806451613,0.2903225806451613
