brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,0.7381546134663342,9.955112219451372,765.9775561097257,401,177,0.011949816729743422,0.44139650872817954,0.44139650872817954
amber,1.0666666666666667,9.866666666666667,787.4261904761905,420,196,0.012516017522424532,0.4666666666666667,0.4666666666666667
barley,2.0835746793545717,9.98676044683492,830.9019445593711,2417,1317,0.07202670083738118,0.5448903599503516,0.5448903599503516
bea,0.9428571428571428,9.885714285714286,817.9142857142857,35,16,0.0010430014602020442,0.45714285714285713,0.45714285714285713
belle,1.7338129496402879,9.985611510791367,811.9280575539568,139,72,0.004142205799088119,0.5179856115107914,0.5179856115107914
bibi,2.128440366972477,9.985885673959068,864.8355681016232,2834,1554,0.08445331823464552,0.5483415666901905,0.5483415666901905
bo,-1.1590909090909092,9.931818181818182,699.4090909090909,44,13,0.00131120183568257,0.29545454545454547,0.29545454545454547
brock,0.6014705882352941,9.992647058823529,754.3779411764706,680,293,0.020264028369639718,0.4308823529411765,0.4308823529411765
bull,2.532414910858995,9.964343598055105,836.5320097244733,2468,1430,0.07354650296510415,0.5794165316045381,0.5794165316045381
buzz,1.1210762331838564,9.690582959641256,768.1165919282511,223,105,0.006645409303573025,0.47085201793721976,0.47085201793721976
byron,3.489795918367347,9.918367346938776,918.4285714285714,98,64,0.002920404088565724,0.6530612244897959,0.6530612244897959
carl,0.917910447761194,9.902985074626866,794.3283582089553,134,61,0.003993205590487827,0.4552238805970149,0.4552238805970149
colette,2.298151950718686,9.974537987679671,846.0965092402464,2435,1367,0.07256310158834223,0.5613963039014374,0.5613963039014374
colonel-ruffs,2.189710610932476,9.942122186495176,831.0610932475885,311,172,0.009267812974938165,0.5530546623794212,0.5530546623794212
colt,0.5766016713091922,9.96991643454039,781.7114206128134,1795,770,0.05349107488750484,0.42896935933147634,0.42896935933147634
crow,-2.0941176470588236,9.929411764705883,760.6705882352941,85,19,0.0025330035462049648,0.2235294117647059,0.2235294117647059
darryl,2.622967479674797,9.964430894308943,841.55081300813,984,577,0.029323241052537474,0.5863821138211383,0.5863821138211383
dynamike,1.5869618097786427,9.958890780831915,842.25249331063,4111,2083,0.12250797151116012,0.5066893699829725,0.5066893699829725
edgar,2.594899169632266,9.931198102016607,845.3730723606168,1686,985,0.050242870340018474,0.5842230130486358,0.5842230130486358
el-primo,1.0852180936995153,9.921647819063004,822.2956381260097,2476,1159,0.07378490329886461,0.46809369951534735,0.46809369951534735
emz,-0.38953488372093026,9.866279069767442,789.7063953488372,344,122,0.010251214351700092,0.3546511627906977,0.3546511627906977
frank,-1.1639344262295082,9.78688524590164,754.9016393442623,61,18,0.001817802544923563,0.29508196721311475,0.29508196721311475
gale,-2.0285714285714285,9.971428571428572,728.9142857142857,35,8,0.0010430014602020442,0.22857142857142856,0.22857142857142856
gene,-3.0303030303030303,10.0,860.060606060606,33,5,0.0009834013767619275,0.15151515151515152,0.15151515151515152
jacky,0.2,9.65,723.8,20,8,0.0005960008344011681,0.4,0.4
jessie,-0.28469326980345444,9.915425848719476,759.0863609291245,1679,609,0.050034270047978065,0.3627159023228112,0.3627159023228112
leon,-0.15254237288135594,9.728813559322035,752.4915254237288,59,22,0.001758202461483446,0.3728813559322034,0.3728813559322034
lou,0.08695652173913043,9.782608695652174,723.0434782608696,23,9,0.0006854009595613434,0.391304347826087,0.391304347826087
max,-1.1,9.933333333333334,782.7444444444444,90,27,0.0026820037548052566,0.3,0.3
mortis,-3.573170731707317,9.951219512195122,798.8414634146342,82,9,0.0024436034210447897,0.10975609756097561,0.10975609756097561
mr-p,0.0,9.942307692307692,745.5192307692307,52,20,0.0015496021694430373,0.38461538461538464,0.38461538461538464
nani,-2.2916666666666665,9.75,842.9166666666666,24,5,0.0007152010012814018,0.20833333333333334,0.20833333333333334
nita,0.35634743875278396,9.98663697104677,760.6236080178173,898,370,0.02676043746461245,0.41202672605790647,0.41202672605790647
pam,-2.064516129032258,10.0,707.3548387096774,31,7,0.0009238012933218107,0.22580645161290322,0.22580645161290322
penny,-0.3607843137254902,9.988235294117647,700.1294117647059,255,91,0.007599010638614894,0.3568627450980392,0.3568627450980392
piper,-1.5333333333333334,10.0,774.4333333333333,30,8,0.0008940012516017522,0.26666666666666666,0.26666666666666666
poco,0.6333333333333333,9.866666666666667,738.1333333333333,30,13,0.0008940012516017522,0.43333333333333335,0.43333333333333335
rico,1.981221670623786,9.981005827757393,848.4483056334988,4633,2488,0.13806359328903062,0.5370170515864451,0.5370170515864451
rosa,-0.9761904761904762,9.738095238095237,741.8809523809524,42,13,0.0012516017522424532,0.30952380952380953,0.30952380952380953
sandy,0.2,10.0,736.9333333333333,15,6,0.0004470006258008761,0.4,0.4
shelly,-1.75,9.819444444444445,780.4861111111111,72,18,0.002145603003844205,0.25,0.25
spike,1.5256916996047432,9.944664031620553,806.0415019762846,506,254,0.015078821110349555,0.5019762845849802,0.5019762845849802
sprout,0.9583333333333334,9.916666666666666,807.875,48,22,0.0014304020025628036,0.4583333333333333,0.4583333333333333
squeak,1.1300813008130082,9.959349593495935,682.6585365853658,123,58,0.0036654051315671843,0.4715447154471545,0.4715447154471545
stu,1.0357142857142858,9.994047619047619,858.3988095238095,168,78,0.005006407008969813,0.4642857142857143,0.4642857142857143
surge,0.45161290322580644,9.870967741935484,782.983870967742,62,26,0.0018476025866436213,0.41935483870967744,0.41935483870967744
tara,-0.8770226537216829,9.935275080906148,769.6310679611651,309,98,0.009208212891498048,0.31715210355987056,0.31715210355987056
tick,-3.4035087719298245,9.912280701754385,750.9298245614035,57,7,0.0016986023780433293,0.12280701754385964,0.12280701754385964
