brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,0.6276315789473684,9.951315789473684,774.2552631578948,760,329,0.020741791981659888,0.4328947368421053,0.4328947368421053
amber,1.9857651245551602,9.934519572953736,818.0156583629894,1405,755,0.038345023334515976,0.5373665480427047,0.5373665480427047
barley,-0.45528455284552843,10.0,704.479674796748,123,43,0.003356895281242324,0.34959349593495936,0.34959349593495936
bea,2.2750677506775068,9.92818428184282,855.9837398373984,738,413,0.020141371687453946,0.559620596205962,0.559620596205962
belle,1.6914446002805048,9.931276297335204,833.5007012622721,1426,734,0.03891815179716711,0.514726507713885,0.514726507713885
bibi,-0.9611650485436893,9.980582524271844,723.2718446601941,103,32,0.002811058650146011,0.3106796116504854,0.3106796116504854
bo,0.6796116504854369,9.669902912621358,741.7184466019418,103,45,0.002811058650146011,0.4368932038834951,0.4368932038834951
brock,1.0510510510510511,9.99099099099099,791.4731874731875,2331,1085,0.06361725935427527,0.46546546546546547,0.46546546546546547
bull,-0.2376237623762376,9.955445544554456,735.6089108910891,202,74,0.0055129499740727604,0.36633663366336633,0.36633663366336633
buzz,1.1125827814569536,9.655629139072847,719.0198675496689,151,71,0.004121066564777162,0.47019867549668876,0.47019867549668876
byron,2.2797105482883384,9.976621207904259,851.9290286668522,3593,2012,0.0980595507764526,0.5599777344837183,0.5599777344837183
carl,-0.8571428571428571,9.956043956043956,740.8791208791209,91,29,0.0024835566714882236,0.31868131868131866,0.31868131868131866
colette,2.226491133799033,9.973670069854917,845.7555077915099,7444,4138,0.20316039409404765,0.5558839333691563,0.5558839333691563
colonel-ruffs,0.07317073170731707,9.951219512195122,737.9024390243902,41,16,0.0011189650937474414,0.3902439024390244,0.3902439024390244
colt,0.9864484786499617,9.982613142418819,804.2495525441063,3911,1801,0.10673835321088398,0.4604960368192278,0.4604960368192278
crow,2.5836090608297275,9.986765080173072,873.1491473657419,3929,2292,0.10722960617887066,0.5833545431407483,0.5833545431407483
darryl,0.1485148514851485,9.831683168316832,714.0891089108911,101,40,0.0027564749870363802,0.39603960396039606,0.39603960396039606
dynamike,-1.4649122807017543,9.7953216374269,709.2426900584795,342,93,0.009333806391746951,0.2719298245614035,0.2719298245614035
edgar,-0.652027027027027,9.64527027027027,718.2364864864865,296,99,0.00807838214022543,0.3344594594594595,0.3344594594594595
el-primo,-1.575,9.692307692307692,740.1365384615384,520,137,0.014191752408504135,0.26346153846153847,0.26346153846153847
emz,-1.5287958115183247,9.780104712041885,740.6596858638743,191,51,0.005212739826969788,0.2670157068062827,0.2670157068062827
frank,-2.5,9.923076923076923,715.7307692307693,26,5,0.0007095876204252068,0.19230769230769232,0.19230769230769232
gale,4.621710526315789,9.990131578947368,866.2796052631579,304,225,0.008296716792663956,0.7401315789473685,0.7401315789473685
gene,-0.6666666666666666,9.727272727272727,795.5757575757576,33,11,0.0009006304413089162,0.3333333333333333,0.3333333333333333
jacky,-4.0,10.0,832.3076923076923,13,1,0.0003547938102126034,0.07692307692307693,0.07692307692307693
jessie,-0.03915475450590429,9.881292728402734,740.3915475450591,1609,614,0.04391255697169837,0.38160348042262277,0.38160348042262277
leon,-1.809090909090909,9.9,748.3545454545455,110,27,0.003002101471029721,0.24545454545454545,0.24545454545454545
lou,-0.328125,9.921875,780.078125,64,23,0.0017466772195082012,0.359375,0.359375
max,0.5030674846625767,9.987730061349692,799.3496932515337,326,138,0.0088971370868699,0.4233128834355828,0.4233128834355828
mortis,-1.6296296296296295,10.0,723.7222222222222,54,14,0.0014737589039600448,0.25925925925925924,0.25925925925925924
mr-p,0.08045977011494253,9.988505747126437,758.2528735632184,87,34,0.002374389345268961,0.39080459770114945,0.39080459770114945
nani,2.9329073482428116,9.97231096911608,860.3450479233227,939,573,0.02562702982997189,0.610223642172524,0.610223642172524
nita,1.1726618705035972,9.969424460431656,767.2769784172662,556,264,0.015174258344477498,0.4748201438848921,0.4748201438848921
pam,2.6424242424242426,9.981818181818182,803.2,165,97,0.004503152206544582,0.5878787878787879,0.5878787878787879
penny,0.547979797979798,9.982323232323232,754.8813131313132,396,169,0.010807565295706995,0.42676767676767674,0.42676767676767674
piper,0.7788605697151424,9.987256371814093,823.667916041979,1334,593,0.03640730329412407,0.444527736131934,0.444527736131934
poco,3.1320590790616856,9.998262380538662,886.7906168549088,1151,720,0.0314128981195928,0.6255430060816681,0.6255430060816681
rico,0.10126582278481013,9.919831223628693,747.620253164557,237,93,0.006468164078491307,0.3924050632911392,0.3924050632911392
rosa,-0.5172413793103449,9.827586206896552,758.2068965517242,29,10,0.0007914631150896537,0.3448275862068966,0.3448275862068966
sandy,-1.1,9.85,705.35,20,6,0.0005458366310963129,0.3,0.3
shelly,-3.25,10.0,764.5,52,7,0.0014191752408504136,0.1346153846153846,0.1346153846153846
spike,0.94140625,9.955078125,799.923828125,512,234,0.01397341775606561,0.45703125,0.45703125
sprout,-0.18518518518518517,9.88888888888889,758.8148148148148,54,20,0.0014737589039600448,0.37037037037037035,0.37037037037037035
squeak,2.0947712418300655,9.92156862745098,776.2549019607843,306,167,0.008351300455773586,0.545751633986928,0.545751633986928
stu,0.38738738738738737,9.891891891891891,780.5945945945946,111,46,0.0030293933025845364,0.4144144144144144,0.4144144144144144
surge,-1.5660377358490567,9.830188679245284,754.6981132075472,53,14,0.001446467072405229,0.2641509433962264,0.2641509433962264
tara,-0.3891625615763547,9.950738916256158,751.3990147783251,203,72,0.0055402418056275755,0.35467980295566504,0.35467980295566504
tick,-3.1041666666666665,9.854166666666666,744.75,96,14,0.002620015829262302,0.14583333333333334,0.14583333333333334
