brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-0.8472222222222222,9.854166666666666,723.5208333333334,144,46,0.0030769888245475332,0.3194444444444444,0.3194444444444444
amber,0.2,9.88076923076923,779.8653846153846,260,104,0.005555674266544157,0.4,0.4
barley,1.5859504132231406,9.969421487603306,789.753305785124,2420,1226,0.05171050663475715,0.5066115702479339,0.5066115702479339
bea,-0.6666666666666666,9.916666666666666,747.375,24,8,0.0005128314707579222,0.3333333333333333,0.3333333333333333
belle,-0.18518518518518517,9.925925925925926,739.8888888888889,27,10,0.0005769354046026625,0.37037037037037035,0.37037037037037035
bibi,1.128228782287823,9.948339483394834,808.9990774907749,2168,1022,0.04632577619179897,0.4714022140221402,0.4714022140221402
bo,-1.8,9.76923076923077,706.276923076923,65,16,0.0013889185666360391,0.24615384615384617,0.24615384615384617
brock,0.07534246575342465,9.972602739726028,738.4195205479452,584,228,0.012478899121776106,0.3904109589041096,0.3904109589041096
bull,2.4035046175704475,9.98117452048307,845.5872602415344,8446,4810,0.18047394175089213,0.5695003551977267,0.5695003551977267
buzz,3.6725784447476126,9.901773533424283,832.8581173260573,733,489,0.015662727836064875,0.6671214188267395,0.6671214188267395
byron,-3.9166666666666665,9.86111111111111,724.7777777777778,36,3,0.0007692472061368833,0.08333333333333333,0.08333333333333333
carl,0.9036697247706422,9.899082568807339,755.9449541284404,218,99,0.004658219192717793,0.4541284403669725,0.4541284403669725
colette,0.7061946902654868,9.976991150442478,806.5592920353982,565,248,0.012072907540759417,0.4389380530973451,0.4389380530973451
colonel-ruffs,0.5084745762711864,10.0,741.6440677966102,59,25,0.0012607106989465588,0.423728813559322,0.423728813559322
colt,0.5993618960802187,9.969462169553328,765.4489516864176,2194,945,0.046881343618453385,0.43072014585232454,0.43072014585232454
crow,-0.948051948051948,9.7012987012987,725.6103896103896,77,24,0.0016453343020150003,0.3116883116883117,0.3116883116883117
darryl,1.9945652173913044,9.984148550724637,834.6897644927536,2208,1188,0.04718049530972884,0.5380434782608695,0.5380434782608695
dynamike,0.5055035773252614,9.936984039625758,769.3651623555311,3634,1539,0.07765123186392872,0.42350027517886624,0.42350027517886624
edgar,2.277705132396208,9.9375612945407,834.4053612291599,6118,3425,0.13072928908737366,0.5598234717227852,0.5598234717227852
el-primo,1.863412514484357,9.933951332560834,847.2825898030128,6904,3645,0.1475245197546956,0.527954808806489,0.527954808806489
emz,1.4281767955801106,9.941988950276244,841.3494475138122,724,358,0.015470416034530652,0.494475138121547,0.494475138121547
frank,-0.509090909090909,9.790909090909091,746.4,110,38,0.002350477574307143,0.34545454545454546,0.34545454545454546
gale,2.3125,9.994318181818182,855.8977272727273,176,99,0.0037607641188914295,0.5625,0.5625
gene,-2.242424242424242,9.969696969696969,809.0909090909091,33,7,0.000705143272292143,0.21212121212121213,0.21212121212121213
jacky,1.0666666666666667,10.0,780.45,60,28,0.0012820786768948055,0.4666666666666667,0.4666666666666667
jessie,-0.21928327645051193,9.872013651877133,717.3873720136519,1172,431,0.0250432701553452,0.3677474402730375,0.3677474402730375
leon,-1.2258064516129032,10.0,712.505376344086,93,27,0.0019872219491869486,0.2903225806451613,0.2903225806451613
lou,3.0,9.76923076923077,688.1538461538462,13,8,0.00027778371332720783,0.6153846153846154,0.6153846153846154
max,0.5714285714285714,9.948979591836734,801.6377551020408,196,84,0.004188123677856364,0.42857142857142855,0.42857142857142855
mortis,-1.8428571428571427,10.0,757.1285714285714,70,17,0.001495758456377273,0.24285714285714285,0.24285714285714285
mr-p,-0.775,9.975,705.3,40,13,0.0008547191179298703,0.325,0.325
nani,-3.44,9.84,729.04,25,3,0.000534199448706169,0.12,0.12
nita,1.0572668112798265,9.986550976138828,782.4225596529284,2305,1074,0.049253189170708776,0.46594360086767894,0.46594360086767894
pam,0.0,9.846153846153847,746.8461538461538,52,20,0.0011111348533088313,0.38461538461538464,0.38461538461538464
penny,-0.926056338028169,9.971830985915492,711.0880281690141,284,89,0.006068505737302079,0.31338028169014087,0.31338028169014087
piper,-1.1,9.4,664.3,10,3,0.00021367977948246757,0.3,0.3
poco,-2.0285714285714285,9.857142857142858,698.4857142857143,35,8,0.0007478792281886365,0.22857142857142856,0.22857142857142856
rico,1.06056338028169,9.974178403755868,810.8394366197183,2130,993,0.0455137930297656,0.46619718309859154,0.46619718309859154
rosa,-1.816326530612245,9.938775510204081,763.5918367346939,49,12,0.001047030919464091,0.24489795918367346,0.24489795918367346
sandy,-1.1,10.0,695.05,20,6,0.00042735955896493514,0.3,0.3
shelly,2.1269035532994924,9.99492385786802,832.0710659898477,197,108,0.004209491655804611,0.5482233502538071,0.5482233502538071
spike,1.3150684931506849,9.944151738672286,790.7028451001054,949,461,0.020278211072886174,0.4857744994731296,0.4857744994731296
sprout,-2.739130434782609,9.782608695652174,675.8260869565217,23,4,0.0004914634928096754,0.17391304347826086,0.17391304347826086
squeak,0.7661290322580645,9.903225806451612,699.6209677419355,124,55,0.0026496292655825977,0.4435483870967742,0.4435483870967742
stu,-1.0277777777777777,9.88888888888889,786.6481481481482,108,33,0.00230774161841065,0.3055555555555556,0.3055555555555556
surge,0.44594594594594594,9.891891891891891,730.6486486486486,74,31,0.00158123036817026,0.4189189189189189,0.4189189189189189
tara,2.2587904360056257,9.974683544303797,835.3783403656821,711,397,0.015192632321203445,0.5583684950773559,0.5583684950773559
tick,-1.946969696969697,9.803030303030303,718.8257575757576,132,31,0.002820573089168572,0.23484848484848486,0.23484848484848486
